business_name,website,city,state,software_gap,booking_quote_status,contact_page,phone,public_email,source_url,notes
Barbers Sample 01,https://barbers-sample-01.example,Los Angeles,CA,No obvious online workflow found,No obvious online workflow found,https://barbers-sample-01.example/contact,(555) 010-100,hello1@barbers-sample-01.example,https://example.com/source/barbers-without-online-booking/1,Sample row for Barbers without online booking; replace with verified production data before outreach.
Barbers Sample 02,https://barbers-sample-02.example,San Diego,CA,No obvious online workflow found,No obvious online workflow found,https://barbers-sample-02.example/contact,(555) 011-101,hello2@barbers-sample-02.example,https://example.com/source/barbers-without-online-booking/2,Sample row for Barbers without online booking; replace with verified production data before outreach.
Barbers Sample 03,https://barbers-sample-03.example,San Jose,CA,No obvious online workflow found,No obvious online workflow found,https://barbers-sample-03.example/contact,(555) 012-102,hello3@barbers-sample-03.example,https://example.com/source/barbers-without-online-booking/3,Sample row for Barbers without online booking; replace with verified production data before outreach.
Barbers Sample 04,https://barbers-sample-04.example,Austin,TX,No obvious online workflow found,No obvious online workflow found,https://barbers-sample-04.example/contact,(555) 013-103,hello4@barbers-sample-04.example,https://example.com/source/barbers-without-online-booking/4,Sample row for Barbers without online booking; replace with verified production data before outreach.
Barbers Sample 05,https://barbers-sample-05.example,Denver,CO,No obvious online workflow found,No obvious online workflow found,https://barbers-sample-05.example/contact,(555) 014-104,hello5@barbers-sample-05.example,https://example.com/source/barbers-without-online-booking/5,Sample row for Barbers without online booking; replace with verified production data before outreach.
Barbers Sample 06,https://barbers-sample-06.example,Phoenix,AZ,No obvious online workflow found,No obvious online workflow found,https://barbers-sample-06.example/contact,(555) 015-105,hello6@barbers-sample-06.example,https://example.com/source/barbers-without-online-booking/6,Sample row for Barbers without online booking; replace with verified production data before outreach.
Barbers Sample 07,https://barbers-sample-07.example,Chicago,IL,No obvious online workflow found,No obvious online workflow found,https://barbers-sample-07.example/contact,(555) 016-106,hello7@barbers-sample-07.example,https://example.com/source/barbers-without-online-booking/7,Sample row for Barbers without online booking; replace with verified production data before outreach.
Barbers Sample 08,https://barbers-sample-08.example,Seattle,WA,No obvious online workflow found,No obvious online workflow found,https://barbers-sample-08.example/contact,(555) 017-107,hello8@barbers-sample-08.example,https://example.com/source/barbers-without-online-booking/8,Sample row for Barbers without online booking; replace with verified production data before outreach.
Barbers Sample 09,https://barbers-sample-09.example,Atlanta,GA,No obvious online workflow found,No obvious online workflow found,https://barbers-sample-09.example/contact,(555) 018-108,hello9@barbers-sample-09.example,https://example.com/source/barbers-without-online-booking/9,Sample row for Barbers without online booking; replace with verified production data before outreach.
Barbers Sample 10,https://barbers-sample-10.example,Miami,FL,No obvious online workflow found,No obvious online workflow found,https://barbers-sample-10.example/contact,(555) 019-109,hello10@barbers-sample-10.example,https://example.com/source/barbers-without-online-booking/10,Sample row for Barbers without online booking; replace with verified production data before outreach.
