brand_name,website,ecommerce_platform_signal,category,country_market,marketing_tech_signal,conversion_gap,affiliate_influencer_page,contact_page,public_email,source_url,notes
Supplements Brands Sample 01,https://supplements-brands-sample-01.example,Relevant ecommerce / shopify buyer opportunity signal 1,Ecommerce / Shopify Buyer,Los Angeles,Los Angeles,Relevant ecommerce / shopify buyer opportunity signal 1,affiliate influencer page sample 1,https://supplements-brands-sample-01.example/contact,hello1@supplements-brands-sample-01.example,https://example.com/source/500-supplements-brands-with-public-contact-info/1,Sample row for 500 Supplements Brands With Public Contact Info; replace with verified production data before outreach.
Supplements Brands Sample 02,https://supplements-brands-sample-02.example,Relevant ecommerce / shopify buyer opportunity signal 2,Ecommerce / Shopify Buyer,San Diego,San Diego,Relevant ecommerce / shopify buyer opportunity signal 2,affiliate influencer page sample 2,https://supplements-brands-sample-02.example/contact,hello2@supplements-brands-sample-02.example,https://example.com/source/500-supplements-brands-with-public-contact-info/2,Sample row for 500 Supplements Brands With Public Contact Info; replace with verified production data before outreach.
Supplements Brands Sample 03,https://supplements-brands-sample-03.example,Relevant ecommerce / shopify buyer opportunity signal 3,Ecommerce / Shopify Buyer,San Jose,San Jose,Relevant ecommerce / shopify buyer opportunity signal 3,affiliate influencer page sample 3,https://supplements-brands-sample-03.example/contact,hello3@supplements-brands-sample-03.example,https://example.com/source/500-supplements-brands-with-public-contact-info/3,Sample row for 500 Supplements Brands With Public Contact Info; replace with verified production data before outreach.
Supplements Brands Sample 04,https://supplements-brands-sample-04.example,Relevant ecommerce / shopify buyer opportunity signal 4,Ecommerce / Shopify Buyer,Austin,Austin,Relevant ecommerce / shopify buyer opportunity signal 4,affiliate influencer page sample 4,https://supplements-brands-sample-04.example/contact,hello4@supplements-brands-sample-04.example,https://example.com/source/500-supplements-brands-with-public-contact-info/4,Sample row for 500 Supplements Brands With Public Contact Info; replace with verified production data before outreach.
Supplements Brands Sample 05,https://supplements-brands-sample-05.example,Relevant ecommerce / shopify buyer opportunity signal 5,Ecommerce / Shopify Buyer,Denver,Denver,Relevant ecommerce / shopify buyer opportunity signal 5,affiliate influencer page sample 5,https://supplements-brands-sample-05.example/contact,hello5@supplements-brands-sample-05.example,https://example.com/source/500-supplements-brands-with-public-contact-info/5,Sample row for 500 Supplements Brands With Public Contact Info; replace with verified production data before outreach.
Supplements Brands Sample 06,https://supplements-brands-sample-06.example,Relevant ecommerce / shopify buyer opportunity signal 6,Ecommerce / Shopify Buyer,Phoenix,Phoenix,Relevant ecommerce / shopify buyer opportunity signal 6,affiliate influencer page sample 6,https://supplements-brands-sample-06.example/contact,hello6@supplements-brands-sample-06.example,https://example.com/source/500-supplements-brands-with-public-contact-info/6,Sample row for 500 Supplements Brands With Public Contact Info; replace with verified production data before outreach.
Supplements Brands Sample 07,https://supplements-brands-sample-07.example,Relevant ecommerce / shopify buyer opportunity signal 7,Ecommerce / Shopify Buyer,Chicago,Chicago,Relevant ecommerce / shopify buyer opportunity signal 7,affiliate influencer page sample 7,https://supplements-brands-sample-07.example/contact,hello7@supplements-brands-sample-07.example,https://example.com/source/500-supplements-brands-with-public-contact-info/7,Sample row for 500 Supplements Brands With Public Contact Info; replace with verified production data before outreach.
Supplements Brands Sample 08,https://supplements-brands-sample-08.example,Relevant ecommerce / shopify buyer opportunity signal 8,Ecommerce / Shopify Buyer,Seattle,Seattle,Relevant ecommerce / shopify buyer opportunity signal 8,affiliate influencer page sample 8,https://supplements-brands-sample-08.example/contact,hello8@supplements-brands-sample-08.example,https://example.com/source/500-supplements-brands-with-public-contact-info/8,Sample row for 500 Supplements Brands With Public Contact Info; replace with verified production data before outreach.
Supplements Brands Sample 09,https://supplements-brands-sample-09.example,Relevant ecommerce / shopify buyer opportunity signal 9,Ecommerce / Shopify Buyer,Atlanta,Atlanta,Relevant ecommerce / shopify buyer opportunity signal 9,affiliate influencer page sample 9,https://supplements-brands-sample-09.example/contact,hello9@supplements-brands-sample-09.example,https://example.com/source/500-supplements-brands-with-public-contact-info/9,Sample row for 500 Supplements Brands With Public Contact Info; replace with verified production data before outreach.
Supplements Brands Sample 10,https://supplements-brands-sample-10.example,Relevant ecommerce / shopify buyer opportunity signal 10,Ecommerce / Shopify Buyer,Miami,Miami,Relevant ecommerce / shopify buyer opportunity signal 10,affiliate influencer page sample 10,https://supplements-brands-sample-10.example/contact,hello10@supplements-brands-sample-10.example,https://example.com/source/500-supplements-brands-with-public-contact-info/10,Sample row for 500 Supplements Brands With Public Contact Info; replace with verified production data before outreach.
