name,website,city,phone,public_email,contact_page,lead_score,contactability_score,urgency_score,tech_gap,ad_signal,suggested_outreach_angle,cold_email_prompt,source_urls,notes
Law Firms Sample 01,https://law-firms-sample-01.example,Los Angeles,(555) 010-100,hello1@law-firms-sample-01.example,https://law-firms-sample-01.example/contact,78,78,78,Slow page experience flagged,Slow page experience flagged,Sample row for 500 Law Firms With Slow Websites - Agent Stats Edition; replace with verified production data before outreach.,hello1@law-firms-sample-01.example,https://example.com/source/500-law-firms-with-slow-websites-agent-stats-edition/1,Sample row for 500 Law Firms With Slow Websites - Agent Stats Edition; replace with verified production data before outreach.
Law Firms Sample 02,https://law-firms-sample-02.example,San Diego,(555) 011-101,hello2@law-firms-sample-02.example,https://law-firms-sample-02.example/contact,79,79,79,Slow page experience flagged,Slow page experience flagged,Sample row for 500 Law Firms With Slow Websites - Agent Stats Edition; replace with verified production data before outreach.,hello2@law-firms-sample-02.example,https://example.com/source/500-law-firms-with-slow-websites-agent-stats-edition/2,Sample row for 500 Law Firms With Slow Websites - Agent Stats Edition; replace with verified production data before outreach.
Law Firms Sample 03,https://law-firms-sample-03.example,San Jose,(555) 012-102,hello3@law-firms-sample-03.example,https://law-firms-sample-03.example/contact,80,80,80,Slow page experience flagged,Slow page experience flagged,Sample row for 500 Law Firms With Slow Websites - Agent Stats Edition; replace with verified production data before outreach.,hello3@law-firms-sample-03.example,https://example.com/source/500-law-firms-with-slow-websites-agent-stats-edition/3,Sample row for 500 Law Firms With Slow Websites - Agent Stats Edition; replace with verified production data before outreach.
Law Firms Sample 04,https://law-firms-sample-04.example,Austin,(555) 013-103,hello4@law-firms-sample-04.example,https://law-firms-sample-04.example/contact,81,81,81,Slow page experience flagged,Slow page experience flagged,Sample row for 500 Law Firms With Slow Websites - Agent Stats Edition; replace with verified production data before outreach.,hello4@law-firms-sample-04.example,https://example.com/source/500-law-firms-with-slow-websites-agent-stats-edition/4,Sample row for 500 Law Firms With Slow Websites - Agent Stats Edition; replace with verified production data before outreach.
Law Firms Sample 05,https://law-firms-sample-05.example,Denver,(555) 014-104,hello5@law-firms-sample-05.example,https://law-firms-sample-05.example/contact,82,82,82,Slow page experience flagged,Slow page experience flagged,Sample row for 500 Law Firms With Slow Websites - Agent Stats Edition; replace with verified production data before outreach.,hello5@law-firms-sample-05.example,https://example.com/source/500-law-firms-with-slow-websites-agent-stats-edition/5,Sample row for 500 Law Firms With Slow Websites - Agent Stats Edition; replace with verified production data before outreach.
Law Firms Sample 06,https://law-firms-sample-06.example,Phoenix,(555) 015-105,hello6@law-firms-sample-06.example,https://law-firms-sample-06.example/contact,83,83,83,Slow page experience flagged,Slow page experience flagged,Sample row for 500 Law Firms With Slow Websites - Agent Stats Edition; replace with verified production data before outreach.,hello6@law-firms-sample-06.example,https://example.com/source/500-law-firms-with-slow-websites-agent-stats-edition/6,Sample row for 500 Law Firms With Slow Websites - Agent Stats Edition; replace with verified production data before outreach.
Law Firms Sample 07,https://law-firms-sample-07.example,Chicago,(555) 016-106,hello7@law-firms-sample-07.example,https://law-firms-sample-07.example/contact,84,84,84,Slow page experience flagged,Slow page experience flagged,Sample row for 500 Law Firms With Slow Websites - Agent Stats Edition; replace with verified production data before outreach.,hello7@law-firms-sample-07.example,https://example.com/source/500-law-firms-with-slow-websites-agent-stats-edition/7,Sample row for 500 Law Firms With Slow Websites - Agent Stats Edition; replace with verified production data before outreach.
Law Firms Sample 08,https://law-firms-sample-08.example,Seattle,(555) 017-107,hello8@law-firms-sample-08.example,https://law-firms-sample-08.example/contact,85,85,85,Slow page experience flagged,Slow page experience flagged,Sample row for 500 Law Firms With Slow Websites - Agent Stats Edition; replace with verified production data before outreach.,hello8@law-firms-sample-08.example,https://example.com/source/500-law-firms-with-slow-websites-agent-stats-edition/8,Sample row for 500 Law Firms With Slow Websites - Agent Stats Edition; replace with verified production data before outreach.
Law Firms Sample 09,https://law-firms-sample-09.example,Atlanta,(555) 018-108,hello9@law-firms-sample-09.example,https://law-firms-sample-09.example/contact,86,86,86,Slow page experience flagged,Slow page experience flagged,Sample row for 500 Law Firms With Slow Websites - Agent Stats Edition; replace with verified production data before outreach.,hello9@law-firms-sample-09.example,https://example.com/source/500-law-firms-with-slow-websites-agent-stats-edition/9,Sample row for 500 Law Firms With Slow Websites - Agent Stats Edition; replace with verified production data before outreach.
Law Firms Sample 10,https://law-firms-sample-10.example,Miami,(555) 019-109,hello10@law-firms-sample-10.example,https://law-firms-sample-10.example/contact,87,87,87,Slow page experience flagged,Slow page experience flagged,Sample row for 500 Law Firms With Slow Websites - Agent Stats Edition; replace with verified production data before outreach.,hello10@law-firms-sample-10.example,https://example.com/source/500-law-firms-with-slow-websites-agent-stats-edition/10,Sample row for 500 Law Firms With Slow Websites - Agent Stats Edition; replace with verified production data before outreach.
