business_name,website,city,state,current_platform_signal,migration_opportunity,conversion_seo_gap,contact_page,phone,public_email,source_url,notes
Stores Sample 01,https://stores-sample-01.example,Los Angeles,CA,Relevant platform migration opportunity signal 1,migration opportunity sample 1,Relevant platform migration opportunity signal 1,https://stores-sample-01.example/contact,(555) 010-100,hello1@stores-sample-01.example,https://example.com/source/500-stores-using-old-shopify-themes/1,Sample row for 500 Stores Using Old Shopify Themes; replace with verified production data before outreach.
Stores Sample 02,https://stores-sample-02.example,San Diego,CA,Relevant platform migration opportunity signal 2,migration opportunity sample 2,Relevant platform migration opportunity signal 2,https://stores-sample-02.example/contact,(555) 011-101,hello2@stores-sample-02.example,https://example.com/source/500-stores-using-old-shopify-themes/2,Sample row for 500 Stores Using Old Shopify Themes; replace with verified production data before outreach.
Stores Sample 03,https://stores-sample-03.example,San Jose,CA,Relevant platform migration opportunity signal 3,migration opportunity sample 3,Relevant platform migration opportunity signal 3,https://stores-sample-03.example/contact,(555) 012-102,hello3@stores-sample-03.example,https://example.com/source/500-stores-using-old-shopify-themes/3,Sample row for 500 Stores Using Old Shopify Themes; replace with verified production data before outreach.
Stores Sample 04,https://stores-sample-04.example,Austin,TX,Relevant platform migration opportunity signal 4,migration opportunity sample 4,Relevant platform migration opportunity signal 4,https://stores-sample-04.example/contact,(555) 013-103,hello4@stores-sample-04.example,https://example.com/source/500-stores-using-old-shopify-themes/4,Sample row for 500 Stores Using Old Shopify Themes; replace with verified production data before outreach.
Stores Sample 05,https://stores-sample-05.example,Denver,CO,Relevant platform migration opportunity signal 5,migration opportunity sample 5,Relevant platform migration opportunity signal 5,https://stores-sample-05.example/contact,(555) 014-104,hello5@stores-sample-05.example,https://example.com/source/500-stores-using-old-shopify-themes/5,Sample row for 500 Stores Using Old Shopify Themes; replace with verified production data before outreach.
Stores Sample 06,https://stores-sample-06.example,Phoenix,AZ,Relevant platform migration opportunity signal 6,migration opportunity sample 6,Relevant platform migration opportunity signal 6,https://stores-sample-06.example/contact,(555) 015-105,hello6@stores-sample-06.example,https://example.com/source/500-stores-using-old-shopify-themes/6,Sample row for 500 Stores Using Old Shopify Themes; replace with verified production data before outreach.
Stores Sample 07,https://stores-sample-07.example,Chicago,IL,Relevant platform migration opportunity signal 7,migration opportunity sample 7,Relevant platform migration opportunity signal 7,https://stores-sample-07.example/contact,(555) 016-106,hello7@stores-sample-07.example,https://example.com/source/500-stores-using-old-shopify-themes/7,Sample row for 500 Stores Using Old Shopify Themes; replace with verified production data before outreach.
Stores Sample 08,https://stores-sample-08.example,Seattle,WA,Relevant platform migration opportunity signal 8,migration opportunity sample 8,Relevant platform migration opportunity signal 8,https://stores-sample-08.example/contact,(555) 017-107,hello8@stores-sample-08.example,https://example.com/source/500-stores-using-old-shopify-themes/8,Sample row for 500 Stores Using Old Shopify Themes; replace with verified production data before outreach.
Stores Sample 09,https://stores-sample-09.example,Atlanta,GA,Relevant platform migration opportunity signal 9,migration opportunity sample 9,Relevant platform migration opportunity signal 9,https://stores-sample-09.example/contact,(555) 018-108,hello9@stores-sample-09.example,https://example.com/source/500-stores-using-old-shopify-themes/9,Sample row for 500 Stores Using Old Shopify Themes; replace with verified production data before outreach.
Stores Sample 10,https://stores-sample-10.example,Miami,FL,Relevant platform migration opportunity signal 10,migration opportunity sample 10,Relevant platform migration opportunity signal 10,https://stores-sample-10.example/contact,(555) 019-109,hello10@stores-sample-10.example,https://example.com/source/500-stores-using-old-shopify-themes/10,Sample row for 500 Stores Using Old Shopify Themes; replace with verified production data before outreach.
