company_name,website,niche,city_market,founder_public_contact_path,public_email,outbound_relevance_signal,tool_service_signal,source_url,notes
"1,000 B2B SaaS Companies Sample 01",https://1-000-b2b-saas-companies-sample-01.example,niche sample 1,Los Angeles,https://1-000-b2b-saas-companies-sample-01.example/contact,hello1@1-000-b2b-saas-companies-sample-01.example,Relevant ai outbound prospect opportunity signal 1,Relevant ai outbound prospect opportunity signal 1,https://example.com/source/1-000-b2b-saas-companies-with-public-founder-emails/1,"Sample row for 1,000 B2B SaaS Companies With Public Founder Emails; replace with verified production data before outreach."
"1,000 B2B SaaS Companies Sample 02",https://1-000-b2b-saas-companies-sample-02.example,niche sample 2,San Diego,https://1-000-b2b-saas-companies-sample-02.example/contact,hello2@1-000-b2b-saas-companies-sample-02.example,Relevant ai outbound prospect opportunity signal 2,Relevant ai outbound prospect opportunity signal 2,https://example.com/source/1-000-b2b-saas-companies-with-public-founder-emails/2,"Sample row for 1,000 B2B SaaS Companies With Public Founder Emails; replace with verified production data before outreach."
"1,000 B2B SaaS Companies Sample 03",https://1-000-b2b-saas-companies-sample-03.example,niche sample 3,San Jose,https://1-000-b2b-saas-companies-sample-03.example/contact,hello3@1-000-b2b-saas-companies-sample-03.example,Relevant ai outbound prospect opportunity signal 3,Relevant ai outbound prospect opportunity signal 3,https://example.com/source/1-000-b2b-saas-companies-with-public-founder-emails/3,"Sample row for 1,000 B2B SaaS Companies With Public Founder Emails; replace with verified production data before outreach."
"1,000 B2B SaaS Companies Sample 04",https://1-000-b2b-saas-companies-sample-04.example,niche sample 4,Austin,https://1-000-b2b-saas-companies-sample-04.example/contact,hello4@1-000-b2b-saas-companies-sample-04.example,Relevant ai outbound prospect opportunity signal 4,Relevant ai outbound prospect opportunity signal 4,https://example.com/source/1-000-b2b-saas-companies-with-public-founder-emails/4,"Sample row for 1,000 B2B SaaS Companies With Public Founder Emails; replace with verified production data before outreach."
"1,000 B2B SaaS Companies Sample 05",https://1-000-b2b-saas-companies-sample-05.example,niche sample 5,Denver,https://1-000-b2b-saas-companies-sample-05.example/contact,hello5@1-000-b2b-saas-companies-sample-05.example,Relevant ai outbound prospect opportunity signal 5,Relevant ai outbound prospect opportunity signal 5,https://example.com/source/1-000-b2b-saas-companies-with-public-founder-emails/5,"Sample row for 1,000 B2B SaaS Companies With Public Founder Emails; replace with verified production data before outreach."
"1,000 B2B SaaS Companies Sample 06",https://1-000-b2b-saas-companies-sample-06.example,niche sample 6,Phoenix,https://1-000-b2b-saas-companies-sample-06.example/contact,hello6@1-000-b2b-saas-companies-sample-06.example,Relevant ai outbound prospect opportunity signal 6,Relevant ai outbound prospect opportunity signal 6,https://example.com/source/1-000-b2b-saas-companies-with-public-founder-emails/6,"Sample row for 1,000 B2B SaaS Companies With Public Founder Emails; replace with verified production data before outreach."
"1,000 B2B SaaS Companies Sample 07",https://1-000-b2b-saas-companies-sample-07.example,niche sample 7,Chicago,https://1-000-b2b-saas-companies-sample-07.example/contact,hello7@1-000-b2b-saas-companies-sample-07.example,Relevant ai outbound prospect opportunity signal 7,Relevant ai outbound prospect opportunity signal 7,https://example.com/source/1-000-b2b-saas-companies-with-public-founder-emails/7,"Sample row for 1,000 B2B SaaS Companies With Public Founder Emails; replace with verified production data before outreach."
"1,000 B2B SaaS Companies Sample 08",https://1-000-b2b-saas-companies-sample-08.example,niche sample 8,Seattle,https://1-000-b2b-saas-companies-sample-08.example/contact,hello8@1-000-b2b-saas-companies-sample-08.example,Relevant ai outbound prospect opportunity signal 8,Relevant ai outbound prospect opportunity signal 8,https://example.com/source/1-000-b2b-saas-companies-with-public-founder-emails/8,"Sample row for 1,000 B2B SaaS Companies With Public Founder Emails; replace with verified production data before outreach."
"1,000 B2B SaaS Companies Sample 09",https://1-000-b2b-saas-companies-sample-09.example,niche sample 9,Atlanta,https://1-000-b2b-saas-companies-sample-09.example/contact,hello9@1-000-b2b-saas-companies-sample-09.example,Relevant ai outbound prospect opportunity signal 9,Relevant ai outbound prospect opportunity signal 9,https://example.com/source/1-000-b2b-saas-companies-with-public-founder-emails/9,"Sample row for 1,000 B2B SaaS Companies With Public Founder Emails; replace with verified production data before outreach."
"1,000 B2B SaaS Companies Sample 10",https://1-000-b2b-saas-companies-sample-10.example,niche sample 10,Miami,https://1-000-b2b-saas-companies-sample-10.example/contact,hello10@1-000-b2b-saas-companies-sample-10.example,Relevant ai outbound prospect opportunity signal 10,Relevant ai outbound prospect opportunity signal 10,https://example.com/source/1-000-b2b-saas-companies-with-public-founder-emails/10,"Sample row for 1,000 B2B SaaS Companies With Public Founder Emails; replace with verified production data before outreach."
