brand_name,website,ecommerce_platform_signal,category,country_market,marketing_tech_signal,conversion_gap,affiliate_influencer_page,contact_page,public_email,source_url,notes
Shopify Stores Sample 01,https://shopify-stores-sample-01.example,Paid traffic signal with weak conversion path,Ecommerce / Shopify Buyer,Los Angeles,Los Angeles,Paid traffic signal with weak conversion path,affiliate influencer page sample 1,https://shopify-stores-sample-01.example/contact,hello1@shopify-stores-sample-01.example,https://example.com/source/500-shopify-stores-running-meta-ads/1,Sample row for 500 Shopify Stores Running Meta Ads; replace with verified production data before outreach.
Shopify Stores Sample 02,https://shopify-stores-sample-02.example,Paid traffic signal with weak conversion path,Ecommerce / Shopify Buyer,San Diego,San Diego,Paid traffic signal with weak conversion path,affiliate influencer page sample 2,https://shopify-stores-sample-02.example/contact,hello2@shopify-stores-sample-02.example,https://example.com/source/500-shopify-stores-running-meta-ads/2,Sample row for 500 Shopify Stores Running Meta Ads; replace with verified production data before outreach.
Shopify Stores Sample 03,https://shopify-stores-sample-03.example,Paid traffic signal with weak conversion path,Ecommerce / Shopify Buyer,San Jose,San Jose,Paid traffic signal with weak conversion path,affiliate influencer page sample 3,https://shopify-stores-sample-03.example/contact,hello3@shopify-stores-sample-03.example,https://example.com/source/500-shopify-stores-running-meta-ads/3,Sample row for 500 Shopify Stores Running Meta Ads; replace with verified production data before outreach.
Shopify Stores Sample 04,https://shopify-stores-sample-04.example,Paid traffic signal with weak conversion path,Ecommerce / Shopify Buyer,Austin,Austin,Paid traffic signal with weak conversion path,affiliate influencer page sample 4,https://shopify-stores-sample-04.example/contact,hello4@shopify-stores-sample-04.example,https://example.com/source/500-shopify-stores-running-meta-ads/4,Sample row for 500 Shopify Stores Running Meta Ads; replace with verified production data before outreach.
Shopify Stores Sample 05,https://shopify-stores-sample-05.example,Paid traffic signal with weak conversion path,Ecommerce / Shopify Buyer,Denver,Denver,Paid traffic signal with weak conversion path,affiliate influencer page sample 5,https://shopify-stores-sample-05.example/contact,hello5@shopify-stores-sample-05.example,https://example.com/source/500-shopify-stores-running-meta-ads/5,Sample row for 500 Shopify Stores Running Meta Ads; replace with verified production data before outreach.
Shopify Stores Sample 06,https://shopify-stores-sample-06.example,Paid traffic signal with weak conversion path,Ecommerce / Shopify Buyer,Phoenix,Phoenix,Paid traffic signal with weak conversion path,affiliate influencer page sample 6,https://shopify-stores-sample-06.example/contact,hello6@shopify-stores-sample-06.example,https://example.com/source/500-shopify-stores-running-meta-ads/6,Sample row for 500 Shopify Stores Running Meta Ads; replace with verified production data before outreach.
Shopify Stores Sample 07,https://shopify-stores-sample-07.example,Paid traffic signal with weak conversion path,Ecommerce / Shopify Buyer,Chicago,Chicago,Paid traffic signal with weak conversion path,affiliate influencer page sample 7,https://shopify-stores-sample-07.example/contact,hello7@shopify-stores-sample-07.example,https://example.com/source/500-shopify-stores-running-meta-ads/7,Sample row for 500 Shopify Stores Running Meta Ads; replace with verified production data before outreach.
Shopify Stores Sample 08,https://shopify-stores-sample-08.example,Paid traffic signal with weak conversion path,Ecommerce / Shopify Buyer,Seattle,Seattle,Paid traffic signal with weak conversion path,affiliate influencer page sample 8,https://shopify-stores-sample-08.example/contact,hello8@shopify-stores-sample-08.example,https://example.com/source/500-shopify-stores-running-meta-ads/8,Sample row for 500 Shopify Stores Running Meta Ads; replace with verified production data before outreach.
Shopify Stores Sample 09,https://shopify-stores-sample-09.example,Paid traffic signal with weak conversion path,Ecommerce / Shopify Buyer,Atlanta,Atlanta,Paid traffic signal with weak conversion path,affiliate influencer page sample 9,https://shopify-stores-sample-09.example/contact,hello9@shopify-stores-sample-09.example,https://example.com/source/500-shopify-stores-running-meta-ads/9,Sample row for 500 Shopify Stores Running Meta Ads; replace with verified production data before outreach.
Shopify Stores Sample 10,https://shopify-stores-sample-10.example,Paid traffic signal with weak conversion path,Ecommerce / Shopify Buyer,Miami,Miami,Paid traffic signal with weak conversion path,affiliate influencer page sample 10,https://shopify-stores-sample-10.example/contact,hello10@shopify-stores-sample-10.example,https://example.com/source/500-shopify-stores-running-meta-ads/10,Sample row for 500 Shopify Stores Running Meta Ads; replace with verified production data before outreach.
