campaign_name,candidate,office,jurisdiction,website,contact_email,donation_page_status,volunteer_form_status,sms_signup_status,email_capture_status,merch_store_status,accessibility_language_gap,urgency_score,source_url,notes
campaign name sample 1,2026-04-10,office sample 1,jurisdiction sample 1,https://campaigns-sample-01.example,hello1@campaigns-sample-01.example,Relevant political data opportunity signal 1,Relevant political data opportunity signal 1,Relevant political data opportunity signal 1,hello1@campaigns-sample-01.example,Relevant political data opportunity signal 1,Relevant political data opportunity signal 1,78,https://example.com/source/campaigns-with-weak-email-capture/1,Sample row for Campaigns With Weak Email Capture; replace with verified production data before outreach.
campaign name sample 2,2026-04-11,office sample 2,jurisdiction sample 2,https://campaigns-sample-02.example,hello2@campaigns-sample-02.example,Relevant political data opportunity signal 2,Relevant political data opportunity signal 2,Relevant political data opportunity signal 2,hello2@campaigns-sample-02.example,Relevant political data opportunity signal 2,Relevant political data opportunity signal 2,79,https://example.com/source/campaigns-with-weak-email-capture/2,Sample row for Campaigns With Weak Email Capture; replace with verified production data before outreach.
campaign name sample 3,2026-04-12,office sample 3,jurisdiction sample 3,https://campaigns-sample-03.example,hello3@campaigns-sample-03.example,Relevant political data opportunity signal 3,Relevant political data opportunity signal 3,Relevant political data opportunity signal 3,hello3@campaigns-sample-03.example,Relevant political data opportunity signal 3,Relevant political data opportunity signal 3,80,https://example.com/source/campaigns-with-weak-email-capture/3,Sample row for Campaigns With Weak Email Capture; replace with verified production data before outreach.
campaign name sample 4,2026-04-13,office sample 4,jurisdiction sample 4,https://campaigns-sample-04.example,hello4@campaigns-sample-04.example,Relevant political data opportunity signal 4,Relevant political data opportunity signal 4,Relevant political data opportunity signal 4,hello4@campaigns-sample-04.example,Relevant political data opportunity signal 4,Relevant political data opportunity signal 4,81,https://example.com/source/campaigns-with-weak-email-capture/4,Sample row for Campaigns With Weak Email Capture; replace with verified production data before outreach.
campaign name sample 5,2026-04-14,office sample 5,jurisdiction sample 5,https://campaigns-sample-05.example,hello5@campaigns-sample-05.example,Relevant political data opportunity signal 5,Relevant political data opportunity signal 5,Relevant political data opportunity signal 5,hello5@campaigns-sample-05.example,Relevant political data opportunity signal 5,Relevant political data opportunity signal 5,82,https://example.com/source/campaigns-with-weak-email-capture/5,Sample row for Campaigns With Weak Email Capture; replace with verified production data before outreach.
campaign name sample 6,2026-04-15,office sample 6,jurisdiction sample 6,https://campaigns-sample-06.example,hello6@campaigns-sample-06.example,Relevant political data opportunity signal 6,Relevant political data opportunity signal 6,Relevant political data opportunity signal 6,hello6@campaigns-sample-06.example,Relevant political data opportunity signal 6,Relevant political data opportunity signal 6,83,https://example.com/source/campaigns-with-weak-email-capture/6,Sample row for Campaigns With Weak Email Capture; replace with verified production data before outreach.
campaign name sample 7,2026-04-16,office sample 7,jurisdiction sample 7,https://campaigns-sample-07.example,hello7@campaigns-sample-07.example,Relevant political data opportunity signal 7,Relevant political data opportunity signal 7,Relevant political data opportunity signal 7,hello7@campaigns-sample-07.example,Relevant political data opportunity signal 7,Relevant political data opportunity signal 7,84,https://example.com/source/campaigns-with-weak-email-capture/7,Sample row for Campaigns With Weak Email Capture; replace with verified production data before outreach.
campaign name sample 8,2026-04-17,office sample 8,jurisdiction sample 8,https://campaigns-sample-08.example,hello8@campaigns-sample-08.example,Relevant political data opportunity signal 8,Relevant political data opportunity signal 8,Relevant political data opportunity signal 8,hello8@campaigns-sample-08.example,Relevant political data opportunity signal 8,Relevant political data opportunity signal 8,85,https://example.com/source/campaigns-with-weak-email-capture/8,Sample row for Campaigns With Weak Email Capture; replace with verified production data before outreach.
campaign name sample 9,2026-04-18,office sample 9,jurisdiction sample 9,https://campaigns-sample-09.example,hello9@campaigns-sample-09.example,Relevant political data opportunity signal 9,Relevant political data opportunity signal 9,Relevant political data opportunity signal 9,hello9@campaigns-sample-09.example,Relevant political data opportunity signal 9,Relevant political data opportunity signal 9,86,https://example.com/source/campaigns-with-weak-email-capture/9,Sample row for Campaigns With Weak Email Capture; replace with verified production data before outreach.
campaign name sample 10,2026-04-19,office sample 10,jurisdiction sample 10,https://campaigns-sample-10.example,hello10@campaigns-sample-10.example,Relevant political data opportunity signal 10,Relevant political data opportunity signal 10,Relevant political data opportunity signal 10,hello10@campaigns-sample-10.example,Relevant political data opportunity signal 10,Relevant political data opportunity signal 10,87,https://example.com/source/campaigns-with-weak-email-capture/10,Sample row for Campaigns With Weak Email Capture; replace with verified production data before outreach.
