business_name,website,city,state,service_category,local_demand_signal,website_conversion_gap_where_visible,phone,public_email,contact_page,source_url,notes
Security Guard Companies Sample 01,https://security-guard-companies-sample-01.example,Los Angeles,CA,Local Service,Relevant local service opportunity signal 1,https://security-guard-companies-sample-01.example,(555) 010-100,hello1@security-guard-companies-sample-01.example,https://security-guard-companies-sample-01.example/contact,https://example.com/source/500-security-guard-companies/1,Sample row for 500 Security Guard Companies; replace with verified production data before outreach.
Security Guard Companies Sample 02,https://security-guard-companies-sample-02.example,San Diego,CA,Local Service,Relevant local service opportunity signal 2,https://security-guard-companies-sample-02.example,(555) 011-101,hello2@security-guard-companies-sample-02.example,https://security-guard-companies-sample-02.example/contact,https://example.com/source/500-security-guard-companies/2,Sample row for 500 Security Guard Companies; replace with verified production data before outreach.
Security Guard Companies Sample 03,https://security-guard-companies-sample-03.example,San Jose,CA,Local Service,Relevant local service opportunity signal 3,https://security-guard-companies-sample-03.example,(555) 012-102,hello3@security-guard-companies-sample-03.example,https://security-guard-companies-sample-03.example/contact,https://example.com/source/500-security-guard-companies/3,Sample row for 500 Security Guard Companies; replace with verified production data before outreach.
Security Guard Companies Sample 04,https://security-guard-companies-sample-04.example,Austin,TX,Local Service,Relevant local service opportunity signal 4,https://security-guard-companies-sample-04.example,(555) 013-103,hello4@security-guard-companies-sample-04.example,https://security-guard-companies-sample-04.example/contact,https://example.com/source/500-security-guard-companies/4,Sample row for 500 Security Guard Companies; replace with verified production data before outreach.
Security Guard Companies Sample 05,https://security-guard-companies-sample-05.example,Denver,CO,Local Service,Relevant local service opportunity signal 5,https://security-guard-companies-sample-05.example,(555) 014-104,hello5@security-guard-companies-sample-05.example,https://security-guard-companies-sample-05.example/contact,https://example.com/source/500-security-guard-companies/5,Sample row for 500 Security Guard Companies; replace with verified production data before outreach.
Security Guard Companies Sample 06,https://security-guard-companies-sample-06.example,Phoenix,AZ,Local Service,Relevant local service opportunity signal 6,https://security-guard-companies-sample-06.example,(555) 015-105,hello6@security-guard-companies-sample-06.example,https://security-guard-companies-sample-06.example/contact,https://example.com/source/500-security-guard-companies/6,Sample row for 500 Security Guard Companies; replace with verified production data before outreach.
Security Guard Companies Sample 07,https://security-guard-companies-sample-07.example,Chicago,IL,Local Service,Relevant local service opportunity signal 7,https://security-guard-companies-sample-07.example,(555) 016-106,hello7@security-guard-companies-sample-07.example,https://security-guard-companies-sample-07.example/contact,https://example.com/source/500-security-guard-companies/7,Sample row for 500 Security Guard Companies; replace with verified production data before outreach.
Security Guard Companies Sample 08,https://security-guard-companies-sample-08.example,Seattle,WA,Local Service,Relevant local service opportunity signal 8,https://security-guard-companies-sample-08.example,(555) 017-107,hello8@security-guard-companies-sample-08.example,https://security-guard-companies-sample-08.example/contact,https://example.com/source/500-security-guard-companies/8,Sample row for 500 Security Guard Companies; replace with verified production data before outreach.
Security Guard Companies Sample 09,https://security-guard-companies-sample-09.example,Atlanta,GA,Local Service,Relevant local service opportunity signal 9,https://security-guard-companies-sample-09.example,(555) 018-108,hello9@security-guard-companies-sample-09.example,https://security-guard-companies-sample-09.example/contact,https://example.com/source/500-security-guard-companies/9,Sample row for 500 Security Guard Companies; replace with verified production data before outreach.
Security Guard Companies Sample 10,https://security-guard-companies-sample-10.example,Miami,FL,Local Service,Relevant local service opportunity signal 10,https://security-guard-companies-sample-10.example,(555) 019-109,hello10@security-guard-companies-sample-10.example,https://security-guard-companies-sample-10.example/contact,https://example.com/source/500-security-guard-companies/10,Sample row for 500 Security Guard Companies; replace with verified production data before outreach.
