agency_organization,department,website,city,state,public_contact_page,phone,public_email,source_url,category,notes
agency organization sample 1,department sample 1,https://municipal-job-boards-sample-01.example,Los Angeles,CA,https://municipal-job-boards-sample-01.example/contact,(555) 010-100,hello1@municipal-job-boards-sample-01.example,https://example.com/source/municipal-job-boards/1,Government and Public Organization,Sample row for Municipal job boards; replace with verified production data before outreach.
agency organization sample 2,department sample 2,https://municipal-job-boards-sample-02.example,San Diego,CA,https://municipal-job-boards-sample-02.example/contact,(555) 011-101,hello2@municipal-job-boards-sample-02.example,https://example.com/source/municipal-job-boards/2,Government and Public Organization,Sample row for Municipal job boards; replace with verified production data before outreach.
agency organization sample 3,department sample 3,https://municipal-job-boards-sample-03.example,San Jose,CA,https://municipal-job-boards-sample-03.example/contact,(555) 012-102,hello3@municipal-job-boards-sample-03.example,https://example.com/source/municipal-job-boards/3,Government and Public Organization,Sample row for Municipal job boards; replace with verified production data before outreach.
agency organization sample 4,department sample 4,https://municipal-job-boards-sample-04.example,Austin,TX,https://municipal-job-boards-sample-04.example/contact,(555) 013-103,hello4@municipal-job-boards-sample-04.example,https://example.com/source/municipal-job-boards/4,Government and Public Organization,Sample row for Municipal job boards; replace with verified production data before outreach.
agency organization sample 5,department sample 5,https://municipal-job-boards-sample-05.example,Denver,CO,https://municipal-job-boards-sample-05.example/contact,(555) 014-104,hello5@municipal-job-boards-sample-05.example,https://example.com/source/municipal-job-boards/5,Government and Public Organization,Sample row for Municipal job boards; replace with verified production data before outreach.
agency organization sample 6,department sample 6,https://municipal-job-boards-sample-06.example,Phoenix,AZ,https://municipal-job-boards-sample-06.example/contact,(555) 015-105,hello6@municipal-job-boards-sample-06.example,https://example.com/source/municipal-job-boards/6,Government and Public Organization,Sample row for Municipal job boards; replace with verified production data before outreach.
agency organization sample 7,department sample 7,https://municipal-job-boards-sample-07.example,Chicago,IL,https://municipal-job-boards-sample-07.example/contact,(555) 016-106,hello7@municipal-job-boards-sample-07.example,https://example.com/source/municipal-job-boards/7,Government and Public Organization,Sample row for Municipal job boards; replace with verified production data before outreach.
agency organization sample 8,department sample 8,https://municipal-job-boards-sample-08.example,Seattle,WA,https://municipal-job-boards-sample-08.example/contact,(555) 017-107,hello8@municipal-job-boards-sample-08.example,https://example.com/source/municipal-job-boards/8,Government and Public Organization,Sample row for Municipal job boards; replace with verified production data before outreach.
agency organization sample 9,department sample 9,https://municipal-job-boards-sample-09.example,Atlanta,GA,https://municipal-job-boards-sample-09.example/contact,(555) 018-108,hello9@municipal-job-boards-sample-09.example,https://example.com/source/municipal-job-boards/9,Government and Public Organization,Sample row for Municipal job boards; replace with verified production data before outreach.
agency organization sample 10,department sample 10,https://municipal-job-boards-sample-10.example,Miami,FL,https://municipal-job-boards-sample-10.example/contact,(555) 019-109,hello10@municipal-job-boards-sample-10.example,https://example.com/source/municipal-job-boards/10,Government and Public Organization,Sample row for Municipal job boards; replace with verified production data before outreach.
