agency_organization,department,website,city,state,public_contact_page,phone,public_email,source_url,category,notes
agency organization sample 1,department sample 1,https://transit-agencies-sample-01.example,Los Angeles,CA,https://transit-agencies-sample-01.example/contact,(555) 010-100,hello1@transit-agencies-sample-01.example,https://example.com/source/transit-agencies/1,Government and Public Organization,Sample row for Transit agencies; replace with verified production data before outreach.
agency organization sample 2,department sample 2,https://transit-agencies-sample-02.example,San Diego,CA,https://transit-agencies-sample-02.example/contact,(555) 011-101,hello2@transit-agencies-sample-02.example,https://example.com/source/transit-agencies/2,Government and Public Organization,Sample row for Transit agencies; replace with verified production data before outreach.
agency organization sample 3,department sample 3,https://transit-agencies-sample-03.example,San Jose,CA,https://transit-agencies-sample-03.example/contact,(555) 012-102,hello3@transit-agencies-sample-03.example,https://example.com/source/transit-agencies/3,Government and Public Organization,Sample row for Transit agencies; replace with verified production data before outreach.
agency organization sample 4,department sample 4,https://transit-agencies-sample-04.example,Austin,TX,https://transit-agencies-sample-04.example/contact,(555) 013-103,hello4@transit-agencies-sample-04.example,https://example.com/source/transit-agencies/4,Government and Public Organization,Sample row for Transit agencies; replace with verified production data before outreach.
agency organization sample 5,department sample 5,https://transit-agencies-sample-05.example,Denver,CO,https://transit-agencies-sample-05.example/contact,(555) 014-104,hello5@transit-agencies-sample-05.example,https://example.com/source/transit-agencies/5,Government and Public Organization,Sample row for Transit agencies; replace with verified production data before outreach.
agency organization sample 6,department sample 6,https://transit-agencies-sample-06.example,Phoenix,AZ,https://transit-agencies-sample-06.example/contact,(555) 015-105,hello6@transit-agencies-sample-06.example,https://example.com/source/transit-agencies/6,Government and Public Organization,Sample row for Transit agencies; replace with verified production data before outreach.
agency organization sample 7,department sample 7,https://transit-agencies-sample-07.example,Chicago,IL,https://transit-agencies-sample-07.example/contact,(555) 016-106,hello7@transit-agencies-sample-07.example,https://example.com/source/transit-agencies/7,Government and Public Organization,Sample row for Transit agencies; replace with verified production data before outreach.
agency organization sample 8,department sample 8,https://transit-agencies-sample-08.example,Seattle,WA,https://transit-agencies-sample-08.example/contact,(555) 017-107,hello8@transit-agencies-sample-08.example,https://example.com/source/transit-agencies/8,Government and Public Organization,Sample row for Transit agencies; replace with verified production data before outreach.
agency organization sample 9,department sample 9,https://transit-agencies-sample-09.example,Atlanta,GA,https://transit-agencies-sample-09.example/contact,(555) 018-108,hello9@transit-agencies-sample-09.example,https://example.com/source/transit-agencies/9,Government and Public Organization,Sample row for Transit agencies; replace with verified production data before outreach.
agency organization sample 10,department sample 10,https://transit-agencies-sample-10.example,Miami,FL,https://transit-agencies-sample-10.example/contact,(555) 019-109,hello10@transit-agencies-sample-10.example,https://example.com/source/transit-agencies/10,Government and Public Organization,Sample row for Transit agencies; replace with verified production data before outreach.
