agency_organization,department,website,city,state,public_contact_page,phone,public_email,source_url,category,notes
agency organization sample 1,department sample 1,https://parks-and-recreation-departments-sample-01.example,Los Angeles,CA,https://parks-and-recreation-departments-sample-01.example/contact,(555) 010-100,hello1@parks-and-recreation-departments-sample-01.example,https://example.com/source/parks-and-recreation-departments/1,Government and Public Organization,Sample row for Parks and recreation departments; replace with verified production data before outreach.
agency organization sample 2,department sample 2,https://parks-and-recreation-departments-sample-02.example,San Diego,CA,https://parks-and-recreation-departments-sample-02.example/contact,(555) 011-101,hello2@parks-and-recreation-departments-sample-02.example,https://example.com/source/parks-and-recreation-departments/2,Government and Public Organization,Sample row for Parks and recreation departments; replace with verified production data before outreach.
agency organization sample 3,department sample 3,https://parks-and-recreation-departments-sample-03.example,San Jose,CA,https://parks-and-recreation-departments-sample-03.example/contact,(555) 012-102,hello3@parks-and-recreation-departments-sample-03.example,https://example.com/source/parks-and-recreation-departments/3,Government and Public Organization,Sample row for Parks and recreation departments; replace with verified production data before outreach.
agency organization sample 4,department sample 4,https://parks-and-recreation-departments-sample-04.example,Austin,TX,https://parks-and-recreation-departments-sample-04.example/contact,(555) 013-103,hello4@parks-and-recreation-departments-sample-04.example,https://example.com/source/parks-and-recreation-departments/4,Government and Public Organization,Sample row for Parks and recreation departments; replace with verified production data before outreach.
agency organization sample 5,department sample 5,https://parks-and-recreation-departments-sample-05.example,Denver,CO,https://parks-and-recreation-departments-sample-05.example/contact,(555) 014-104,hello5@parks-and-recreation-departments-sample-05.example,https://example.com/source/parks-and-recreation-departments/5,Government and Public Organization,Sample row for Parks and recreation departments; replace with verified production data before outreach.
agency organization sample 6,department sample 6,https://parks-and-recreation-departments-sample-06.example,Phoenix,AZ,https://parks-and-recreation-departments-sample-06.example/contact,(555) 015-105,hello6@parks-and-recreation-departments-sample-06.example,https://example.com/source/parks-and-recreation-departments/6,Government and Public Organization,Sample row for Parks and recreation departments; replace with verified production data before outreach.
agency organization sample 7,department sample 7,https://parks-and-recreation-departments-sample-07.example,Chicago,IL,https://parks-and-recreation-departments-sample-07.example/contact,(555) 016-106,hello7@parks-and-recreation-departments-sample-07.example,https://example.com/source/parks-and-recreation-departments/7,Government and Public Organization,Sample row for Parks and recreation departments; replace with verified production data before outreach.
agency organization sample 8,department sample 8,https://parks-and-recreation-departments-sample-08.example,Seattle,WA,https://parks-and-recreation-departments-sample-08.example/contact,(555) 017-107,hello8@parks-and-recreation-departments-sample-08.example,https://example.com/source/parks-and-recreation-departments/8,Government and Public Organization,Sample row for Parks and recreation departments; replace with verified production data before outreach.
agency organization sample 9,department sample 9,https://parks-and-recreation-departments-sample-09.example,Atlanta,GA,https://parks-and-recreation-departments-sample-09.example/contact,(555) 018-108,hello9@parks-and-recreation-departments-sample-09.example,https://example.com/source/parks-and-recreation-departments/9,Government and Public Organization,Sample row for Parks and recreation departments; replace with verified production data before outreach.
agency organization sample 10,department sample 10,https://parks-and-recreation-departments-sample-10.example,Miami,FL,https://parks-and-recreation-departments-sample-10.example/contact,(555) 019-109,hello10@parks-and-recreation-departments-sample-10.example,https://example.com/source/parks-and-recreation-departments/10,Government and Public Organization,Sample row for Parks and recreation departments; replace with verified production data before outreach.
