business_name,website,city,state,ad_signal,keyword_market,phone,public_email,landing_page,source_url,notes
Funeral homes Sample 01,https://funeral-homes-sample-01.example,Los Angeles,CA,Paid traffic signal with weak conversion path,Los Angeles,(555) 010-100,hello1@funeral-homes-sample-01.example,https://funeral-homes-sample-01.example,https://example.com/source/funeral-homes-running-google-ads/1,Sample row for Funeral homes running Google Ads; replace with verified production data before outreach.
Funeral homes Sample 02,https://funeral-homes-sample-02.example,San Diego,CA,Paid traffic signal with weak conversion path,San Diego,(555) 011-101,hello2@funeral-homes-sample-02.example,https://funeral-homes-sample-02.example,https://example.com/source/funeral-homes-running-google-ads/2,Sample row for Funeral homes running Google Ads; replace with verified production data before outreach.
Funeral homes Sample 03,https://funeral-homes-sample-03.example,San Jose,CA,Paid traffic signal with weak conversion path,San Jose,(555) 012-102,hello3@funeral-homes-sample-03.example,https://funeral-homes-sample-03.example,https://example.com/source/funeral-homes-running-google-ads/3,Sample row for Funeral homes running Google Ads; replace with verified production data before outreach.
Funeral homes Sample 04,https://funeral-homes-sample-04.example,Austin,TX,Paid traffic signal with weak conversion path,Austin,(555) 013-103,hello4@funeral-homes-sample-04.example,https://funeral-homes-sample-04.example,https://example.com/source/funeral-homes-running-google-ads/4,Sample row for Funeral homes running Google Ads; replace with verified production data before outreach.
Funeral homes Sample 05,https://funeral-homes-sample-05.example,Denver,CO,Paid traffic signal with weak conversion path,Denver,(555) 014-104,hello5@funeral-homes-sample-05.example,https://funeral-homes-sample-05.example,https://example.com/source/funeral-homes-running-google-ads/5,Sample row for Funeral homes running Google Ads; replace with verified production data before outreach.
Funeral homes Sample 06,https://funeral-homes-sample-06.example,Phoenix,AZ,Paid traffic signal with weak conversion path,Phoenix,(555) 015-105,hello6@funeral-homes-sample-06.example,https://funeral-homes-sample-06.example,https://example.com/source/funeral-homes-running-google-ads/6,Sample row for Funeral homes running Google Ads; replace with verified production data before outreach.
Funeral homes Sample 07,https://funeral-homes-sample-07.example,Chicago,IL,Paid traffic signal with weak conversion path,Chicago,(555) 016-106,hello7@funeral-homes-sample-07.example,https://funeral-homes-sample-07.example,https://example.com/source/funeral-homes-running-google-ads/7,Sample row for Funeral homes running Google Ads; replace with verified production data before outreach.
Funeral homes Sample 08,https://funeral-homes-sample-08.example,Seattle,WA,Paid traffic signal with weak conversion path,Seattle,(555) 017-107,hello8@funeral-homes-sample-08.example,https://funeral-homes-sample-08.example,https://example.com/source/funeral-homes-running-google-ads/8,Sample row for Funeral homes running Google Ads; replace with verified production data before outreach.
Funeral homes Sample 09,https://funeral-homes-sample-09.example,Atlanta,GA,Paid traffic signal with weak conversion path,Atlanta,(555) 018-108,hello9@funeral-homes-sample-09.example,https://funeral-homes-sample-09.example,https://example.com/source/funeral-homes-running-google-ads/9,Sample row for Funeral homes running Google Ads; replace with verified production data before outreach.
Funeral homes Sample 10,https://funeral-homes-sample-10.example,Miami,FL,Paid traffic signal with weak conversion path,Miami,(555) 019-109,hello10@funeral-homes-sample-10.example,https://funeral-homes-sample-10.example,https://example.com/source/funeral-homes-running-google-ads/10,Sample row for Funeral homes running Google Ads; replace with verified production data before outreach.
