office_agency_name,jurisdiction,city,county,state,election_official_name,role,public_email,phone,website,voter_information_url,candidate_filing_url,rfp_procurement_url,source_url,notes
office agency name sample 1,jurisdiction sample 1,Los Angeles,county sample 1,CA,election official name sample 1,role sample 1,hello1@state-election-officials-directory-sample-01.example,(555) 010-100,https://state-election-officials-directory-sample-01.example,voter information url sample 1,2026-04-10,rfp procurement url sample 1,https://example.com/source/state-election-officials-directory/1,Sample row for State Election Officials Directory; replace with verified production data before outreach.
office agency name sample 2,jurisdiction sample 2,San Diego,county sample 2,CA,election official name sample 2,role sample 2,hello2@state-election-officials-directory-sample-02.example,(555) 011-101,https://state-election-officials-directory-sample-02.example,voter information url sample 2,2026-04-11,rfp procurement url sample 2,https://example.com/source/state-election-officials-directory/2,Sample row for State Election Officials Directory; replace with verified production data before outreach.
office agency name sample 3,jurisdiction sample 3,San Jose,county sample 3,CA,election official name sample 3,role sample 3,hello3@state-election-officials-directory-sample-03.example,(555) 012-102,https://state-election-officials-directory-sample-03.example,voter information url sample 3,2026-04-12,rfp procurement url sample 3,https://example.com/source/state-election-officials-directory/3,Sample row for State Election Officials Directory; replace with verified production data before outreach.
office agency name sample 4,jurisdiction sample 4,Austin,county sample 4,TX,election official name sample 4,role sample 4,hello4@state-election-officials-directory-sample-04.example,(555) 013-103,https://state-election-officials-directory-sample-04.example,voter information url sample 4,2026-04-13,rfp procurement url sample 4,https://example.com/source/state-election-officials-directory/4,Sample row for State Election Officials Directory; replace with verified production data before outreach.
office agency name sample 5,jurisdiction sample 5,Denver,county sample 5,CO,election official name sample 5,role sample 5,hello5@state-election-officials-directory-sample-05.example,(555) 014-104,https://state-election-officials-directory-sample-05.example,voter information url sample 5,2026-04-14,rfp procurement url sample 5,https://example.com/source/state-election-officials-directory/5,Sample row for State Election Officials Directory; replace with verified production data before outreach.
office agency name sample 6,jurisdiction sample 6,Phoenix,county sample 6,AZ,election official name sample 6,role sample 6,hello6@state-election-officials-directory-sample-06.example,(555) 015-105,https://state-election-officials-directory-sample-06.example,voter information url sample 6,2026-04-15,rfp procurement url sample 6,https://example.com/source/state-election-officials-directory/6,Sample row for State Election Officials Directory; replace with verified production data before outreach.
office agency name sample 7,jurisdiction sample 7,Chicago,county sample 7,IL,election official name sample 7,role sample 7,hello7@state-election-officials-directory-sample-07.example,(555) 016-106,https://state-election-officials-directory-sample-07.example,voter information url sample 7,2026-04-16,rfp procurement url sample 7,https://example.com/source/state-election-officials-directory/7,Sample row for State Election Officials Directory; replace with verified production data before outreach.
office agency name sample 8,jurisdiction sample 8,Seattle,county sample 8,WA,election official name sample 8,role sample 8,hello8@state-election-officials-directory-sample-08.example,(555) 017-107,https://state-election-officials-directory-sample-08.example,voter information url sample 8,2026-04-17,rfp procurement url sample 8,https://example.com/source/state-election-officials-directory/8,Sample row for State Election Officials Directory; replace with verified production data before outreach.
office agency name sample 9,jurisdiction sample 9,Atlanta,county sample 9,GA,election official name sample 9,role sample 9,hello9@state-election-officials-directory-sample-09.example,(555) 018-108,https://state-election-officials-directory-sample-09.example,voter information url sample 9,2026-04-18,rfp procurement url sample 9,https://example.com/source/state-election-officials-directory/9,Sample row for State Election Officials Directory; replace with verified production data before outreach.
office agency name sample 10,jurisdiction sample 10,Miami,county sample 10,FL,election official name sample 10,role sample 10,hello10@state-election-officials-directory-sample-10.example,(555) 019-109,https://state-election-officials-directory-sample-10.example,voter information url sample 10,2026-04-19,rfp procurement url sample 10,https://example.com/source/state-election-officials-directory/10,Sample row for State Election Officials Directory; replace with verified production data before outreach.
