business_name,website,city,state,category,issue_spotted,contact_page,phone,public_email,source_url,notes
Private schools Sample 01,https://private-schools-sample-01.example,Los Angeles,CA,Website Opportunity,Outdated site signals visible in public web review,https://private-schools-sample-01.example/contact,(555) 010-100,hello1@private-schools-sample-01.example,https://example.com/source/private-schools-with-outdated-websites/1,Sample row for Private schools with outdated websites; replace with verified production data before outreach.
Private schools Sample 02,https://private-schools-sample-02.example,San Diego,CA,Website Opportunity,Outdated site signals visible in public web review,https://private-schools-sample-02.example/contact,(555) 011-101,hello2@private-schools-sample-02.example,https://example.com/source/private-schools-with-outdated-websites/2,Sample row for Private schools with outdated websites; replace with verified production data before outreach.
Private schools Sample 03,https://private-schools-sample-03.example,San Jose,CA,Website Opportunity,Outdated site signals visible in public web review,https://private-schools-sample-03.example/contact,(555) 012-102,hello3@private-schools-sample-03.example,https://example.com/source/private-schools-with-outdated-websites/3,Sample row for Private schools with outdated websites; replace with verified production data before outreach.
Private schools Sample 04,https://private-schools-sample-04.example,Austin,TX,Website Opportunity,Outdated site signals visible in public web review,https://private-schools-sample-04.example/contact,(555) 013-103,hello4@private-schools-sample-04.example,https://example.com/source/private-schools-with-outdated-websites/4,Sample row for Private schools with outdated websites; replace with verified production data before outreach.
Private schools Sample 05,https://private-schools-sample-05.example,Denver,CO,Website Opportunity,Outdated site signals visible in public web review,https://private-schools-sample-05.example/contact,(555) 014-104,hello5@private-schools-sample-05.example,https://example.com/source/private-schools-with-outdated-websites/5,Sample row for Private schools with outdated websites; replace with verified production data before outreach.
Private schools Sample 06,https://private-schools-sample-06.example,Phoenix,AZ,Website Opportunity,Outdated site signals visible in public web review,https://private-schools-sample-06.example/contact,(555) 015-105,hello6@private-schools-sample-06.example,https://example.com/source/private-schools-with-outdated-websites/6,Sample row for Private schools with outdated websites; replace with verified production data before outreach.
Private schools Sample 07,https://private-schools-sample-07.example,Chicago,IL,Website Opportunity,Outdated site signals visible in public web review,https://private-schools-sample-07.example/contact,(555) 016-106,hello7@private-schools-sample-07.example,https://example.com/source/private-schools-with-outdated-websites/7,Sample row for Private schools with outdated websites; replace with verified production data before outreach.
Private schools Sample 08,https://private-schools-sample-08.example,Seattle,WA,Website Opportunity,Outdated site signals visible in public web review,https://private-schools-sample-08.example/contact,(555) 017-107,hello8@private-schools-sample-08.example,https://example.com/source/private-schools-with-outdated-websites/8,Sample row for Private schools with outdated websites; replace with verified production data before outreach.
Private schools Sample 09,https://private-schools-sample-09.example,Atlanta,GA,Website Opportunity,Outdated site signals visible in public web review,https://private-schools-sample-09.example/contact,(555) 018-108,hello9@private-schools-sample-09.example,https://example.com/source/private-schools-with-outdated-websites/9,Sample row for Private schools with outdated websites; replace with verified production data before outreach.
Private schools Sample 10,https://private-schools-sample-10.example,Miami,FL,Website Opportunity,Outdated site signals visible in public web review,https://private-schools-sample-10.example/contact,(555) 019-109,hello10@private-schools-sample-10.example,https://example.com/source/private-schools-with-outdated-websites/10,Sample row for Private schools with outdated websites; replace with verified production data before outreach.
