business_name,website,city,state,service_category,local_demand_signal,website_conversion_gap_where_visible,phone,public_email,contact_page,source_url,notes
Roofing Companies Sample 01,https://roofing-companies-sample-01.example,Los Angeles,CA,Local Service,Paid traffic signal with weak conversion path,https://roofing-companies-sample-01.example,(555) 010-100,hello1@roofing-companies-sample-01.example,https://roofing-companies-sample-01.example/contact,https://example.com/source/500-roofing-companies-running-ads/1,Sample row for 500 Roofing Companies Running Ads; replace with verified production data before outreach.
Roofing Companies Sample 02,https://roofing-companies-sample-02.example,San Diego,CA,Local Service,Paid traffic signal with weak conversion path,https://roofing-companies-sample-02.example,(555) 011-101,hello2@roofing-companies-sample-02.example,https://roofing-companies-sample-02.example/contact,https://example.com/source/500-roofing-companies-running-ads/2,Sample row for 500 Roofing Companies Running Ads; replace with verified production data before outreach.
Roofing Companies Sample 03,https://roofing-companies-sample-03.example,San Jose,CA,Local Service,Paid traffic signal with weak conversion path,https://roofing-companies-sample-03.example,(555) 012-102,hello3@roofing-companies-sample-03.example,https://roofing-companies-sample-03.example/contact,https://example.com/source/500-roofing-companies-running-ads/3,Sample row for 500 Roofing Companies Running Ads; replace with verified production data before outreach.
Roofing Companies Sample 04,https://roofing-companies-sample-04.example,Austin,TX,Local Service,Paid traffic signal with weak conversion path,https://roofing-companies-sample-04.example,(555) 013-103,hello4@roofing-companies-sample-04.example,https://roofing-companies-sample-04.example/contact,https://example.com/source/500-roofing-companies-running-ads/4,Sample row for 500 Roofing Companies Running Ads; replace with verified production data before outreach.
Roofing Companies Sample 05,https://roofing-companies-sample-05.example,Denver,CO,Local Service,Paid traffic signal with weak conversion path,https://roofing-companies-sample-05.example,(555) 014-104,hello5@roofing-companies-sample-05.example,https://roofing-companies-sample-05.example/contact,https://example.com/source/500-roofing-companies-running-ads/5,Sample row for 500 Roofing Companies Running Ads; replace with verified production data before outreach.
Roofing Companies Sample 06,https://roofing-companies-sample-06.example,Phoenix,AZ,Local Service,Paid traffic signal with weak conversion path,https://roofing-companies-sample-06.example,(555) 015-105,hello6@roofing-companies-sample-06.example,https://roofing-companies-sample-06.example/contact,https://example.com/source/500-roofing-companies-running-ads/6,Sample row for 500 Roofing Companies Running Ads; replace with verified production data before outreach.
Roofing Companies Sample 07,https://roofing-companies-sample-07.example,Chicago,IL,Local Service,Paid traffic signal with weak conversion path,https://roofing-companies-sample-07.example,(555) 016-106,hello7@roofing-companies-sample-07.example,https://roofing-companies-sample-07.example/contact,https://example.com/source/500-roofing-companies-running-ads/7,Sample row for 500 Roofing Companies Running Ads; replace with verified production data before outreach.
Roofing Companies Sample 08,https://roofing-companies-sample-08.example,Seattle,WA,Local Service,Paid traffic signal with weak conversion path,https://roofing-companies-sample-08.example,(555) 017-107,hello8@roofing-companies-sample-08.example,https://roofing-companies-sample-08.example/contact,https://example.com/source/500-roofing-companies-running-ads/8,Sample row for 500 Roofing Companies Running Ads; replace with verified production data before outreach.
Roofing Companies Sample 09,https://roofing-companies-sample-09.example,Atlanta,GA,Local Service,Paid traffic signal with weak conversion path,https://roofing-companies-sample-09.example,(555) 018-108,hello9@roofing-companies-sample-09.example,https://roofing-companies-sample-09.example/contact,https://example.com/source/500-roofing-companies-running-ads/9,Sample row for 500 Roofing Companies Running Ads; replace with verified production data before outreach.
Roofing Companies Sample 10,https://roofing-companies-sample-10.example,Miami,FL,Local Service,Paid traffic signal with weak conversion path,https://roofing-companies-sample-10.example,(555) 019-109,hello10@roofing-companies-sample-10.example,https://roofing-companies-sample-10.example/contact,https://example.com/source/500-roofing-companies-running-ads/10,Sample row for 500 Roofing Companies Running Ads; replace with verified production data before outreach.
