business_name,website,city,state,software_gap,booking_quote_status,contact_page,phone,public_email,source_url,notes
Salons Sample 01,https://salons-sample-01.example,Los Angeles,CA,No obvious online workflow found,No obvious online workflow found,https://salons-sample-01.example/contact,(555) 010-100,hello1@salons-sample-01.example,https://example.com/source/salons-without-online-booking/1,Sample row for Salons without online booking; replace with verified production data before outreach.
Salons Sample 02,https://salons-sample-02.example,San Diego,CA,No obvious online workflow found,No obvious online workflow found,https://salons-sample-02.example/contact,(555) 011-101,hello2@salons-sample-02.example,https://example.com/source/salons-without-online-booking/2,Sample row for Salons without online booking; replace with verified production data before outreach.
Salons Sample 03,https://salons-sample-03.example,San Jose,CA,No obvious online workflow found,No obvious online workflow found,https://salons-sample-03.example/contact,(555) 012-102,hello3@salons-sample-03.example,https://example.com/source/salons-without-online-booking/3,Sample row for Salons without online booking; replace with verified production data before outreach.
Salons Sample 04,https://salons-sample-04.example,Austin,TX,No obvious online workflow found,No obvious online workflow found,https://salons-sample-04.example/contact,(555) 013-103,hello4@salons-sample-04.example,https://example.com/source/salons-without-online-booking/4,Sample row for Salons without online booking; replace with verified production data before outreach.
Salons Sample 05,https://salons-sample-05.example,Denver,CO,No obvious online workflow found,No obvious online workflow found,https://salons-sample-05.example/contact,(555) 014-104,hello5@salons-sample-05.example,https://example.com/source/salons-without-online-booking/5,Sample row for Salons without online booking; replace with verified production data before outreach.
Salons Sample 06,https://salons-sample-06.example,Phoenix,AZ,No obvious online workflow found,No obvious online workflow found,https://salons-sample-06.example/contact,(555) 015-105,hello6@salons-sample-06.example,https://example.com/source/salons-without-online-booking/6,Sample row for Salons without online booking; replace with verified production data before outreach.
Salons Sample 07,https://salons-sample-07.example,Chicago,IL,No obvious online workflow found,No obvious online workflow found,https://salons-sample-07.example/contact,(555) 016-106,hello7@salons-sample-07.example,https://example.com/source/salons-without-online-booking/7,Sample row for Salons without online booking; replace with verified production data before outreach.
Salons Sample 08,https://salons-sample-08.example,Seattle,WA,No obvious online workflow found,No obvious online workflow found,https://salons-sample-08.example/contact,(555) 017-107,hello8@salons-sample-08.example,https://example.com/source/salons-without-online-booking/8,Sample row for Salons without online booking; replace with verified production data before outreach.
Salons Sample 09,https://salons-sample-09.example,Atlanta,GA,No obvious online workflow found,No obvious online workflow found,https://salons-sample-09.example/contact,(555) 018-108,hello9@salons-sample-09.example,https://example.com/source/salons-without-online-booking/9,Sample row for Salons without online booking; replace with verified production data before outreach.
Salons Sample 10,https://salons-sample-10.example,Miami,FL,No obvious online workflow found,No obvious online workflow found,https://salons-sample-10.example/contact,(555) 019-109,hello10@salons-sample-10.example,https://example.com/source/salons-without-online-booking/10,Sample row for Salons without online booking; replace with verified production data before outreach.
