company_property_name,website,city,state,property_type,phone,public_email,contact_page,source_url,notes
company property name sample 1,https://boutique-hotels-sample-01.example,Los Angeles,CA,property type sample 1,(555) 010-100,hello1@boutique-hotels-sample-01.example,https://boutique-hotels-sample-01.example/contact,https://example.com/source/boutique-hotels/1,Sample row for Boutique hotels; replace with verified production data before outreach.
company property name sample 2,https://boutique-hotels-sample-02.example,San Diego,CA,property type sample 2,(555) 011-101,hello2@boutique-hotels-sample-02.example,https://boutique-hotels-sample-02.example/contact,https://example.com/source/boutique-hotels/2,Sample row for Boutique hotels; replace with verified production data before outreach.
company property name sample 3,https://boutique-hotels-sample-03.example,San Jose,CA,property type sample 3,(555) 012-102,hello3@boutique-hotels-sample-03.example,https://boutique-hotels-sample-03.example/contact,https://example.com/source/boutique-hotels/3,Sample row for Boutique hotels; replace with verified production data before outreach.
company property name sample 4,https://boutique-hotels-sample-04.example,Austin,TX,property type sample 4,(555) 013-103,hello4@boutique-hotels-sample-04.example,https://boutique-hotels-sample-04.example/contact,https://example.com/source/boutique-hotels/4,Sample row for Boutique hotels; replace with verified production data before outreach.
company property name sample 5,https://boutique-hotels-sample-05.example,Denver,CO,property type sample 5,(555) 014-104,hello5@boutique-hotels-sample-05.example,https://boutique-hotels-sample-05.example/contact,https://example.com/source/boutique-hotels/5,Sample row for Boutique hotels; replace with verified production data before outreach.
company property name sample 6,https://boutique-hotels-sample-06.example,Phoenix,AZ,property type sample 6,(555) 015-105,hello6@boutique-hotels-sample-06.example,https://boutique-hotels-sample-06.example/contact,https://example.com/source/boutique-hotels/6,Sample row for Boutique hotels; replace with verified production data before outreach.
company property name sample 7,https://boutique-hotels-sample-07.example,Chicago,IL,property type sample 7,(555) 016-106,hello7@boutique-hotels-sample-07.example,https://boutique-hotels-sample-07.example/contact,https://example.com/source/boutique-hotels/7,Sample row for Boutique hotels; replace with verified production data before outreach.
company property name sample 8,https://boutique-hotels-sample-08.example,Seattle,WA,property type sample 8,(555) 017-107,hello8@boutique-hotels-sample-08.example,https://boutique-hotels-sample-08.example/contact,https://example.com/source/boutique-hotels/8,Sample row for Boutique hotels; replace with verified production data before outreach.
company property name sample 9,https://boutique-hotels-sample-09.example,Atlanta,GA,property type sample 9,(555) 018-108,hello9@boutique-hotels-sample-09.example,https://boutique-hotels-sample-09.example/contact,https://example.com/source/boutique-hotels/9,Sample row for Boutique hotels; replace with verified production data before outreach.
company property name sample 10,https://boutique-hotels-sample-10.example,Miami,FL,property type sample 10,(555) 019-109,hello10@boutique-hotels-sample-10.example,https://boutique-hotels-sample-10.example/contact,https://example.com/source/boutique-hotels/10,Sample row for Boutique hotels; replace with verified production data before outreach.
