business_name,website,city,state,automation_gap,intake_lead_capture_signal,contact_page,phone,public_email,source_url,notes
Businesses Sample 01,https://businesses-sample-01.example,Los Angeles,CA,Relevant ai automation opportunity opportunity signal 1,Relevant ai automation opportunity opportunity signal 1,https://businesses-sample-01.example/contact,(555) 010-100,hello1@businesses-sample-01.example,https://example.com/source/500-businesses-with-no-chatbot-or-live-chat/1,Sample row for 500 Businesses With No Chatbot or Live Chat; replace with verified production data before outreach.
Businesses Sample 02,https://businesses-sample-02.example,San Diego,CA,Relevant ai automation opportunity opportunity signal 2,Relevant ai automation opportunity opportunity signal 2,https://businesses-sample-02.example/contact,(555) 011-101,hello2@businesses-sample-02.example,https://example.com/source/500-businesses-with-no-chatbot-or-live-chat/2,Sample row for 500 Businesses With No Chatbot or Live Chat; replace with verified production data before outreach.
Businesses Sample 03,https://businesses-sample-03.example,San Jose,CA,Relevant ai automation opportunity opportunity signal 3,Relevant ai automation opportunity opportunity signal 3,https://businesses-sample-03.example/contact,(555) 012-102,hello3@businesses-sample-03.example,https://example.com/source/500-businesses-with-no-chatbot-or-live-chat/3,Sample row for 500 Businesses With No Chatbot or Live Chat; replace with verified production data before outreach.
Businesses Sample 04,https://businesses-sample-04.example,Austin,TX,Relevant ai automation opportunity opportunity signal 4,Relevant ai automation opportunity opportunity signal 4,https://businesses-sample-04.example/contact,(555) 013-103,hello4@businesses-sample-04.example,https://example.com/source/500-businesses-with-no-chatbot-or-live-chat/4,Sample row for 500 Businesses With No Chatbot or Live Chat; replace with verified production data before outreach.
Businesses Sample 05,https://businesses-sample-05.example,Denver,CO,Relevant ai automation opportunity opportunity signal 5,Relevant ai automation opportunity opportunity signal 5,https://businesses-sample-05.example/contact,(555) 014-104,hello5@businesses-sample-05.example,https://example.com/source/500-businesses-with-no-chatbot-or-live-chat/5,Sample row for 500 Businesses With No Chatbot or Live Chat; replace with verified production data before outreach.
Businesses Sample 06,https://businesses-sample-06.example,Phoenix,AZ,Relevant ai automation opportunity opportunity signal 6,Relevant ai automation opportunity opportunity signal 6,https://businesses-sample-06.example/contact,(555) 015-105,hello6@businesses-sample-06.example,https://example.com/source/500-businesses-with-no-chatbot-or-live-chat/6,Sample row for 500 Businesses With No Chatbot or Live Chat; replace with verified production data before outreach.
Businesses Sample 07,https://businesses-sample-07.example,Chicago,IL,Relevant ai automation opportunity opportunity signal 7,Relevant ai automation opportunity opportunity signal 7,https://businesses-sample-07.example/contact,(555) 016-106,hello7@businesses-sample-07.example,https://example.com/source/500-businesses-with-no-chatbot-or-live-chat/7,Sample row for 500 Businesses With No Chatbot or Live Chat; replace with verified production data before outreach.
Businesses Sample 08,https://businesses-sample-08.example,Seattle,WA,Relevant ai automation opportunity opportunity signal 8,Relevant ai automation opportunity opportunity signal 8,https://businesses-sample-08.example/contact,(555) 017-107,hello8@businesses-sample-08.example,https://example.com/source/500-businesses-with-no-chatbot-or-live-chat/8,Sample row for 500 Businesses With No Chatbot or Live Chat; replace with verified production data before outreach.
Businesses Sample 09,https://businesses-sample-09.example,Atlanta,GA,Relevant ai automation opportunity opportunity signal 9,Relevant ai automation opportunity opportunity signal 9,https://businesses-sample-09.example/contact,(555) 018-108,hello9@businesses-sample-09.example,https://example.com/source/500-businesses-with-no-chatbot-or-live-chat/9,Sample row for 500 Businesses With No Chatbot or Live Chat; replace with verified production data before outreach.
Businesses Sample 10,https://businesses-sample-10.example,Miami,FL,Relevant ai automation opportunity opportunity signal 10,Relevant ai automation opportunity opportunity signal 10,https://businesses-sample-10.example/contact,(555) 019-109,hello10@businesses-sample-10.example,https://example.com/source/500-businesses-with-no-chatbot-or-live-chat/10,Sample row for 500 Businesses With No Chatbot or Live Chat; replace with verified production data before outreach.
