organization_name,issue_area,city,state,website,public_email,leadership_names,endorsement_page,events_page,donation_page,pac_lobbying_signal_where_public,social_links,source_url,notes
organization name sample 1,Relevant political data opportunity signal 1,Los Angeles,CA,https://candidate-endorsement-page-tracker-sample-01.example,hello1@candidate-endorsement-page-tracker-sample-01.example,leadership names sample 1,endorsement page sample 1,events page sample 1,Relevant political data opportunity signal 1,Relevant political data opportunity signal 1,https://www.instagram.com/candidate-endorsement-page-tracker-sample-01,https://example.com/source/candidate-endorsement-page-tracker/1,Sample row for Candidate Endorsement Page Tracker; replace with verified production data before outreach.
organization name sample 2,Relevant political data opportunity signal 2,San Diego,CA,https://candidate-endorsement-page-tracker-sample-02.example,hello2@candidate-endorsement-page-tracker-sample-02.example,leadership names sample 2,endorsement page sample 2,events page sample 2,Relevant political data opportunity signal 2,Relevant political data opportunity signal 2,https://www.instagram.com/candidate-endorsement-page-tracker-sample-02,https://example.com/source/candidate-endorsement-page-tracker/2,Sample row for Candidate Endorsement Page Tracker; replace with verified production data before outreach.
organization name sample 3,Relevant political data opportunity signal 3,San Jose,CA,https://candidate-endorsement-page-tracker-sample-03.example,hello3@candidate-endorsement-page-tracker-sample-03.example,leadership names sample 3,endorsement page sample 3,events page sample 3,Relevant political data opportunity signal 3,Relevant political data opportunity signal 3,https://www.instagram.com/candidate-endorsement-page-tracker-sample-03,https://example.com/source/candidate-endorsement-page-tracker/3,Sample row for Candidate Endorsement Page Tracker; replace with verified production data before outreach.
organization name sample 4,Relevant political data opportunity signal 4,Austin,TX,https://candidate-endorsement-page-tracker-sample-04.example,hello4@candidate-endorsement-page-tracker-sample-04.example,leadership names sample 4,endorsement page sample 4,events page sample 4,Relevant political data opportunity signal 4,Relevant political data opportunity signal 4,https://www.instagram.com/candidate-endorsement-page-tracker-sample-04,https://example.com/source/candidate-endorsement-page-tracker/4,Sample row for Candidate Endorsement Page Tracker; replace with verified production data before outreach.
organization name sample 5,Relevant political data opportunity signal 5,Denver,CO,https://candidate-endorsement-page-tracker-sample-05.example,hello5@candidate-endorsement-page-tracker-sample-05.example,leadership names sample 5,endorsement page sample 5,events page sample 5,Relevant political data opportunity signal 5,Relevant political data opportunity signal 5,https://www.instagram.com/candidate-endorsement-page-tracker-sample-05,https://example.com/source/candidate-endorsement-page-tracker/5,Sample row for Candidate Endorsement Page Tracker; replace with verified production data before outreach.
organization name sample 6,Relevant political data opportunity signal 6,Phoenix,AZ,https://candidate-endorsement-page-tracker-sample-06.example,hello6@candidate-endorsement-page-tracker-sample-06.example,leadership names sample 6,endorsement page sample 6,events page sample 6,Relevant political data opportunity signal 6,Relevant political data opportunity signal 6,https://www.instagram.com/candidate-endorsement-page-tracker-sample-06,https://example.com/source/candidate-endorsement-page-tracker/6,Sample row for Candidate Endorsement Page Tracker; replace with verified production data before outreach.
organization name sample 7,Relevant political data opportunity signal 7,Chicago,IL,https://candidate-endorsement-page-tracker-sample-07.example,hello7@candidate-endorsement-page-tracker-sample-07.example,leadership names sample 7,endorsement page sample 7,events page sample 7,Relevant political data opportunity signal 7,Relevant political data opportunity signal 7,https://www.instagram.com/candidate-endorsement-page-tracker-sample-07,https://example.com/source/candidate-endorsement-page-tracker/7,Sample row for Candidate Endorsement Page Tracker; replace with verified production data before outreach.
organization name sample 8,Relevant political data opportunity signal 8,Seattle,WA,https://candidate-endorsement-page-tracker-sample-08.example,hello8@candidate-endorsement-page-tracker-sample-08.example,leadership names sample 8,endorsement page sample 8,events page sample 8,Relevant political data opportunity signal 8,Relevant political data opportunity signal 8,https://www.instagram.com/candidate-endorsement-page-tracker-sample-08,https://example.com/source/candidate-endorsement-page-tracker/8,Sample row for Candidate Endorsement Page Tracker; replace with verified production data before outreach.
organization name sample 9,Relevant political data opportunity signal 9,Atlanta,GA,https://candidate-endorsement-page-tracker-sample-09.example,hello9@candidate-endorsement-page-tracker-sample-09.example,leadership names sample 9,endorsement page sample 9,events page sample 9,Relevant political data opportunity signal 9,Relevant political data opportunity signal 9,https://www.instagram.com/candidate-endorsement-page-tracker-sample-09,https://example.com/source/candidate-endorsement-page-tracker/9,Sample row for Candidate Endorsement Page Tracker; replace with verified production data before outreach.
organization name sample 10,Relevant political data opportunity signal 10,Miami,FL,https://candidate-endorsement-page-tracker-sample-10.example,hello10@candidate-endorsement-page-tracker-sample-10.example,leadership names sample 10,endorsement page sample 10,events page sample 10,Relevant political data opportunity signal 10,Relevant political data opportunity signal 10,https://www.instagram.com/candidate-endorsement-page-tracker-sample-10,https://example.com/source/candidate-endorsement-page-tracker/10,Sample row for Candidate Endorsement Page Tracker; replace with verified production data before outreach.
