business_name,website_source_profile,city,state,category,rating_signal,review_count,review_issue,recent_review_response_signal,contact_page,phone,public_email,source_url,notes
Medspas Sample 01,https://medspas-sample-01.example,Los Angeles,CA,Reputation Signal,Review/reputation follow-up opportunity,review count sample 1,Review/reputation follow-up opportunity,Review/reputation follow-up opportunity,https://medspas-sample-01.example/contact,(555) 010-100,hello1@medspas-sample-01.example,https://example.com/source/500-medspas-with-bad-recent-reviews/1,Sample row for 500 Medspas With Bad Recent Reviews; replace with verified production data before outreach.
Medspas Sample 02,https://medspas-sample-02.example,San Diego,CA,Reputation Signal,Review/reputation follow-up opportunity,review count sample 2,Review/reputation follow-up opportunity,Review/reputation follow-up opportunity,https://medspas-sample-02.example/contact,(555) 011-101,hello2@medspas-sample-02.example,https://example.com/source/500-medspas-with-bad-recent-reviews/2,Sample row for 500 Medspas With Bad Recent Reviews; replace with verified production data before outreach.
Medspas Sample 03,https://medspas-sample-03.example,San Jose,CA,Reputation Signal,Review/reputation follow-up opportunity,review count sample 3,Review/reputation follow-up opportunity,Review/reputation follow-up opportunity,https://medspas-sample-03.example/contact,(555) 012-102,hello3@medspas-sample-03.example,https://example.com/source/500-medspas-with-bad-recent-reviews/3,Sample row for 500 Medspas With Bad Recent Reviews; replace with verified production data before outreach.
Medspas Sample 04,https://medspas-sample-04.example,Austin,TX,Reputation Signal,Review/reputation follow-up opportunity,review count sample 4,Review/reputation follow-up opportunity,Review/reputation follow-up opportunity,https://medspas-sample-04.example/contact,(555) 013-103,hello4@medspas-sample-04.example,https://example.com/source/500-medspas-with-bad-recent-reviews/4,Sample row for 500 Medspas With Bad Recent Reviews; replace with verified production data before outreach.
Medspas Sample 05,https://medspas-sample-05.example,Denver,CO,Reputation Signal,Review/reputation follow-up opportunity,review count sample 5,Review/reputation follow-up opportunity,Review/reputation follow-up opportunity,https://medspas-sample-05.example/contact,(555) 014-104,hello5@medspas-sample-05.example,https://example.com/source/500-medspas-with-bad-recent-reviews/5,Sample row for 500 Medspas With Bad Recent Reviews; replace with verified production data before outreach.
Medspas Sample 06,https://medspas-sample-06.example,Phoenix,AZ,Reputation Signal,Review/reputation follow-up opportunity,review count sample 6,Review/reputation follow-up opportunity,Review/reputation follow-up opportunity,https://medspas-sample-06.example/contact,(555) 015-105,hello6@medspas-sample-06.example,https://example.com/source/500-medspas-with-bad-recent-reviews/6,Sample row for 500 Medspas With Bad Recent Reviews; replace with verified production data before outreach.
Medspas Sample 07,https://medspas-sample-07.example,Chicago,IL,Reputation Signal,Review/reputation follow-up opportunity,review count sample 7,Review/reputation follow-up opportunity,Review/reputation follow-up opportunity,https://medspas-sample-07.example/contact,(555) 016-106,hello7@medspas-sample-07.example,https://example.com/source/500-medspas-with-bad-recent-reviews/7,Sample row for 500 Medspas With Bad Recent Reviews; replace with verified production data before outreach.
Medspas Sample 08,https://medspas-sample-08.example,Seattle,WA,Reputation Signal,Review/reputation follow-up opportunity,review count sample 8,Review/reputation follow-up opportunity,Review/reputation follow-up opportunity,https://medspas-sample-08.example/contact,(555) 017-107,hello8@medspas-sample-08.example,https://example.com/source/500-medspas-with-bad-recent-reviews/8,Sample row for 500 Medspas With Bad Recent Reviews; replace with verified production data before outreach.
Medspas Sample 09,https://medspas-sample-09.example,Atlanta,GA,Reputation Signal,Review/reputation follow-up opportunity,review count sample 9,Review/reputation follow-up opportunity,Review/reputation follow-up opportunity,https://medspas-sample-09.example/contact,(555) 018-108,hello9@medspas-sample-09.example,https://example.com/source/500-medspas-with-bad-recent-reviews/9,Sample row for 500 Medspas With Bad Recent Reviews; replace with verified production data before outreach.
Medspas Sample 10,https://medspas-sample-10.example,Miami,FL,Reputation Signal,Review/reputation follow-up opportunity,review count sample 10,Review/reputation follow-up opportunity,Review/reputation follow-up opportunity,https://medspas-sample-10.example/contact,(555) 019-109,hello10@medspas-sample-10.example,https://example.com/source/500-medspas-with-bad-recent-reviews/10,Sample row for 500 Medspas With Bad Recent Reviews; replace with verified production data before outreach.
