business_creator_name,website_profile_url,city,state_market,category,website_gap,booking_intake_gap,ad_spend_activity_signal,public_contact_path,phone,source_urls,agent_stats_score,notes
business creator name sample 1,https://businesses-sample-01.example,Los Angeles,Los Angeles,Agent Stats,https://businesses-sample-01.example,Paid traffic signal with weak conversion path,Paid traffic signal with weak conversion path,https://businesses-sample-01.example/contact,(555) 010-100,https://example.com/source/500-businesses-running-google-ads-with-bad-landing-pages-agent-stats/1,78,Sample row for 500 Businesses Running Google Ads With Bad Landing Pages - Agent Stats; replace with verified production data before outreach.
business creator name sample 2,https://businesses-sample-02.example,San Diego,San Diego,Agent Stats,https://businesses-sample-02.example,Paid traffic signal with weak conversion path,Paid traffic signal with weak conversion path,https://businesses-sample-02.example/contact,(555) 011-101,https://example.com/source/500-businesses-running-google-ads-with-bad-landing-pages-agent-stats/2,79,Sample row for 500 Businesses Running Google Ads With Bad Landing Pages - Agent Stats; replace with verified production data before outreach.
business creator name sample 3,https://businesses-sample-03.example,San Jose,San Jose,Agent Stats,https://businesses-sample-03.example,Paid traffic signal with weak conversion path,Paid traffic signal with weak conversion path,https://businesses-sample-03.example/contact,(555) 012-102,https://example.com/source/500-businesses-running-google-ads-with-bad-landing-pages-agent-stats/3,80,Sample row for 500 Businesses Running Google Ads With Bad Landing Pages - Agent Stats; replace with verified production data before outreach.
business creator name sample 4,https://businesses-sample-04.example,Austin,Austin,Agent Stats,https://businesses-sample-04.example,Paid traffic signal with weak conversion path,Paid traffic signal with weak conversion path,https://businesses-sample-04.example/contact,(555) 013-103,https://example.com/source/500-businesses-running-google-ads-with-bad-landing-pages-agent-stats/4,81,Sample row for 500 Businesses Running Google Ads With Bad Landing Pages - Agent Stats; replace with verified production data before outreach.
business creator name sample 5,https://businesses-sample-05.example,Denver,Denver,Agent Stats,https://businesses-sample-05.example,Paid traffic signal with weak conversion path,Paid traffic signal with weak conversion path,https://businesses-sample-05.example/contact,(555) 014-104,https://example.com/source/500-businesses-running-google-ads-with-bad-landing-pages-agent-stats/5,82,Sample row for 500 Businesses Running Google Ads With Bad Landing Pages - Agent Stats; replace with verified production data before outreach.
business creator name sample 6,https://businesses-sample-06.example,Phoenix,Phoenix,Agent Stats,https://businesses-sample-06.example,Paid traffic signal with weak conversion path,Paid traffic signal with weak conversion path,https://businesses-sample-06.example/contact,(555) 015-105,https://example.com/source/500-businesses-running-google-ads-with-bad-landing-pages-agent-stats/6,83,Sample row for 500 Businesses Running Google Ads With Bad Landing Pages - Agent Stats; replace with verified production data before outreach.
business creator name sample 7,https://businesses-sample-07.example,Chicago,Chicago,Agent Stats,https://businesses-sample-07.example,Paid traffic signal with weak conversion path,Paid traffic signal with weak conversion path,https://businesses-sample-07.example/contact,(555) 016-106,https://example.com/source/500-businesses-running-google-ads-with-bad-landing-pages-agent-stats/7,84,Sample row for 500 Businesses Running Google Ads With Bad Landing Pages - Agent Stats; replace with verified production data before outreach.
business creator name sample 8,https://businesses-sample-08.example,Seattle,Seattle,Agent Stats,https://businesses-sample-08.example,Paid traffic signal with weak conversion path,Paid traffic signal with weak conversion path,https://businesses-sample-08.example/contact,(555) 017-107,https://example.com/source/500-businesses-running-google-ads-with-bad-landing-pages-agent-stats/8,85,Sample row for 500 Businesses Running Google Ads With Bad Landing Pages - Agent Stats; replace with verified production data before outreach.
business creator name sample 9,https://businesses-sample-09.example,Atlanta,Atlanta,Agent Stats,https://businesses-sample-09.example,Paid traffic signal with weak conversion path,Paid traffic signal with weak conversion path,https://businesses-sample-09.example/contact,(555) 018-108,https://example.com/source/500-businesses-running-google-ads-with-bad-landing-pages-agent-stats/9,86,Sample row for 500 Businesses Running Google Ads With Bad Landing Pages - Agent Stats; replace with verified production data before outreach.
business creator name sample 10,https://businesses-sample-10.example,Miami,Miami,Agent Stats,https://businesses-sample-10.example,Paid traffic signal with weak conversion path,Paid traffic signal with weak conversion path,https://businesses-sample-10.example/contact,(555) 019-109,https://example.com/source/500-businesses-running-google-ads-with-bad-landing-pages-agent-stats/10,87,Sample row for 500 Businesses Running Google Ads With Bad Landing Pages - Agent Stats; replace with verified production data before outreach.
