union_local_name,endorsed_candidate,office,election,date_announced,endorsement_link,contact_email,leadership_names,past_endorsements,source_url,notes
union local name sample 1,2026-04-10,office sample 1,election sample 1,2026-04-10,endorsement link sample 1,hello1@union-endorsement-tracker-sample-01.example,leadership names sample 1,past endorsements sample 1,https://example.com/source/union-endorsement-tracker/1,Sample row for Union Endorsement Tracker; replace with verified production data before outreach.
union local name sample 2,2026-04-11,office sample 2,election sample 2,2026-04-11,endorsement link sample 2,hello2@union-endorsement-tracker-sample-02.example,leadership names sample 2,past endorsements sample 2,https://example.com/source/union-endorsement-tracker/2,Sample row for Union Endorsement Tracker; replace with verified production data before outreach.
union local name sample 3,2026-04-12,office sample 3,election sample 3,2026-04-12,endorsement link sample 3,hello3@union-endorsement-tracker-sample-03.example,leadership names sample 3,past endorsements sample 3,https://example.com/source/union-endorsement-tracker/3,Sample row for Union Endorsement Tracker; replace with verified production data before outreach.
union local name sample 4,2026-04-13,office sample 4,election sample 4,2026-04-13,endorsement link sample 4,hello4@union-endorsement-tracker-sample-04.example,leadership names sample 4,past endorsements sample 4,https://example.com/source/union-endorsement-tracker/4,Sample row for Union Endorsement Tracker; replace with verified production data before outreach.
union local name sample 5,2026-04-14,office sample 5,election sample 5,2026-04-14,endorsement link sample 5,hello5@union-endorsement-tracker-sample-05.example,leadership names sample 5,past endorsements sample 5,https://example.com/source/union-endorsement-tracker/5,Sample row for Union Endorsement Tracker; replace with verified production data before outreach.
union local name sample 6,2026-04-15,office sample 6,election sample 6,2026-04-15,endorsement link sample 6,hello6@union-endorsement-tracker-sample-06.example,leadership names sample 6,past endorsements sample 6,https://example.com/source/union-endorsement-tracker/6,Sample row for Union Endorsement Tracker; replace with verified production data before outreach.
union local name sample 7,2026-04-16,office sample 7,election sample 7,2026-04-16,endorsement link sample 7,hello7@union-endorsement-tracker-sample-07.example,leadership names sample 7,past endorsements sample 7,https://example.com/source/union-endorsement-tracker/7,Sample row for Union Endorsement Tracker; replace with verified production data before outreach.
union local name sample 8,2026-04-17,office sample 8,election sample 8,2026-04-17,endorsement link sample 8,hello8@union-endorsement-tracker-sample-08.example,leadership names sample 8,past endorsements sample 8,https://example.com/source/union-endorsement-tracker/8,Sample row for Union Endorsement Tracker; replace with verified production data before outreach.
union local name sample 9,2026-04-18,office sample 9,election sample 9,2026-04-18,endorsement link sample 9,hello9@union-endorsement-tracker-sample-09.example,leadership names sample 9,past endorsements sample 9,https://example.com/source/union-endorsement-tracker/9,Sample row for Union Endorsement Tracker; replace with verified production data before outreach.
union local name sample 10,2026-04-19,office sample 10,election sample 10,2026-04-19,endorsement link sample 10,hello10@union-endorsement-tracker-sample-10.example,leadership names sample 10,past endorsements sample 10,https://example.com/source/union-endorsement-tracker/10,Sample row for Union Endorsement Tracker; replace with verified production data before outreach.
