organization_venue_name,website,city,state_market,event_category,booking_sponsor_signal,contact_page,public_email,phone,source_url,notes
organization venue name sample 1,https://corporate-event-planners-sample-01.example,Los Angeles,Los Angeles,Events and Venues,Relevant events and venues opportunity signal 1,https://corporate-event-planners-sample-01.example/contact,hello1@corporate-event-planners-sample-01.example,(555) 010-100,https://example.com/source/500-corporate-event-planners/1,Sample row for 500 Corporate Event Planners; replace with verified production data before outreach.
organization venue name sample 2,https://corporate-event-planners-sample-02.example,San Diego,San Diego,Events and Venues,Relevant events and venues opportunity signal 2,https://corporate-event-planners-sample-02.example/contact,hello2@corporate-event-planners-sample-02.example,(555) 011-101,https://example.com/source/500-corporate-event-planners/2,Sample row for 500 Corporate Event Planners; replace with verified production data before outreach.
organization venue name sample 3,https://corporate-event-planners-sample-03.example,San Jose,San Jose,Events and Venues,Relevant events and venues opportunity signal 3,https://corporate-event-planners-sample-03.example/contact,hello3@corporate-event-planners-sample-03.example,(555) 012-102,https://example.com/source/500-corporate-event-planners/3,Sample row for 500 Corporate Event Planners; replace with verified production data before outreach.
organization venue name sample 4,https://corporate-event-planners-sample-04.example,Austin,Austin,Events and Venues,Relevant events and venues opportunity signal 4,https://corporate-event-planners-sample-04.example/contact,hello4@corporate-event-planners-sample-04.example,(555) 013-103,https://example.com/source/500-corporate-event-planners/4,Sample row for 500 Corporate Event Planners; replace with verified production data before outreach.
organization venue name sample 5,https://corporate-event-planners-sample-05.example,Denver,Denver,Events and Venues,Relevant events and venues opportunity signal 5,https://corporate-event-planners-sample-05.example/contact,hello5@corporate-event-planners-sample-05.example,(555) 014-104,https://example.com/source/500-corporate-event-planners/5,Sample row for 500 Corporate Event Planners; replace with verified production data before outreach.
organization venue name sample 6,https://corporate-event-planners-sample-06.example,Phoenix,Phoenix,Events and Venues,Relevant events and venues opportunity signal 6,https://corporate-event-planners-sample-06.example/contact,hello6@corporate-event-planners-sample-06.example,(555) 015-105,https://example.com/source/500-corporate-event-planners/6,Sample row for 500 Corporate Event Planners; replace with verified production data before outreach.
organization venue name sample 7,https://corporate-event-planners-sample-07.example,Chicago,Chicago,Events and Venues,Relevant events and venues opportunity signal 7,https://corporate-event-planners-sample-07.example/contact,hello7@corporate-event-planners-sample-07.example,(555) 016-106,https://example.com/source/500-corporate-event-planners/7,Sample row for 500 Corporate Event Planners; replace with verified production data before outreach.
organization venue name sample 8,https://corporate-event-planners-sample-08.example,Seattle,Seattle,Events and Venues,Relevant events and venues opportunity signal 8,https://corporate-event-planners-sample-08.example/contact,hello8@corporate-event-planners-sample-08.example,(555) 017-107,https://example.com/source/500-corporate-event-planners/8,Sample row for 500 Corporate Event Planners; replace with verified production data before outreach.
organization venue name sample 9,https://corporate-event-planners-sample-09.example,Atlanta,Atlanta,Events and Venues,Relevant events and venues opportunity signal 9,https://corporate-event-planners-sample-09.example/contact,hello9@corporate-event-planners-sample-09.example,(555) 018-108,https://example.com/source/500-corporate-event-planners/9,Sample row for 500 Corporate Event Planners; replace with verified production data before outreach.
organization venue name sample 10,https://corporate-event-planners-sample-10.example,Miami,Miami,Events and Venues,Relevant events and venues opportunity signal 10,https://corporate-event-planners-sample-10.example/contact,hello10@corporate-event-planners-sample-10.example,(555) 019-109,https://example.com/source/500-corporate-event-planners/10,Sample row for 500 Corporate Event Planners; replace with verified production data before outreach.
