agency_organization,department,website,city,state,public_contact_page,phone,public_email,source_url,category,notes
agency organization sample 1,department sample 1,https://water-districts-sample-01.example,Los Angeles,CA,https://water-districts-sample-01.example/contact,(555) 010-100,hello1@water-districts-sample-01.example,https://example.com/source/water-districts/1,Government and Public Organization,Sample row for Water districts; replace with verified production data before outreach.
agency organization sample 2,department sample 2,https://water-districts-sample-02.example,San Diego,CA,https://water-districts-sample-02.example/contact,(555) 011-101,hello2@water-districts-sample-02.example,https://example.com/source/water-districts/2,Government and Public Organization,Sample row for Water districts; replace with verified production data before outreach.
agency organization sample 3,department sample 3,https://water-districts-sample-03.example,San Jose,CA,https://water-districts-sample-03.example/contact,(555) 012-102,hello3@water-districts-sample-03.example,https://example.com/source/water-districts/3,Government and Public Organization,Sample row for Water districts; replace with verified production data before outreach.
agency organization sample 4,department sample 4,https://water-districts-sample-04.example,Austin,TX,https://water-districts-sample-04.example/contact,(555) 013-103,hello4@water-districts-sample-04.example,https://example.com/source/water-districts/4,Government and Public Organization,Sample row for Water districts; replace with verified production data before outreach.
agency organization sample 5,department sample 5,https://water-districts-sample-05.example,Denver,CO,https://water-districts-sample-05.example/contact,(555) 014-104,hello5@water-districts-sample-05.example,https://example.com/source/water-districts/5,Government and Public Organization,Sample row for Water districts; replace with verified production data before outreach.
agency organization sample 6,department sample 6,https://water-districts-sample-06.example,Phoenix,AZ,https://water-districts-sample-06.example/contact,(555) 015-105,hello6@water-districts-sample-06.example,https://example.com/source/water-districts/6,Government and Public Organization,Sample row for Water districts; replace with verified production data before outreach.
agency organization sample 7,department sample 7,https://water-districts-sample-07.example,Chicago,IL,https://water-districts-sample-07.example/contact,(555) 016-106,hello7@water-districts-sample-07.example,https://example.com/source/water-districts/7,Government and Public Organization,Sample row for Water districts; replace with verified production data before outreach.
agency organization sample 8,department sample 8,https://water-districts-sample-08.example,Seattle,WA,https://water-districts-sample-08.example/contact,(555) 017-107,hello8@water-districts-sample-08.example,https://example.com/source/water-districts/8,Government and Public Organization,Sample row for Water districts; replace with verified production data before outreach.
agency organization sample 9,department sample 9,https://water-districts-sample-09.example,Atlanta,GA,https://water-districts-sample-09.example/contact,(555) 018-108,hello9@water-districts-sample-09.example,https://example.com/source/water-districts/9,Government and Public Organization,Sample row for Water districts; replace with verified production data before outreach.
agency organization sample 10,department sample 10,https://water-districts-sample-10.example,Miami,FL,https://water-districts-sample-10.example/contact,(555) 019-109,hello10@water-districts-sample-10.example,https://example.com/source/water-districts/10,Government and Public Organization,Sample row for Water districts; replace with verified production data before outreach.
