business_name,website_source_profile,city,state,category,rating_signal,review_count,review_issue,recent_review_response_signal,contact_page,phone,public_email,source_url,notes
Local Businesses Sample 01,https://local-businesses-sample-01.example,Los Angeles,CA,Reputation Signal,Relevant reputation signal opportunity signal 1,review count sample 1,Relevant reputation signal opportunity signal 1,Relevant reputation signal opportunity signal 1,https://local-businesses-sample-01.example/contact,(555) 010-100,hello1@local-businesses-sample-01.example,https://example.com/source/500-local-businesses-with-no-review-replies/1,Sample row for 500 Local Businesses With No Review Replies; replace with verified production data before outreach.
Local Businesses Sample 02,https://local-businesses-sample-02.example,San Diego,CA,Reputation Signal,Relevant reputation signal opportunity signal 2,review count sample 2,Relevant reputation signal opportunity signal 2,Relevant reputation signal opportunity signal 2,https://local-businesses-sample-02.example/contact,(555) 011-101,hello2@local-businesses-sample-02.example,https://example.com/source/500-local-businesses-with-no-review-replies/2,Sample row for 500 Local Businesses With No Review Replies; replace with verified production data before outreach.
Local Businesses Sample 03,https://local-businesses-sample-03.example,San Jose,CA,Reputation Signal,Relevant reputation signal opportunity signal 3,review count sample 3,Relevant reputation signal opportunity signal 3,Relevant reputation signal opportunity signal 3,https://local-businesses-sample-03.example/contact,(555) 012-102,hello3@local-businesses-sample-03.example,https://example.com/source/500-local-businesses-with-no-review-replies/3,Sample row for 500 Local Businesses With No Review Replies; replace with verified production data before outreach.
Local Businesses Sample 04,https://local-businesses-sample-04.example,Austin,TX,Reputation Signal,Relevant reputation signal opportunity signal 4,review count sample 4,Relevant reputation signal opportunity signal 4,Relevant reputation signal opportunity signal 4,https://local-businesses-sample-04.example/contact,(555) 013-103,hello4@local-businesses-sample-04.example,https://example.com/source/500-local-businesses-with-no-review-replies/4,Sample row for 500 Local Businesses With No Review Replies; replace with verified production data before outreach.
Local Businesses Sample 05,https://local-businesses-sample-05.example,Denver,CO,Reputation Signal,Relevant reputation signal opportunity signal 5,review count sample 5,Relevant reputation signal opportunity signal 5,Relevant reputation signal opportunity signal 5,https://local-businesses-sample-05.example/contact,(555) 014-104,hello5@local-businesses-sample-05.example,https://example.com/source/500-local-businesses-with-no-review-replies/5,Sample row for 500 Local Businesses With No Review Replies; replace with verified production data before outreach.
Local Businesses Sample 06,https://local-businesses-sample-06.example,Phoenix,AZ,Reputation Signal,Relevant reputation signal opportunity signal 6,review count sample 6,Relevant reputation signal opportunity signal 6,Relevant reputation signal opportunity signal 6,https://local-businesses-sample-06.example/contact,(555) 015-105,hello6@local-businesses-sample-06.example,https://example.com/source/500-local-businesses-with-no-review-replies/6,Sample row for 500 Local Businesses With No Review Replies; replace with verified production data before outreach.
Local Businesses Sample 07,https://local-businesses-sample-07.example,Chicago,IL,Reputation Signal,Relevant reputation signal opportunity signal 7,review count sample 7,Relevant reputation signal opportunity signal 7,Relevant reputation signal opportunity signal 7,https://local-businesses-sample-07.example/contact,(555) 016-106,hello7@local-businesses-sample-07.example,https://example.com/source/500-local-businesses-with-no-review-replies/7,Sample row for 500 Local Businesses With No Review Replies; replace with verified production data before outreach.
Local Businesses Sample 08,https://local-businesses-sample-08.example,Seattle,WA,Reputation Signal,Relevant reputation signal opportunity signal 8,review count sample 8,Relevant reputation signal opportunity signal 8,Relevant reputation signal opportunity signal 8,https://local-businesses-sample-08.example/contact,(555) 017-107,hello8@local-businesses-sample-08.example,https://example.com/source/500-local-businesses-with-no-review-replies/8,Sample row for 500 Local Businesses With No Review Replies; replace with verified production data before outreach.
Local Businesses Sample 09,https://local-businesses-sample-09.example,Atlanta,GA,Reputation Signal,Relevant reputation signal opportunity signal 9,review count sample 9,Relevant reputation signal opportunity signal 9,Relevant reputation signal opportunity signal 9,https://local-businesses-sample-09.example/contact,(555) 018-108,hello9@local-businesses-sample-09.example,https://example.com/source/500-local-businesses-with-no-review-replies/9,Sample row for 500 Local Businesses With No Review Replies; replace with verified production data before outreach.
Local Businesses Sample 10,https://local-businesses-sample-10.example,Miami,FL,Reputation Signal,Relevant reputation signal opportunity signal 10,review count sample 10,Relevant reputation signal opportunity signal 10,Relevant reputation signal opportunity signal 10,https://local-businesses-sample-10.example/contact,(555) 019-109,hello10@local-businesses-sample-10.example,https://example.com/source/500-local-businesses-with-no-review-replies/10,Sample row for 500 Local Businesses With No Review Replies; replace with verified production data before outreach.
