business_name,website,city,state,category,lead_response_intake_signal,chat_booking_status,ai_tool_gap,contact_page,phone,public_email,source_url,suggested_outreach_angle,notes
SMBs Sample 01,https://smbs-sample-01.example,Los Angeles,CA,AI Automation Opportunity,Review/reputation follow-up opportunity,Review/reputation follow-up opportunity,Review/reputation follow-up opportunity,https://smbs-sample-01.example/contact,(555) 010-100,hello1@smbs-sample-01.example,https://example.com/source/500-smbs-with-many-reviews-but-weak-website-conversion/1,Sample row for 500 SMBs With Many Reviews But Weak Website Conversion; replace with verified production data before outreach.,Sample row for 500 SMBs With Many Reviews But Weak Website Conversion; replace with verified production data before outreach.
SMBs Sample 02,https://smbs-sample-02.example,San Diego,CA,AI Automation Opportunity,Review/reputation follow-up opportunity,Review/reputation follow-up opportunity,Review/reputation follow-up opportunity,https://smbs-sample-02.example/contact,(555) 011-101,hello2@smbs-sample-02.example,https://example.com/source/500-smbs-with-many-reviews-but-weak-website-conversion/2,Sample row for 500 SMBs With Many Reviews But Weak Website Conversion; replace with verified production data before outreach.,Sample row for 500 SMBs With Many Reviews But Weak Website Conversion; replace with verified production data before outreach.
SMBs Sample 03,https://smbs-sample-03.example,San Jose,CA,AI Automation Opportunity,Review/reputation follow-up opportunity,Review/reputation follow-up opportunity,Review/reputation follow-up opportunity,https://smbs-sample-03.example/contact,(555) 012-102,hello3@smbs-sample-03.example,https://example.com/source/500-smbs-with-many-reviews-but-weak-website-conversion/3,Sample row for 500 SMBs With Many Reviews But Weak Website Conversion; replace with verified production data before outreach.,Sample row for 500 SMBs With Many Reviews But Weak Website Conversion; replace with verified production data before outreach.
SMBs Sample 04,https://smbs-sample-04.example,Austin,TX,AI Automation Opportunity,Review/reputation follow-up opportunity,Review/reputation follow-up opportunity,Review/reputation follow-up opportunity,https://smbs-sample-04.example/contact,(555) 013-103,hello4@smbs-sample-04.example,https://example.com/source/500-smbs-with-many-reviews-but-weak-website-conversion/4,Sample row for 500 SMBs With Many Reviews But Weak Website Conversion; replace with verified production data before outreach.,Sample row for 500 SMBs With Many Reviews But Weak Website Conversion; replace with verified production data before outreach.
SMBs Sample 05,https://smbs-sample-05.example,Denver,CO,AI Automation Opportunity,Review/reputation follow-up opportunity,Review/reputation follow-up opportunity,Review/reputation follow-up opportunity,https://smbs-sample-05.example/contact,(555) 014-104,hello5@smbs-sample-05.example,https://example.com/source/500-smbs-with-many-reviews-but-weak-website-conversion/5,Sample row for 500 SMBs With Many Reviews But Weak Website Conversion; replace with verified production data before outreach.,Sample row for 500 SMBs With Many Reviews But Weak Website Conversion; replace with verified production data before outreach.
SMBs Sample 06,https://smbs-sample-06.example,Phoenix,AZ,AI Automation Opportunity,Review/reputation follow-up opportunity,Review/reputation follow-up opportunity,Review/reputation follow-up opportunity,https://smbs-sample-06.example/contact,(555) 015-105,hello6@smbs-sample-06.example,https://example.com/source/500-smbs-with-many-reviews-but-weak-website-conversion/6,Sample row for 500 SMBs With Many Reviews But Weak Website Conversion; replace with verified production data before outreach.,Sample row for 500 SMBs With Many Reviews But Weak Website Conversion; replace with verified production data before outreach.
SMBs Sample 07,https://smbs-sample-07.example,Chicago,IL,AI Automation Opportunity,Review/reputation follow-up opportunity,Review/reputation follow-up opportunity,Review/reputation follow-up opportunity,https://smbs-sample-07.example/contact,(555) 016-106,hello7@smbs-sample-07.example,https://example.com/source/500-smbs-with-many-reviews-but-weak-website-conversion/7,Sample row for 500 SMBs With Many Reviews But Weak Website Conversion; replace with verified production data before outreach.,Sample row for 500 SMBs With Many Reviews But Weak Website Conversion; replace with verified production data before outreach.
SMBs Sample 08,https://smbs-sample-08.example,Seattle,WA,AI Automation Opportunity,Review/reputation follow-up opportunity,Review/reputation follow-up opportunity,Review/reputation follow-up opportunity,https://smbs-sample-08.example/contact,(555) 017-107,hello8@smbs-sample-08.example,https://example.com/source/500-smbs-with-many-reviews-but-weak-website-conversion/8,Sample row for 500 SMBs With Many Reviews But Weak Website Conversion; replace with verified production data before outreach.,Sample row for 500 SMBs With Many Reviews But Weak Website Conversion; replace with verified production data before outreach.
SMBs Sample 09,https://smbs-sample-09.example,Atlanta,GA,AI Automation Opportunity,Review/reputation follow-up opportunity,Review/reputation follow-up opportunity,Review/reputation follow-up opportunity,https://smbs-sample-09.example/contact,(555) 018-108,hello9@smbs-sample-09.example,https://example.com/source/500-smbs-with-many-reviews-but-weak-website-conversion/9,Sample row for 500 SMBs With Many Reviews But Weak Website Conversion; replace with verified production data before outreach.,Sample row for 500 SMBs With Many Reviews But Weak Website Conversion; replace with verified production data before outreach.
SMBs Sample 10,https://smbs-sample-10.example,Miami,FL,AI Automation Opportunity,Review/reputation follow-up opportunity,Review/reputation follow-up opportunity,Review/reputation follow-up opportunity,https://smbs-sample-10.example/contact,(555) 019-109,hello10@smbs-sample-10.example,https://example.com/source/500-smbs-with-many-reviews-but-weak-website-conversion/10,Sample row for 500 SMBs With Many Reviews But Weak Website Conversion; replace with verified production data before outreach.,Sample row for 500 SMBs With Many Reviews But Weak Website Conversion; replace with verified production data before outreach.
