business_name,website,city,state,category,issue_spotted,contact_page,phone,public_email,source_url,notes
Lawyers Sample 01,https://lawyers-sample-01.example,Los Angeles,CA,Website Opportunity,Outdated site signals visible in public web review,https://lawyers-sample-01.example/contact,(555) 010-100,hello1@lawyers-sample-01.example,https://example.com/source/500-lawyers-with-slow-outdated-websites/1,Sample row for 500 Lawyers With Slow/Outdated Websites; replace with verified production data before outreach.
Lawyers Sample 02,https://lawyers-sample-02.example,San Diego,CA,Website Opportunity,Outdated site signals visible in public web review,https://lawyers-sample-02.example/contact,(555) 011-101,hello2@lawyers-sample-02.example,https://example.com/source/500-lawyers-with-slow-outdated-websites/2,Sample row for 500 Lawyers With Slow/Outdated Websites; replace with verified production data before outreach.
Lawyers Sample 03,https://lawyers-sample-03.example,San Jose,CA,Website Opportunity,Outdated site signals visible in public web review,https://lawyers-sample-03.example/contact,(555) 012-102,hello3@lawyers-sample-03.example,https://example.com/source/500-lawyers-with-slow-outdated-websites/3,Sample row for 500 Lawyers With Slow/Outdated Websites; replace with verified production data before outreach.
Lawyers Sample 04,https://lawyers-sample-04.example,Austin,TX,Website Opportunity,Outdated site signals visible in public web review,https://lawyers-sample-04.example/contact,(555) 013-103,hello4@lawyers-sample-04.example,https://example.com/source/500-lawyers-with-slow-outdated-websites/4,Sample row for 500 Lawyers With Slow/Outdated Websites; replace with verified production data before outreach.
Lawyers Sample 05,https://lawyers-sample-05.example,Denver,CO,Website Opportunity,Outdated site signals visible in public web review,https://lawyers-sample-05.example/contact,(555) 014-104,hello5@lawyers-sample-05.example,https://example.com/source/500-lawyers-with-slow-outdated-websites/5,Sample row for 500 Lawyers With Slow/Outdated Websites; replace with verified production data before outreach.
Lawyers Sample 06,https://lawyers-sample-06.example,Phoenix,AZ,Website Opportunity,Outdated site signals visible in public web review,https://lawyers-sample-06.example/contact,(555) 015-105,hello6@lawyers-sample-06.example,https://example.com/source/500-lawyers-with-slow-outdated-websites/6,Sample row for 500 Lawyers With Slow/Outdated Websites; replace with verified production data before outreach.
Lawyers Sample 07,https://lawyers-sample-07.example,Chicago,IL,Website Opportunity,Outdated site signals visible in public web review,https://lawyers-sample-07.example/contact,(555) 016-106,hello7@lawyers-sample-07.example,https://example.com/source/500-lawyers-with-slow-outdated-websites/7,Sample row for 500 Lawyers With Slow/Outdated Websites; replace with verified production data before outreach.
Lawyers Sample 08,https://lawyers-sample-08.example,Seattle,WA,Website Opportunity,Outdated site signals visible in public web review,https://lawyers-sample-08.example/contact,(555) 017-107,hello8@lawyers-sample-08.example,https://example.com/source/500-lawyers-with-slow-outdated-websites/8,Sample row for 500 Lawyers With Slow/Outdated Websites; replace with verified production data before outreach.
Lawyers Sample 09,https://lawyers-sample-09.example,Atlanta,GA,Website Opportunity,Outdated site signals visible in public web review,https://lawyers-sample-09.example/contact,(555) 018-108,hello9@lawyers-sample-09.example,https://example.com/source/500-lawyers-with-slow-outdated-websites/9,Sample row for 500 Lawyers With Slow/Outdated Websites; replace with verified production data before outreach.
Lawyers Sample 10,https://lawyers-sample-10.example,Miami,FL,Website Opportunity,Outdated site signals visible in public web review,https://lawyers-sample-10.example/contact,(555) 019-109,hello10@lawyers-sample-10.example,https://example.com/source/500-lawyers-with-slow-outdated-websites/10,Sample row for 500 Lawyers With Slow/Outdated Websites; replace with verified production data before outreach.
