organization_venue_name,website,city,state,event_type,booking_page,public_email,phone,social_link,source_url,notes
organization venue name sample 1,https://farmers-market-organizers-sample-01.example,Los Angeles,CA,event type sample 1,Relevant events and venues opportunity signal 1,hello1@farmers-market-organizers-sample-01.example,(555) 010-100,https://www.instagram.com/farmers-market-organizers-sample-01,https://example.com/source/farmers-market-organizers/1,Sample row for Farmers market organizers; replace with verified production data before outreach.
organization venue name sample 2,https://farmers-market-organizers-sample-02.example,San Diego,CA,event type sample 2,Relevant events and venues opportunity signal 2,hello2@farmers-market-organizers-sample-02.example,(555) 011-101,https://www.instagram.com/farmers-market-organizers-sample-02,https://example.com/source/farmers-market-organizers/2,Sample row for Farmers market organizers; replace with verified production data before outreach.
organization venue name sample 3,https://farmers-market-organizers-sample-03.example,San Jose,CA,event type sample 3,Relevant events and venues opportunity signal 3,hello3@farmers-market-organizers-sample-03.example,(555) 012-102,https://www.instagram.com/farmers-market-organizers-sample-03,https://example.com/source/farmers-market-organizers/3,Sample row for Farmers market organizers; replace with verified production data before outreach.
organization venue name sample 4,https://farmers-market-organizers-sample-04.example,Austin,TX,event type sample 4,Relevant events and venues opportunity signal 4,hello4@farmers-market-organizers-sample-04.example,(555) 013-103,https://www.instagram.com/farmers-market-organizers-sample-04,https://example.com/source/farmers-market-organizers/4,Sample row for Farmers market organizers; replace with verified production data before outreach.
organization venue name sample 5,https://farmers-market-organizers-sample-05.example,Denver,CO,event type sample 5,Relevant events and venues opportunity signal 5,hello5@farmers-market-organizers-sample-05.example,(555) 014-104,https://www.instagram.com/farmers-market-organizers-sample-05,https://example.com/source/farmers-market-organizers/5,Sample row for Farmers market organizers; replace with verified production data before outreach.
organization venue name sample 6,https://farmers-market-organizers-sample-06.example,Phoenix,AZ,event type sample 6,Relevant events and venues opportunity signal 6,hello6@farmers-market-organizers-sample-06.example,(555) 015-105,https://www.instagram.com/farmers-market-organizers-sample-06,https://example.com/source/farmers-market-organizers/6,Sample row for Farmers market organizers; replace with verified production data before outreach.
organization venue name sample 7,https://farmers-market-organizers-sample-07.example,Chicago,IL,event type sample 7,Relevant events and venues opportunity signal 7,hello7@farmers-market-organizers-sample-07.example,(555) 016-106,https://www.instagram.com/farmers-market-organizers-sample-07,https://example.com/source/farmers-market-organizers/7,Sample row for Farmers market organizers; replace with verified production data before outreach.
organization venue name sample 8,https://farmers-market-organizers-sample-08.example,Seattle,WA,event type sample 8,Relevant events and venues opportunity signal 8,hello8@farmers-market-organizers-sample-08.example,(555) 017-107,https://www.instagram.com/farmers-market-organizers-sample-08,https://example.com/source/farmers-market-organizers/8,Sample row for Farmers market organizers; replace with verified production data before outreach.
organization venue name sample 9,https://farmers-market-organizers-sample-09.example,Atlanta,GA,event type sample 9,Relevant events and venues opportunity signal 9,hello9@farmers-market-organizers-sample-09.example,(555) 018-108,https://www.instagram.com/farmers-market-organizers-sample-09,https://example.com/source/farmers-market-organizers/9,Sample row for Farmers market organizers; replace with verified production data before outreach.
organization venue name sample 10,https://farmers-market-organizers-sample-10.example,Miami,FL,event type sample 10,Relevant events and venues opportunity signal 10,hello10@farmers-market-organizers-sample-10.example,(555) 019-109,https://www.instagram.com/farmers-market-organizers-sample-10,https://example.com/source/farmers-market-organizers/10,Sample row for Farmers market organizers; replace with verified production data before outreach.
