business_name,website,city,state,category,issue_spotted,contact_page,phone,public_email,source_url,notes
Churches Sample 01,https://churches-sample-01.example,Los Angeles,CA,Website Opportunity,Relevant website opportunity opportunity signal 1,https://churches-sample-01.example/contact,(555) 010-100,hello1@churches-sample-01.example,https://example.com/source/churches-with-no-donation-payment-link/1,Sample row for Churches with no donation/payment link; replace with verified production data before outreach.
Churches Sample 02,https://churches-sample-02.example,San Diego,CA,Website Opportunity,Relevant website opportunity opportunity signal 2,https://churches-sample-02.example/contact,(555) 011-101,hello2@churches-sample-02.example,https://example.com/source/churches-with-no-donation-payment-link/2,Sample row for Churches with no donation/payment link; replace with verified production data before outreach.
Churches Sample 03,https://churches-sample-03.example,San Jose,CA,Website Opportunity,Relevant website opportunity opportunity signal 3,https://churches-sample-03.example/contact,(555) 012-102,hello3@churches-sample-03.example,https://example.com/source/churches-with-no-donation-payment-link/3,Sample row for Churches with no donation/payment link; replace with verified production data before outreach.
Churches Sample 04,https://churches-sample-04.example,Austin,TX,Website Opportunity,Relevant website opportunity opportunity signal 4,https://churches-sample-04.example/contact,(555) 013-103,hello4@churches-sample-04.example,https://example.com/source/churches-with-no-donation-payment-link/4,Sample row for Churches with no donation/payment link; replace with verified production data before outreach.
Churches Sample 05,https://churches-sample-05.example,Denver,CO,Website Opportunity,Relevant website opportunity opportunity signal 5,https://churches-sample-05.example/contact,(555) 014-104,hello5@churches-sample-05.example,https://example.com/source/churches-with-no-donation-payment-link/5,Sample row for Churches with no donation/payment link; replace with verified production data before outreach.
Churches Sample 06,https://churches-sample-06.example,Phoenix,AZ,Website Opportunity,Relevant website opportunity opportunity signal 6,https://churches-sample-06.example/contact,(555) 015-105,hello6@churches-sample-06.example,https://example.com/source/churches-with-no-donation-payment-link/6,Sample row for Churches with no donation/payment link; replace with verified production data before outreach.
Churches Sample 07,https://churches-sample-07.example,Chicago,IL,Website Opportunity,Relevant website opportunity opportunity signal 7,https://churches-sample-07.example/contact,(555) 016-106,hello7@churches-sample-07.example,https://example.com/source/churches-with-no-donation-payment-link/7,Sample row for Churches with no donation/payment link; replace with verified production data before outreach.
Churches Sample 08,https://churches-sample-08.example,Seattle,WA,Website Opportunity,Relevant website opportunity opportunity signal 8,https://churches-sample-08.example/contact,(555) 017-107,hello8@churches-sample-08.example,https://example.com/source/churches-with-no-donation-payment-link/8,Sample row for Churches with no donation/payment link; replace with verified production data before outreach.
Churches Sample 09,https://churches-sample-09.example,Atlanta,GA,Website Opportunity,Relevant website opportunity opportunity signal 9,https://churches-sample-09.example/contact,(555) 018-108,hello9@churches-sample-09.example,https://example.com/source/churches-with-no-donation-payment-link/9,Sample row for Churches with no donation/payment link; replace with verified production data before outreach.
Churches Sample 10,https://churches-sample-10.example,Miami,FL,Website Opportunity,Relevant website opportunity opportunity signal 10,https://churches-sample-10.example/contact,(555) 019-109,hello10@churches-sample-10.example,https://example.com/source/churches-with-no-donation-payment-link/10,Sample row for Churches with no donation/payment link; replace with verified production data before outreach.
