agency_organization,department,website,city,state,public_contact_page,phone,public_email,source_url,category,notes
agency organization sample 1,department sample 1,https://school-board-contact-directories-sample-01.example,Los Angeles,CA,https://school-board-contact-directories-sample-01.example/contact,(555) 010-100,hello1@school-board-contact-directories-sample-01.example,https://example.com/source/school-board-contact-directories/1,Government and Public Organization,Sample row for School board contact directories; replace with verified production data before outreach.
agency organization sample 2,department sample 2,https://school-board-contact-directories-sample-02.example,San Diego,CA,https://school-board-contact-directories-sample-02.example/contact,(555) 011-101,hello2@school-board-contact-directories-sample-02.example,https://example.com/source/school-board-contact-directories/2,Government and Public Organization,Sample row for School board contact directories; replace with verified production data before outreach.
agency organization sample 3,department sample 3,https://school-board-contact-directories-sample-03.example,San Jose,CA,https://school-board-contact-directories-sample-03.example/contact,(555) 012-102,hello3@school-board-contact-directories-sample-03.example,https://example.com/source/school-board-contact-directories/3,Government and Public Organization,Sample row for School board contact directories; replace with verified production data before outreach.
agency organization sample 4,department sample 4,https://school-board-contact-directories-sample-04.example,Austin,TX,https://school-board-contact-directories-sample-04.example/contact,(555) 013-103,hello4@school-board-contact-directories-sample-04.example,https://example.com/source/school-board-contact-directories/4,Government and Public Organization,Sample row for School board contact directories; replace with verified production data before outreach.
agency organization sample 5,department sample 5,https://school-board-contact-directories-sample-05.example,Denver,CO,https://school-board-contact-directories-sample-05.example/contact,(555) 014-104,hello5@school-board-contact-directories-sample-05.example,https://example.com/source/school-board-contact-directories/5,Government and Public Organization,Sample row for School board contact directories; replace with verified production data before outreach.
agency organization sample 6,department sample 6,https://school-board-contact-directories-sample-06.example,Phoenix,AZ,https://school-board-contact-directories-sample-06.example/contact,(555) 015-105,hello6@school-board-contact-directories-sample-06.example,https://example.com/source/school-board-contact-directories/6,Government and Public Organization,Sample row for School board contact directories; replace with verified production data before outreach.
agency organization sample 7,department sample 7,https://school-board-contact-directories-sample-07.example,Chicago,IL,https://school-board-contact-directories-sample-07.example/contact,(555) 016-106,hello7@school-board-contact-directories-sample-07.example,https://example.com/source/school-board-contact-directories/7,Government and Public Organization,Sample row for School board contact directories; replace with verified production data before outreach.
agency organization sample 8,department sample 8,https://school-board-contact-directories-sample-08.example,Seattle,WA,https://school-board-contact-directories-sample-08.example/contact,(555) 017-107,hello8@school-board-contact-directories-sample-08.example,https://example.com/source/school-board-contact-directories/8,Government and Public Organization,Sample row for School board contact directories; replace with verified production data before outreach.
agency organization sample 9,department sample 9,https://school-board-contact-directories-sample-09.example,Atlanta,GA,https://school-board-contact-directories-sample-09.example/contact,(555) 018-108,hello9@school-board-contact-directories-sample-09.example,https://example.com/source/school-board-contact-directories/9,Government and Public Organization,Sample row for School board contact directories; replace with verified production data before outreach.
agency organization sample 10,department sample 10,https://school-board-contact-directories-sample-10.example,Miami,FL,https://school-board-contact-directories-sample-10.example/contact,(555) 019-109,hello10@school-board-contact-directories-sample-10.example,https://example.com/source/school-board-contact-directories/10,Government and Public Organization,Sample row for School board contact directories; replace with verified production data before outreach.
