creator_company_name,website,platform,niche,public_email,contact_page,social_link,sponsor_booking_page,source_url,notes
creator company name sample 1,https://etsy-sellers-sample-01.example,https://www.instagram.com/etsy-sellers-sample-01,niche sample 1,hello1@etsy-sellers-sample-01.example,https://etsy-sellers-sample-01.example/contact,https://www.instagram.com/etsy-sellers-sample-01,Relevant creator intelligence opportunity signal 1,https://example.com/source/etsy-sellers-with-websites/1,Sample row for Etsy sellers with websites; replace with verified production data before outreach.
creator company name sample 2,https://etsy-sellers-sample-02.example,https://www.instagram.com/etsy-sellers-sample-02,niche sample 2,hello2@etsy-sellers-sample-02.example,https://etsy-sellers-sample-02.example/contact,https://www.instagram.com/etsy-sellers-sample-02,Relevant creator intelligence opportunity signal 2,https://example.com/source/etsy-sellers-with-websites/2,Sample row for Etsy sellers with websites; replace with verified production data before outreach.
creator company name sample 3,https://etsy-sellers-sample-03.example,https://www.instagram.com/etsy-sellers-sample-03,niche sample 3,hello3@etsy-sellers-sample-03.example,https://etsy-sellers-sample-03.example/contact,https://www.instagram.com/etsy-sellers-sample-03,Relevant creator intelligence opportunity signal 3,https://example.com/source/etsy-sellers-with-websites/3,Sample row for Etsy sellers with websites; replace with verified production data before outreach.
creator company name sample 4,https://etsy-sellers-sample-04.example,https://www.instagram.com/etsy-sellers-sample-04,niche sample 4,hello4@etsy-sellers-sample-04.example,https://etsy-sellers-sample-04.example/contact,https://www.instagram.com/etsy-sellers-sample-04,Relevant creator intelligence opportunity signal 4,https://example.com/source/etsy-sellers-with-websites/4,Sample row for Etsy sellers with websites; replace with verified production data before outreach.
creator company name sample 5,https://etsy-sellers-sample-05.example,https://www.instagram.com/etsy-sellers-sample-05,niche sample 5,hello5@etsy-sellers-sample-05.example,https://etsy-sellers-sample-05.example/contact,https://www.instagram.com/etsy-sellers-sample-05,Relevant creator intelligence opportunity signal 5,https://example.com/source/etsy-sellers-with-websites/5,Sample row for Etsy sellers with websites; replace with verified production data before outreach.
creator company name sample 6,https://etsy-sellers-sample-06.example,https://www.instagram.com/etsy-sellers-sample-06,niche sample 6,hello6@etsy-sellers-sample-06.example,https://etsy-sellers-sample-06.example/contact,https://www.instagram.com/etsy-sellers-sample-06,Relevant creator intelligence opportunity signal 6,https://example.com/source/etsy-sellers-with-websites/6,Sample row for Etsy sellers with websites; replace with verified production data before outreach.
creator company name sample 7,https://etsy-sellers-sample-07.example,https://www.instagram.com/etsy-sellers-sample-07,niche sample 7,hello7@etsy-sellers-sample-07.example,https://etsy-sellers-sample-07.example/contact,https://www.instagram.com/etsy-sellers-sample-07,Relevant creator intelligence opportunity signal 7,https://example.com/source/etsy-sellers-with-websites/7,Sample row for Etsy sellers with websites; replace with verified production data before outreach.
creator company name sample 8,https://etsy-sellers-sample-08.example,https://www.instagram.com/etsy-sellers-sample-08,niche sample 8,hello8@etsy-sellers-sample-08.example,https://etsy-sellers-sample-08.example/contact,https://www.instagram.com/etsy-sellers-sample-08,Relevant creator intelligence opportunity signal 8,https://example.com/source/etsy-sellers-with-websites/8,Sample row for Etsy sellers with websites; replace with verified production data before outreach.
creator company name sample 9,https://etsy-sellers-sample-09.example,https://www.instagram.com/etsy-sellers-sample-09,niche sample 9,hello9@etsy-sellers-sample-09.example,https://etsy-sellers-sample-09.example/contact,https://www.instagram.com/etsy-sellers-sample-09,Relevant creator intelligence opportunity signal 9,https://example.com/source/etsy-sellers-with-websites/9,Sample row for Etsy sellers with websites; replace with verified production data before outreach.
creator company name sample 10,https://etsy-sellers-sample-10.example,https://www.instagram.com/etsy-sellers-sample-10,niche sample 10,hello10@etsy-sellers-sample-10.example,https://etsy-sellers-sample-10.example/contact,https://www.instagram.com/etsy-sellers-sample-10,Relevant creator intelligence opportunity signal 10,https://example.com/source/etsy-sellers-with-websites/10,Sample row for Etsy sellers with websites; replace with verified production data before outreach.
