company_name,website,city,state_market,role_being_hired,hiring_signal_url,department_function,likely_buying_need,contact_page,public_email,phone,source_url,notes
Small Businesses Hiring Bookkeepers Sample 01,https://small-businesses-hiring-bookkeepers-sample-01.example,Los Angeles,Los Angeles,role being hired sample 1,Recent hiring intent signal,department function sample 1,likely buying need sample 1,https://small-businesses-hiring-bookkeepers-sample-01.example/contact,hello1@small-businesses-hiring-bookkeepers-sample-01.example,(555) 010-100,https://example.com/source/500-small-businesses-hiring-bookkeepers/1,Sample row for 500 Small Businesses Hiring Bookkeepers; replace with verified production data before outreach.
Small Businesses Hiring Bookkeepers Sample 02,https://small-businesses-hiring-bookkeepers-sample-02.example,San Diego,San Diego,role being hired sample 2,Recent hiring intent signal,department function sample 2,likely buying need sample 2,https://small-businesses-hiring-bookkeepers-sample-02.example/contact,hello2@small-businesses-hiring-bookkeepers-sample-02.example,(555) 011-101,https://example.com/source/500-small-businesses-hiring-bookkeepers/2,Sample row for 500 Small Businesses Hiring Bookkeepers; replace with verified production data before outreach.
Small Businesses Hiring Bookkeepers Sample 03,https://small-businesses-hiring-bookkeepers-sample-03.example,San Jose,San Jose,role being hired sample 3,Recent hiring intent signal,department function sample 3,likely buying need sample 3,https://small-businesses-hiring-bookkeepers-sample-03.example/contact,hello3@small-businesses-hiring-bookkeepers-sample-03.example,(555) 012-102,https://example.com/source/500-small-businesses-hiring-bookkeepers/3,Sample row for 500 Small Businesses Hiring Bookkeepers; replace with verified production data before outreach.
Small Businesses Hiring Bookkeepers Sample 04,https://small-businesses-hiring-bookkeepers-sample-04.example,Austin,Austin,role being hired sample 4,Recent hiring intent signal,department function sample 4,likely buying need sample 4,https://small-businesses-hiring-bookkeepers-sample-04.example/contact,hello4@small-businesses-hiring-bookkeepers-sample-04.example,(555) 013-103,https://example.com/source/500-small-businesses-hiring-bookkeepers/4,Sample row for 500 Small Businesses Hiring Bookkeepers; replace with verified production data before outreach.
Small Businesses Hiring Bookkeepers Sample 05,https://small-businesses-hiring-bookkeepers-sample-05.example,Denver,Denver,role being hired sample 5,Recent hiring intent signal,department function sample 5,likely buying need sample 5,https://small-businesses-hiring-bookkeepers-sample-05.example/contact,hello5@small-businesses-hiring-bookkeepers-sample-05.example,(555) 014-104,https://example.com/source/500-small-businesses-hiring-bookkeepers/5,Sample row for 500 Small Businesses Hiring Bookkeepers; replace with verified production data before outreach.
Small Businesses Hiring Bookkeepers Sample 06,https://small-businesses-hiring-bookkeepers-sample-06.example,Phoenix,Phoenix,role being hired sample 6,Recent hiring intent signal,department function sample 6,likely buying need sample 6,https://small-businesses-hiring-bookkeepers-sample-06.example/contact,hello6@small-businesses-hiring-bookkeepers-sample-06.example,(555) 015-105,https://example.com/source/500-small-businesses-hiring-bookkeepers/6,Sample row for 500 Small Businesses Hiring Bookkeepers; replace with verified production data before outreach.
Small Businesses Hiring Bookkeepers Sample 07,https://small-businesses-hiring-bookkeepers-sample-07.example,Chicago,Chicago,role being hired sample 7,Recent hiring intent signal,department function sample 7,likely buying need sample 7,https://small-businesses-hiring-bookkeepers-sample-07.example/contact,hello7@small-businesses-hiring-bookkeepers-sample-07.example,(555) 016-106,https://example.com/source/500-small-businesses-hiring-bookkeepers/7,Sample row for 500 Small Businesses Hiring Bookkeepers; replace with verified production data before outreach.
Small Businesses Hiring Bookkeepers Sample 08,https://small-businesses-hiring-bookkeepers-sample-08.example,Seattle,Seattle,role being hired sample 8,Recent hiring intent signal,department function sample 8,likely buying need sample 8,https://small-businesses-hiring-bookkeepers-sample-08.example/contact,hello8@small-businesses-hiring-bookkeepers-sample-08.example,(555) 017-107,https://example.com/source/500-small-businesses-hiring-bookkeepers/8,Sample row for 500 Small Businesses Hiring Bookkeepers; replace with verified production data before outreach.
Small Businesses Hiring Bookkeepers Sample 09,https://small-businesses-hiring-bookkeepers-sample-09.example,Atlanta,Atlanta,role being hired sample 9,Recent hiring intent signal,department function sample 9,likely buying need sample 9,https://small-businesses-hiring-bookkeepers-sample-09.example/contact,hello9@small-businesses-hiring-bookkeepers-sample-09.example,(555) 018-108,https://example.com/source/500-small-businesses-hiring-bookkeepers/9,Sample row for 500 Small Businesses Hiring Bookkeepers; replace with verified production data before outreach.
Small Businesses Hiring Bookkeepers Sample 10,https://small-businesses-hiring-bookkeepers-sample-10.example,Miami,Miami,role being hired sample 10,Recent hiring intent signal,department function sample 10,likely buying need sample 10,https://small-businesses-hiring-bookkeepers-sample-10.example/contact,hello10@small-businesses-hiring-bookkeepers-sample-10.example,(555) 019-109,https://example.com/source/500-small-businesses-hiring-bookkeepers/10,Sample row for 500 Small Businesses Hiring Bookkeepers; replace with verified production data before outreach.
