business_name,website_source_profile,city,state,category,website_issue_spotted,conversion_gap,contact_page,phone,public_email,source_url,notes
Nonprofits Sample 01,https://nonprofits-sample-01.example,Los Angeles,CA,Website Opportunity,https://nonprofits-sample-01.example,Outdated site signals visible in public web review,https://nonprofits-sample-01.example/contact,(555) 010-100,hello1@nonprofits-sample-01.example,https://example.com/source/500-nonprofits-with-outdated-donation-pages/1,Sample row for 500 Nonprofits With Outdated Donation Pages; replace with verified production data before outreach.
Nonprofits Sample 02,https://nonprofits-sample-02.example,San Diego,CA,Website Opportunity,https://nonprofits-sample-02.example,Outdated site signals visible in public web review,https://nonprofits-sample-02.example/contact,(555) 011-101,hello2@nonprofits-sample-02.example,https://example.com/source/500-nonprofits-with-outdated-donation-pages/2,Sample row for 500 Nonprofits With Outdated Donation Pages; replace with verified production data before outreach.
Nonprofits Sample 03,https://nonprofits-sample-03.example,San Jose,CA,Website Opportunity,https://nonprofits-sample-03.example,Outdated site signals visible in public web review,https://nonprofits-sample-03.example/contact,(555) 012-102,hello3@nonprofits-sample-03.example,https://example.com/source/500-nonprofits-with-outdated-donation-pages/3,Sample row for 500 Nonprofits With Outdated Donation Pages; replace with verified production data before outreach.
Nonprofits Sample 04,https://nonprofits-sample-04.example,Austin,TX,Website Opportunity,https://nonprofits-sample-04.example,Outdated site signals visible in public web review,https://nonprofits-sample-04.example/contact,(555) 013-103,hello4@nonprofits-sample-04.example,https://example.com/source/500-nonprofits-with-outdated-donation-pages/4,Sample row for 500 Nonprofits With Outdated Donation Pages; replace with verified production data before outreach.
Nonprofits Sample 05,https://nonprofits-sample-05.example,Denver,CO,Website Opportunity,https://nonprofits-sample-05.example,Outdated site signals visible in public web review,https://nonprofits-sample-05.example/contact,(555) 014-104,hello5@nonprofits-sample-05.example,https://example.com/source/500-nonprofits-with-outdated-donation-pages/5,Sample row for 500 Nonprofits With Outdated Donation Pages; replace with verified production data before outreach.
Nonprofits Sample 06,https://nonprofits-sample-06.example,Phoenix,AZ,Website Opportunity,https://nonprofits-sample-06.example,Outdated site signals visible in public web review,https://nonprofits-sample-06.example/contact,(555) 015-105,hello6@nonprofits-sample-06.example,https://example.com/source/500-nonprofits-with-outdated-donation-pages/6,Sample row for 500 Nonprofits With Outdated Donation Pages; replace with verified production data before outreach.
Nonprofits Sample 07,https://nonprofits-sample-07.example,Chicago,IL,Website Opportunity,https://nonprofits-sample-07.example,Outdated site signals visible in public web review,https://nonprofits-sample-07.example/contact,(555) 016-106,hello7@nonprofits-sample-07.example,https://example.com/source/500-nonprofits-with-outdated-donation-pages/7,Sample row for 500 Nonprofits With Outdated Donation Pages; replace with verified production data before outreach.
Nonprofits Sample 08,https://nonprofits-sample-08.example,Seattle,WA,Website Opportunity,https://nonprofits-sample-08.example,Outdated site signals visible in public web review,https://nonprofits-sample-08.example/contact,(555) 017-107,hello8@nonprofits-sample-08.example,https://example.com/source/500-nonprofits-with-outdated-donation-pages/8,Sample row for 500 Nonprofits With Outdated Donation Pages; replace with verified production data before outreach.
Nonprofits Sample 09,https://nonprofits-sample-09.example,Atlanta,GA,Website Opportunity,https://nonprofits-sample-09.example,Outdated site signals visible in public web review,https://nonprofits-sample-09.example/contact,(555) 018-108,hello9@nonprofits-sample-09.example,https://example.com/source/500-nonprofits-with-outdated-donation-pages/9,Sample row for 500 Nonprofits With Outdated Donation Pages; replace with verified production data before outreach.
Nonprofits Sample 10,https://nonprofits-sample-10.example,Miami,FL,Website Opportunity,https://nonprofits-sample-10.example,Outdated site signals visible in public web review,https://nonprofits-sample-10.example/contact,(555) 019-109,hello10@nonprofits-sample-10.example,https://example.com/source/500-nonprofits-with-outdated-donation-pages/10,Sample row for 500 Nonprofits With Outdated Donation Pages; replace with verified production data before outreach.
