candidate_campaign_name,website_quality_score,has_donation_page,has_email_signup,has_sms_signup,bad_mobile_site_signal,missing_social_links_signal,contact_email,source_url,notes
2026-04-10,https://campaign-vendor-prospect-list-sample-01.example,Relevant political data opportunity signal 1,hello1@campaign-vendor-prospect-list-sample-01.example,has sms signup sample 1,Relevant political data opportunity signal 1,Relevant political data opportunity signal 1,hello1@campaign-vendor-prospect-list-sample-01.example,https://example.com/source/campaign-vendor-prospect-list/1,Sample row for Campaign Vendor Prospect List; replace with verified production data before outreach.
2026-04-11,https://campaign-vendor-prospect-list-sample-02.example,Relevant political data opportunity signal 2,hello2@campaign-vendor-prospect-list-sample-02.example,has sms signup sample 2,Relevant political data opportunity signal 2,Relevant political data opportunity signal 2,hello2@campaign-vendor-prospect-list-sample-02.example,https://example.com/source/campaign-vendor-prospect-list/2,Sample row for Campaign Vendor Prospect List; replace with verified production data before outreach.
2026-04-12,https://campaign-vendor-prospect-list-sample-03.example,Relevant political data opportunity signal 3,hello3@campaign-vendor-prospect-list-sample-03.example,has sms signup sample 3,Relevant political data opportunity signal 3,Relevant political data opportunity signal 3,hello3@campaign-vendor-prospect-list-sample-03.example,https://example.com/source/campaign-vendor-prospect-list/3,Sample row for Campaign Vendor Prospect List; replace with verified production data before outreach.
2026-04-13,https://campaign-vendor-prospect-list-sample-04.example,Relevant political data opportunity signal 4,hello4@campaign-vendor-prospect-list-sample-04.example,has sms signup sample 4,Relevant political data opportunity signal 4,Relevant political data opportunity signal 4,hello4@campaign-vendor-prospect-list-sample-04.example,https://example.com/source/campaign-vendor-prospect-list/4,Sample row for Campaign Vendor Prospect List; replace with verified production data before outreach.
2026-04-14,https://campaign-vendor-prospect-list-sample-05.example,Relevant political data opportunity signal 5,hello5@campaign-vendor-prospect-list-sample-05.example,has sms signup sample 5,Relevant political data opportunity signal 5,Relevant political data opportunity signal 5,hello5@campaign-vendor-prospect-list-sample-05.example,https://example.com/source/campaign-vendor-prospect-list/5,Sample row for Campaign Vendor Prospect List; replace with verified production data before outreach.
2026-04-15,https://campaign-vendor-prospect-list-sample-06.example,Relevant political data opportunity signal 6,hello6@campaign-vendor-prospect-list-sample-06.example,has sms signup sample 6,Relevant political data opportunity signal 6,Relevant political data opportunity signal 6,hello6@campaign-vendor-prospect-list-sample-06.example,https://example.com/source/campaign-vendor-prospect-list/6,Sample row for Campaign Vendor Prospect List; replace with verified production data before outreach.
2026-04-16,https://campaign-vendor-prospect-list-sample-07.example,Relevant political data opportunity signal 7,hello7@campaign-vendor-prospect-list-sample-07.example,has sms signup sample 7,Relevant political data opportunity signal 7,Relevant political data opportunity signal 7,hello7@campaign-vendor-prospect-list-sample-07.example,https://example.com/source/campaign-vendor-prospect-list/7,Sample row for Campaign Vendor Prospect List; replace with verified production data before outreach.
2026-04-17,https://campaign-vendor-prospect-list-sample-08.example,Relevant political data opportunity signal 8,hello8@campaign-vendor-prospect-list-sample-08.example,has sms signup sample 8,Relevant political data opportunity signal 8,Relevant political data opportunity signal 8,hello8@campaign-vendor-prospect-list-sample-08.example,https://example.com/source/campaign-vendor-prospect-list/8,Sample row for Campaign Vendor Prospect List; replace with verified production data before outreach.
2026-04-18,https://campaign-vendor-prospect-list-sample-09.example,Relevant political data opportunity signal 9,hello9@campaign-vendor-prospect-list-sample-09.example,has sms signup sample 9,Relevant political data opportunity signal 9,Relevant political data opportunity signal 9,hello9@campaign-vendor-prospect-list-sample-09.example,https://example.com/source/campaign-vendor-prospect-list/9,Sample row for Campaign Vendor Prospect List; replace with verified production data before outreach.
2026-04-19,https://campaign-vendor-prospect-list-sample-10.example,Relevant political data opportunity signal 10,hello10@campaign-vendor-prospect-list-sample-10.example,has sms signup sample 10,Relevant political data opportunity signal 10,Relevant political data opportunity signal 10,hello10@campaign-vendor-prospect-list-sample-10.example,https://example.com/source/campaign-vendor-prospect-list/10,Sample row for Campaign Vendor Prospect List; replace with verified production data before outreach.
