advertiser,candidate_committee,platform,ad_library_profile,ad_creative_link,spend_range_where_public,start_date,end_date,issue_topic,landing_page,donation_page,target_region_if_public,source_url,notes
advertiser sample 1,2026-04-10,https://www.instagram.com/issue-advocacy-advertiser-list-sample-01,ad library profile sample 1,ad creative link sample 1,spend range where public sample 1,2026-04-10,2026-04-10,Relevant political data opportunity signal 1,https://issue-advocacy-advertiser-list-sample-01.example,Relevant political data opportunity signal 1,CA,https://example.com/source/issue-advocacy-advertiser-list/1,Sample row for Issue Advocacy Advertiser List; replace with verified production data before outreach.
advertiser sample 2,2026-04-11,https://www.instagram.com/issue-advocacy-advertiser-list-sample-02,ad library profile sample 2,ad creative link sample 2,spend range where public sample 2,2026-04-11,2026-04-11,Relevant political data opportunity signal 2,https://issue-advocacy-advertiser-list-sample-02.example,Relevant political data opportunity signal 2,CA,https://example.com/source/issue-advocacy-advertiser-list/2,Sample row for Issue Advocacy Advertiser List; replace with verified production data before outreach.
advertiser sample 3,2026-04-12,https://www.instagram.com/issue-advocacy-advertiser-list-sample-03,ad library profile sample 3,ad creative link sample 3,spend range where public sample 3,2026-04-12,2026-04-12,Relevant political data opportunity signal 3,https://issue-advocacy-advertiser-list-sample-03.example,Relevant political data opportunity signal 3,CA,https://example.com/source/issue-advocacy-advertiser-list/3,Sample row for Issue Advocacy Advertiser List; replace with verified production data before outreach.
advertiser sample 4,2026-04-13,https://www.instagram.com/issue-advocacy-advertiser-list-sample-04,ad library profile sample 4,ad creative link sample 4,spend range where public sample 4,2026-04-13,2026-04-13,Relevant political data opportunity signal 4,https://issue-advocacy-advertiser-list-sample-04.example,Relevant political data opportunity signal 4,TX,https://example.com/source/issue-advocacy-advertiser-list/4,Sample row for Issue Advocacy Advertiser List; replace with verified production data before outreach.
advertiser sample 5,2026-04-14,https://www.instagram.com/issue-advocacy-advertiser-list-sample-05,ad library profile sample 5,ad creative link sample 5,spend range where public sample 5,2026-04-14,2026-04-14,Relevant political data opportunity signal 5,https://issue-advocacy-advertiser-list-sample-05.example,Relevant political data opportunity signal 5,CO,https://example.com/source/issue-advocacy-advertiser-list/5,Sample row for Issue Advocacy Advertiser List; replace with verified production data before outreach.
advertiser sample 6,2026-04-15,https://www.instagram.com/issue-advocacy-advertiser-list-sample-06,ad library profile sample 6,ad creative link sample 6,spend range where public sample 6,2026-04-15,2026-04-15,Relevant political data opportunity signal 6,https://issue-advocacy-advertiser-list-sample-06.example,Relevant political data opportunity signal 6,AZ,https://example.com/source/issue-advocacy-advertiser-list/6,Sample row for Issue Advocacy Advertiser List; replace with verified production data before outreach.
advertiser sample 7,2026-04-16,https://www.instagram.com/issue-advocacy-advertiser-list-sample-07,ad library profile sample 7,ad creative link sample 7,spend range where public sample 7,2026-04-16,2026-04-16,Relevant political data opportunity signal 7,https://issue-advocacy-advertiser-list-sample-07.example,Relevant political data opportunity signal 7,IL,https://example.com/source/issue-advocacy-advertiser-list/7,Sample row for Issue Advocacy Advertiser List; replace with verified production data before outreach.
advertiser sample 8,2026-04-17,https://www.instagram.com/issue-advocacy-advertiser-list-sample-08,ad library profile sample 8,ad creative link sample 8,spend range where public sample 8,2026-04-17,2026-04-17,Relevant political data opportunity signal 8,https://issue-advocacy-advertiser-list-sample-08.example,Relevant political data opportunity signal 8,WA,https://example.com/source/issue-advocacy-advertiser-list/8,Sample row for Issue Advocacy Advertiser List; replace with verified production data before outreach.
advertiser sample 9,2026-04-18,https://www.instagram.com/issue-advocacy-advertiser-list-sample-09,ad library profile sample 9,ad creative link sample 9,spend range where public sample 9,2026-04-18,2026-04-18,Relevant political data opportunity signal 9,https://issue-advocacy-advertiser-list-sample-09.example,Relevant political data opportunity signal 9,GA,https://example.com/source/issue-advocacy-advertiser-list/9,Sample row for Issue Advocacy Advertiser List; replace with verified production data before outreach.
advertiser sample 10,2026-04-19,https://www.instagram.com/issue-advocacy-advertiser-list-sample-10,ad library profile sample 10,ad creative link sample 10,spend range where public sample 10,2026-04-19,2026-04-19,Relevant political data opportunity signal 10,https://issue-advocacy-advertiser-list-sample-10.example,Relevant political data opportunity signal 10,FL,https://example.com/source/issue-advocacy-advertiser-list/10,Sample row for Issue Advocacy Advertiser List; replace with verified production data before outreach.
