vendor_firm_name,specialty,party_client_type_if_publicly_stated,city,state,website,public_email,public_clients,case_studies,service_category,social_links,source_url,notes
vendor firm name sample 1,specialty sample 1,CA,Los Angeles,CA,https://political-texting-vendor-prospect-list-sample-01.example,hello1@political-texting-vendor-prospect-list-sample-01.example,public clients sample 1,case studies sample 1,Political Data,https://www.instagram.com/political-texting-vendor-prospect-list-sample-01,https://example.com/source/political-texting-vendor-prospect-list/1,Sample row for Political Texting Vendor Prospect List; replace with verified production data before outreach.
vendor firm name sample 2,specialty sample 2,CA,San Diego,CA,https://political-texting-vendor-prospect-list-sample-02.example,hello2@political-texting-vendor-prospect-list-sample-02.example,public clients sample 2,case studies sample 2,Political Data,https://www.instagram.com/political-texting-vendor-prospect-list-sample-02,https://example.com/source/political-texting-vendor-prospect-list/2,Sample row for Political Texting Vendor Prospect List; replace with verified production data before outreach.
vendor firm name sample 3,specialty sample 3,CA,San Jose,CA,https://political-texting-vendor-prospect-list-sample-03.example,hello3@political-texting-vendor-prospect-list-sample-03.example,public clients sample 3,case studies sample 3,Political Data,https://www.instagram.com/political-texting-vendor-prospect-list-sample-03,https://example.com/source/political-texting-vendor-prospect-list/3,Sample row for Political Texting Vendor Prospect List; replace with verified production data before outreach.
vendor firm name sample 4,specialty sample 4,TX,Austin,TX,https://political-texting-vendor-prospect-list-sample-04.example,hello4@political-texting-vendor-prospect-list-sample-04.example,public clients sample 4,case studies sample 4,Political Data,https://www.instagram.com/political-texting-vendor-prospect-list-sample-04,https://example.com/source/political-texting-vendor-prospect-list/4,Sample row for Political Texting Vendor Prospect List; replace with verified production data before outreach.
vendor firm name sample 5,specialty sample 5,CO,Denver,CO,https://political-texting-vendor-prospect-list-sample-05.example,hello5@political-texting-vendor-prospect-list-sample-05.example,public clients sample 5,case studies sample 5,Political Data,https://www.instagram.com/political-texting-vendor-prospect-list-sample-05,https://example.com/source/political-texting-vendor-prospect-list/5,Sample row for Political Texting Vendor Prospect List; replace with verified production data before outreach.
vendor firm name sample 6,specialty sample 6,AZ,Phoenix,AZ,https://political-texting-vendor-prospect-list-sample-06.example,hello6@political-texting-vendor-prospect-list-sample-06.example,public clients sample 6,case studies sample 6,Political Data,https://www.instagram.com/political-texting-vendor-prospect-list-sample-06,https://example.com/source/political-texting-vendor-prospect-list/6,Sample row for Political Texting Vendor Prospect List; replace with verified production data before outreach.
vendor firm name sample 7,specialty sample 7,IL,Chicago,IL,https://political-texting-vendor-prospect-list-sample-07.example,hello7@political-texting-vendor-prospect-list-sample-07.example,public clients sample 7,case studies sample 7,Political Data,https://www.instagram.com/political-texting-vendor-prospect-list-sample-07,https://example.com/source/political-texting-vendor-prospect-list/7,Sample row for Political Texting Vendor Prospect List; replace with verified production data before outreach.
vendor firm name sample 8,specialty sample 8,WA,Seattle,WA,https://political-texting-vendor-prospect-list-sample-08.example,hello8@political-texting-vendor-prospect-list-sample-08.example,public clients sample 8,case studies sample 8,Political Data,https://www.instagram.com/political-texting-vendor-prospect-list-sample-08,https://example.com/source/political-texting-vendor-prospect-list/8,Sample row for Political Texting Vendor Prospect List; replace with verified production data before outreach.
vendor firm name sample 9,specialty sample 9,GA,Atlanta,GA,https://political-texting-vendor-prospect-list-sample-09.example,hello9@political-texting-vendor-prospect-list-sample-09.example,public clients sample 9,case studies sample 9,Political Data,https://www.instagram.com/political-texting-vendor-prospect-list-sample-09,https://example.com/source/political-texting-vendor-prospect-list/9,Sample row for Political Texting Vendor Prospect List; replace with verified production data before outreach.
vendor firm name sample 10,specialty sample 10,FL,Miami,FL,https://political-texting-vendor-prospect-list-sample-10.example,hello10@political-texting-vendor-prospect-list-sample-10.example,public clients sample 10,case studies sample 10,Political Data,https://www.instagram.com/political-texting-vendor-prospect-list-sample-10,https://example.com/source/political-texting-vendor-prospect-list/10,Sample row for Political Texting Vendor Prospect List; replace with verified production data before outreach.
