business_creator_name,website_profile_url,city,state_market,category,recent_activity_signal,activity_date_recency_window,opportunity_gap,public_contact_path,source_url,notes
business creator name sample 1,https://businesses-sample-01.example,Los Angeles,Los Angeles,Recently Active,Paid traffic signal with weak conversion path,2026-04-10,Paid traffic signal with weak conversion path,https://businesses-sample-01.example/contact,https://example.com/source/500-businesses-running-google-ads-but-with-weak-landing-pages/1,Sample row for 500 Businesses Running Google Ads But With Weak Landing Pages; replace with verified production data before outreach.
business creator name sample 2,https://businesses-sample-02.example,San Diego,San Diego,Recently Active,Paid traffic signal with weak conversion path,2026-04-11,Paid traffic signal with weak conversion path,https://businesses-sample-02.example/contact,https://example.com/source/500-businesses-running-google-ads-but-with-weak-landing-pages/2,Sample row for 500 Businesses Running Google Ads But With Weak Landing Pages; replace with verified production data before outreach.
business creator name sample 3,https://businesses-sample-03.example,San Jose,San Jose,Recently Active,Paid traffic signal with weak conversion path,2026-04-12,Paid traffic signal with weak conversion path,https://businesses-sample-03.example/contact,https://example.com/source/500-businesses-running-google-ads-but-with-weak-landing-pages/3,Sample row for 500 Businesses Running Google Ads But With Weak Landing Pages; replace with verified production data before outreach.
business creator name sample 4,https://businesses-sample-04.example,Austin,Austin,Recently Active,Paid traffic signal with weak conversion path,2026-04-13,Paid traffic signal with weak conversion path,https://businesses-sample-04.example/contact,https://example.com/source/500-businesses-running-google-ads-but-with-weak-landing-pages/4,Sample row for 500 Businesses Running Google Ads But With Weak Landing Pages; replace with verified production data before outreach.
business creator name sample 5,https://businesses-sample-05.example,Denver,Denver,Recently Active,Paid traffic signal with weak conversion path,2026-04-14,Paid traffic signal with weak conversion path,https://businesses-sample-05.example/contact,https://example.com/source/500-businesses-running-google-ads-but-with-weak-landing-pages/5,Sample row for 500 Businesses Running Google Ads But With Weak Landing Pages; replace with verified production data before outreach.
business creator name sample 6,https://businesses-sample-06.example,Phoenix,Phoenix,Recently Active,Paid traffic signal with weak conversion path,2026-04-15,Paid traffic signal with weak conversion path,https://businesses-sample-06.example/contact,https://example.com/source/500-businesses-running-google-ads-but-with-weak-landing-pages/6,Sample row for 500 Businesses Running Google Ads But With Weak Landing Pages; replace with verified production data before outreach.
business creator name sample 7,https://businesses-sample-07.example,Chicago,Chicago,Recently Active,Paid traffic signal with weak conversion path,2026-04-16,Paid traffic signal with weak conversion path,https://businesses-sample-07.example/contact,https://example.com/source/500-businesses-running-google-ads-but-with-weak-landing-pages/7,Sample row for 500 Businesses Running Google Ads But With Weak Landing Pages; replace with verified production data before outreach.
business creator name sample 8,https://businesses-sample-08.example,Seattle,Seattle,Recently Active,Paid traffic signal with weak conversion path,2026-04-17,Paid traffic signal with weak conversion path,https://businesses-sample-08.example/contact,https://example.com/source/500-businesses-running-google-ads-but-with-weak-landing-pages/8,Sample row for 500 Businesses Running Google Ads But With Weak Landing Pages; replace with verified production data before outreach.
business creator name sample 9,https://businesses-sample-09.example,Atlanta,Atlanta,Recently Active,Paid traffic signal with weak conversion path,2026-04-18,Paid traffic signal with weak conversion path,https://businesses-sample-09.example/contact,https://example.com/source/500-businesses-running-google-ads-but-with-weak-landing-pages/9,Sample row for 500 Businesses Running Google Ads But With Weak Landing Pages; replace with verified production data before outreach.
business creator name sample 10,https://businesses-sample-10.example,Miami,Miami,Recently Active,Paid traffic signal with weak conversion path,2026-04-19,Paid traffic signal with weak conversion path,https://businesses-sample-10.example/contact,https://example.com/source/500-businesses-running-google-ads-but-with-weak-landing-pages/10,Sample row for 500 Businesses Running Google Ads But With Weak Landing Pages; replace with verified production data before outreach.
