brand_name,website,ecommerce_platform_signal,category,country_market,marketing_tech_signal,conversion_gap,affiliate_influencer_page,contact_page,public_email,source_url,notes
"1,000 DTC Brands Sample 01",https://1-000-dtc-brands-sample-01.example,Relevant ecommerce / shopify buyer opportunity signal 1,Ecommerce / Shopify Buyer,Los Angeles,Los Angeles,Relevant ecommerce / shopify buyer opportunity signal 1,affiliate influencer page sample 1,https://1-000-dtc-brands-sample-01.example/contact,hello1@1-000-dtc-brands-sample-01.example,https://example.com/source/1-000-dtc-brands-with-affiliate-program-pages/1,"Sample row for 1,000 DTC Brands With Affiliate Program Pages; replace with verified production data before outreach."
"1,000 DTC Brands Sample 02",https://1-000-dtc-brands-sample-02.example,Relevant ecommerce / shopify buyer opportunity signal 2,Ecommerce / Shopify Buyer,San Diego,San Diego,Relevant ecommerce / shopify buyer opportunity signal 2,affiliate influencer page sample 2,https://1-000-dtc-brands-sample-02.example/contact,hello2@1-000-dtc-brands-sample-02.example,https://example.com/source/1-000-dtc-brands-with-affiliate-program-pages/2,"Sample row for 1,000 DTC Brands With Affiliate Program Pages; replace with verified production data before outreach."
"1,000 DTC Brands Sample 03",https://1-000-dtc-brands-sample-03.example,Relevant ecommerce / shopify buyer opportunity signal 3,Ecommerce / Shopify Buyer,San Jose,San Jose,Relevant ecommerce / shopify buyer opportunity signal 3,affiliate influencer page sample 3,https://1-000-dtc-brands-sample-03.example/contact,hello3@1-000-dtc-brands-sample-03.example,https://example.com/source/1-000-dtc-brands-with-affiliate-program-pages/3,"Sample row for 1,000 DTC Brands With Affiliate Program Pages; replace with verified production data before outreach."
"1,000 DTC Brands Sample 04",https://1-000-dtc-brands-sample-04.example,Relevant ecommerce / shopify buyer opportunity signal 4,Ecommerce / Shopify Buyer,Austin,Austin,Relevant ecommerce / shopify buyer opportunity signal 4,affiliate influencer page sample 4,https://1-000-dtc-brands-sample-04.example/contact,hello4@1-000-dtc-brands-sample-04.example,https://example.com/source/1-000-dtc-brands-with-affiliate-program-pages/4,"Sample row for 1,000 DTC Brands With Affiliate Program Pages; replace with verified production data before outreach."
"1,000 DTC Brands Sample 05",https://1-000-dtc-brands-sample-05.example,Relevant ecommerce / shopify buyer opportunity signal 5,Ecommerce / Shopify Buyer,Denver,Denver,Relevant ecommerce / shopify buyer opportunity signal 5,affiliate influencer page sample 5,https://1-000-dtc-brands-sample-05.example/contact,hello5@1-000-dtc-brands-sample-05.example,https://example.com/source/1-000-dtc-brands-with-affiliate-program-pages/5,"Sample row for 1,000 DTC Brands With Affiliate Program Pages; replace with verified production data before outreach."
"1,000 DTC Brands Sample 06",https://1-000-dtc-brands-sample-06.example,Relevant ecommerce / shopify buyer opportunity signal 6,Ecommerce / Shopify Buyer,Phoenix,Phoenix,Relevant ecommerce / shopify buyer opportunity signal 6,affiliate influencer page sample 6,https://1-000-dtc-brands-sample-06.example/contact,hello6@1-000-dtc-brands-sample-06.example,https://example.com/source/1-000-dtc-brands-with-affiliate-program-pages/6,"Sample row for 1,000 DTC Brands With Affiliate Program Pages; replace with verified production data before outreach."
"1,000 DTC Brands Sample 07",https://1-000-dtc-brands-sample-07.example,Relevant ecommerce / shopify buyer opportunity signal 7,Ecommerce / Shopify Buyer,Chicago,Chicago,Relevant ecommerce / shopify buyer opportunity signal 7,affiliate influencer page sample 7,https://1-000-dtc-brands-sample-07.example/contact,hello7@1-000-dtc-brands-sample-07.example,https://example.com/source/1-000-dtc-brands-with-affiliate-program-pages/7,"Sample row for 1,000 DTC Brands With Affiliate Program Pages; replace with verified production data before outreach."
"1,000 DTC Brands Sample 08",https://1-000-dtc-brands-sample-08.example,Relevant ecommerce / shopify buyer opportunity signal 8,Ecommerce / Shopify Buyer,Seattle,Seattle,Relevant ecommerce / shopify buyer opportunity signal 8,affiliate influencer page sample 8,https://1-000-dtc-brands-sample-08.example/contact,hello8@1-000-dtc-brands-sample-08.example,https://example.com/source/1-000-dtc-brands-with-affiliate-program-pages/8,"Sample row for 1,000 DTC Brands With Affiliate Program Pages; replace with verified production data before outreach."
"1,000 DTC Brands Sample 09",https://1-000-dtc-brands-sample-09.example,Relevant ecommerce / shopify buyer opportunity signal 9,Ecommerce / Shopify Buyer,Atlanta,Atlanta,Relevant ecommerce / shopify buyer opportunity signal 9,affiliate influencer page sample 9,https://1-000-dtc-brands-sample-09.example/contact,hello9@1-000-dtc-brands-sample-09.example,https://example.com/source/1-000-dtc-brands-with-affiliate-program-pages/9,"Sample row for 1,000 DTC Brands With Affiliate Program Pages; replace with verified production data before outreach."
"1,000 DTC Brands Sample 10",https://1-000-dtc-brands-sample-10.example,Relevant ecommerce / shopify buyer opportunity signal 10,Ecommerce / Shopify Buyer,Miami,Miami,Relevant ecommerce / shopify buyer opportunity signal 10,affiliate influencer page sample 10,https://1-000-dtc-brands-sample-10.example/contact,hello10@1-000-dtc-brands-sample-10.example,https://example.com/source/1-000-dtc-brands-with-affiliate-program-pages/10,"Sample row for 1,000 DTC Brands With Affiliate Program Pages; replace with verified production data before outreach."
