blog_name,website_url,blog_niche,location_market,estimated_traffic_range,seo_strength_indicator,contact_email,contact_page,sponsor_page_url,affiliate_links_detected,amazon_affiliate_signal,recent_post_date,active_inactive_status,social_links,best_sponsorship_fit,activity_score,contactability_score,monetization_score,kumquat_score,source_url,last_verified
blog name sample 1,https://beauty-blogs-sample-01.example,blog niche sample 1,Los Angeles,estimated traffic range sample 1,seo strength indicator sample 1,hello1@beauty-blogs-sample-01.example,https://beauty-blogs-sample-01.example/contact,sponsor page url sample 1,affiliate links detected sample 1,Relevant creator intelligence opportunity signal 1,2026-04-10,Relevant creator intelligence opportunity signal 1,https://www.instagram.com/beauty-blogs-sample-01,best sponsorship fit sample 1,78,78,78,78,https://example.com/source/500-beauty-blogs-with-affiliate-links/1,last verified sample 1
blog name sample 2,https://beauty-blogs-sample-02.example,blog niche sample 2,San Diego,estimated traffic range sample 2,seo strength indicator sample 2,hello2@beauty-blogs-sample-02.example,https://beauty-blogs-sample-02.example/contact,sponsor page url sample 2,affiliate links detected sample 2,Relevant creator intelligence opportunity signal 2,2026-04-11,Relevant creator intelligence opportunity signal 2,https://www.instagram.com/beauty-blogs-sample-02,best sponsorship fit sample 2,79,79,79,79,https://example.com/source/500-beauty-blogs-with-affiliate-links/2,last verified sample 2
blog name sample 3,https://beauty-blogs-sample-03.example,blog niche sample 3,San Jose,estimated traffic range sample 3,seo strength indicator sample 3,hello3@beauty-blogs-sample-03.example,https://beauty-blogs-sample-03.example/contact,sponsor page url sample 3,affiliate links detected sample 3,Relevant creator intelligence opportunity signal 3,2026-04-12,Relevant creator intelligence opportunity signal 3,https://www.instagram.com/beauty-blogs-sample-03,best sponsorship fit sample 3,80,80,80,80,https://example.com/source/500-beauty-blogs-with-affiliate-links/3,last verified sample 3
blog name sample 4,https://beauty-blogs-sample-04.example,blog niche sample 4,Austin,estimated traffic range sample 4,seo strength indicator sample 4,hello4@beauty-blogs-sample-04.example,https://beauty-blogs-sample-04.example/contact,sponsor page url sample 4,affiliate links detected sample 4,Relevant creator intelligence opportunity signal 4,2026-04-13,Relevant creator intelligence opportunity signal 4,https://www.instagram.com/beauty-blogs-sample-04,best sponsorship fit sample 4,81,81,81,81,https://example.com/source/500-beauty-blogs-with-affiliate-links/4,last verified sample 4
blog name sample 5,https://beauty-blogs-sample-05.example,blog niche sample 5,Denver,estimated traffic range sample 5,seo strength indicator sample 5,hello5@beauty-blogs-sample-05.example,https://beauty-blogs-sample-05.example/contact,sponsor page url sample 5,affiliate links detected sample 5,Relevant creator intelligence opportunity signal 5,2026-04-14,Relevant creator intelligence opportunity signal 5,https://www.instagram.com/beauty-blogs-sample-05,best sponsorship fit sample 5,82,82,82,82,https://example.com/source/500-beauty-blogs-with-affiliate-links/5,last verified sample 5
blog name sample 6,https://beauty-blogs-sample-06.example,blog niche sample 6,Phoenix,estimated traffic range sample 6,seo strength indicator sample 6,hello6@beauty-blogs-sample-06.example,https://beauty-blogs-sample-06.example/contact,sponsor page url sample 6,affiliate links detected sample 6,Relevant creator intelligence opportunity signal 6,2026-04-15,Relevant creator intelligence opportunity signal 6,https://www.instagram.com/beauty-blogs-sample-06,best sponsorship fit sample 6,83,83,83,83,https://example.com/source/500-beauty-blogs-with-affiliate-links/6,last verified sample 6
blog name sample 7,https://beauty-blogs-sample-07.example,blog niche sample 7,Chicago,estimated traffic range sample 7,seo strength indicator sample 7,hello7@beauty-blogs-sample-07.example,https://beauty-blogs-sample-07.example/contact,sponsor page url sample 7,affiliate links detected sample 7,Relevant creator intelligence opportunity signal 7,2026-04-16,Relevant creator intelligence opportunity signal 7,https://www.instagram.com/beauty-blogs-sample-07,best sponsorship fit sample 7,84,84,84,84,https://example.com/source/500-beauty-blogs-with-affiliate-links/7,last verified sample 7
blog name sample 8,https://beauty-blogs-sample-08.example,blog niche sample 8,Seattle,estimated traffic range sample 8,seo strength indicator sample 8,hello8@beauty-blogs-sample-08.example,https://beauty-blogs-sample-08.example/contact,sponsor page url sample 8,affiliate links detected sample 8,Relevant creator intelligence opportunity signal 8,2026-04-17,Relevant creator intelligence opportunity signal 8,https://www.instagram.com/beauty-blogs-sample-08,best sponsorship fit sample 8,85,85,85,85,https://example.com/source/500-beauty-blogs-with-affiliate-links/8,last verified sample 8
blog name sample 9,https://beauty-blogs-sample-09.example,blog niche sample 9,Atlanta,estimated traffic range sample 9,seo strength indicator sample 9,hello9@beauty-blogs-sample-09.example,https://beauty-blogs-sample-09.example/contact,sponsor page url sample 9,affiliate links detected sample 9,Relevant creator intelligence opportunity signal 9,2026-04-18,Relevant creator intelligence opportunity signal 9,https://www.instagram.com/beauty-blogs-sample-09,best sponsorship fit sample 9,86,86,86,86,https://example.com/source/500-beauty-blogs-with-affiliate-links/9,last verified sample 9
blog name sample 10,https://beauty-blogs-sample-10.example,blog niche sample 10,Miami,estimated traffic range sample 10,seo strength indicator sample 10,hello10@beauty-blogs-sample-10.example,https://beauty-blogs-sample-10.example/contact,sponsor page url sample 10,affiliate links detected sample 10,Relevant creator intelligence opportunity signal 10,2026-04-19,Relevant creator intelligence opportunity signal 10,https://www.instagram.com/beauty-blogs-sample-10,best sponsorship fit sample 10,87,87,87,87,https://example.com/source/500-beauty-blogs-with-affiliate-links/10,last verified sample 10
