business_name,website_source_profile,city,state,category,rating_signal,review_count,review_issue,recent_review_response_signal,contact_page,phone,public_email,source_url,notes
Reputation Management Prospects by City Sample 01,https://reputation-management-prospects-by-city-sample-01.example,Los Angeles,CA,Reputation Signal,Relevant reputation signal opportunity signal 1,review count sample 1,Relevant reputation signal opportunity signal 1,Relevant reputation signal opportunity signal 1,https://reputation-management-prospects-by-city-sample-01.example/contact,(555) 010-100,hello1@reputation-management-prospects-by-city-sample-01.example,https://example.com/source/500-reputation-management-prospects-by-city/1,Sample row for 500 Reputation Management Prospects by City; replace with verified production data before outreach.
Reputation Management Prospects by City Sample 02,https://reputation-management-prospects-by-city-sample-02.example,San Diego,CA,Reputation Signal,Relevant reputation signal opportunity signal 2,review count sample 2,Relevant reputation signal opportunity signal 2,Relevant reputation signal opportunity signal 2,https://reputation-management-prospects-by-city-sample-02.example/contact,(555) 011-101,hello2@reputation-management-prospects-by-city-sample-02.example,https://example.com/source/500-reputation-management-prospects-by-city/2,Sample row for 500 Reputation Management Prospects by City; replace with verified production data before outreach.
Reputation Management Prospects by City Sample 03,https://reputation-management-prospects-by-city-sample-03.example,San Jose,CA,Reputation Signal,Relevant reputation signal opportunity signal 3,review count sample 3,Relevant reputation signal opportunity signal 3,Relevant reputation signal opportunity signal 3,https://reputation-management-prospects-by-city-sample-03.example/contact,(555) 012-102,hello3@reputation-management-prospects-by-city-sample-03.example,https://example.com/source/500-reputation-management-prospects-by-city/3,Sample row for 500 Reputation Management Prospects by City; replace with verified production data before outreach.
Reputation Management Prospects by City Sample 04,https://reputation-management-prospects-by-city-sample-04.example,Austin,TX,Reputation Signal,Relevant reputation signal opportunity signal 4,review count sample 4,Relevant reputation signal opportunity signal 4,Relevant reputation signal opportunity signal 4,https://reputation-management-prospects-by-city-sample-04.example/contact,(555) 013-103,hello4@reputation-management-prospects-by-city-sample-04.example,https://example.com/source/500-reputation-management-prospects-by-city/4,Sample row for 500 Reputation Management Prospects by City; replace with verified production data before outreach.
Reputation Management Prospects by City Sample 05,https://reputation-management-prospects-by-city-sample-05.example,Denver,CO,Reputation Signal,Relevant reputation signal opportunity signal 5,review count sample 5,Relevant reputation signal opportunity signal 5,Relevant reputation signal opportunity signal 5,https://reputation-management-prospects-by-city-sample-05.example/contact,(555) 014-104,hello5@reputation-management-prospects-by-city-sample-05.example,https://example.com/source/500-reputation-management-prospects-by-city/5,Sample row for 500 Reputation Management Prospects by City; replace with verified production data before outreach.
Reputation Management Prospects by City Sample 06,https://reputation-management-prospects-by-city-sample-06.example,Phoenix,AZ,Reputation Signal,Relevant reputation signal opportunity signal 6,review count sample 6,Relevant reputation signal opportunity signal 6,Relevant reputation signal opportunity signal 6,https://reputation-management-prospects-by-city-sample-06.example/contact,(555) 015-105,hello6@reputation-management-prospects-by-city-sample-06.example,https://example.com/source/500-reputation-management-prospects-by-city/6,Sample row for 500 Reputation Management Prospects by City; replace with verified production data before outreach.
Reputation Management Prospects by City Sample 07,https://reputation-management-prospects-by-city-sample-07.example,Chicago,IL,Reputation Signal,Relevant reputation signal opportunity signal 7,review count sample 7,Relevant reputation signal opportunity signal 7,Relevant reputation signal opportunity signal 7,https://reputation-management-prospects-by-city-sample-07.example/contact,(555) 016-106,hello7@reputation-management-prospects-by-city-sample-07.example,https://example.com/source/500-reputation-management-prospects-by-city/7,Sample row for 500 Reputation Management Prospects by City; replace with verified production data before outreach.
Reputation Management Prospects by City Sample 08,https://reputation-management-prospects-by-city-sample-08.example,Seattle,WA,Reputation Signal,Relevant reputation signal opportunity signal 8,review count sample 8,Relevant reputation signal opportunity signal 8,Relevant reputation signal opportunity signal 8,https://reputation-management-prospects-by-city-sample-08.example/contact,(555) 017-107,hello8@reputation-management-prospects-by-city-sample-08.example,https://example.com/source/500-reputation-management-prospects-by-city/8,Sample row for 500 Reputation Management Prospects by City; replace with verified production data before outreach.
Reputation Management Prospects by City Sample 09,https://reputation-management-prospects-by-city-sample-09.example,Atlanta,GA,Reputation Signal,Relevant reputation signal opportunity signal 9,review count sample 9,Relevant reputation signal opportunity signal 9,Relevant reputation signal opportunity signal 9,https://reputation-management-prospects-by-city-sample-09.example/contact,(555) 018-108,hello9@reputation-management-prospects-by-city-sample-09.example,https://example.com/source/500-reputation-management-prospects-by-city/9,Sample row for 500 Reputation Management Prospects by City; replace with verified production data before outreach.
Reputation Management Prospects by City Sample 10,https://reputation-management-prospects-by-city-sample-10.example,Miami,FL,Reputation Signal,Relevant reputation signal opportunity signal 10,review count sample 10,Relevant reputation signal opportunity signal 10,Relevant reputation signal opportunity signal 10,https://reputation-management-prospects-by-city-sample-10.example/contact,(555) 019-109,hello10@reputation-management-prospects-by-city-sample-10.example,https://example.com/source/500-reputation-management-prospects-by-city/10,Sample row for 500 Reputation Management Prospects by City; replace with verified production data before outreach.
