candidate,event_name,event_type,date,time,location,rsvp_link,donation_price,hosts,sponsors,source_link,notes
2026-04-10,event name sample 1,event type sample 1,2026-04-10,time sample 1,location sample 1,rsvp link sample 1,Relevant political data opportunity signal 1,hosts sample 1,sponsors sample 1,https://example.com/source/campaign-event-list/1,Sample row for Campaign Event List; replace with verified production data before outreach.
2026-04-11,event name sample 2,event type sample 2,2026-04-11,time sample 2,location sample 2,rsvp link sample 2,Relevant political data opportunity signal 2,hosts sample 2,sponsors sample 2,https://example.com/source/campaign-event-list/2,Sample row for Campaign Event List; replace with verified production data before outreach.
2026-04-12,event name sample 3,event type sample 3,2026-04-12,time sample 3,location sample 3,rsvp link sample 3,Relevant political data opportunity signal 3,hosts sample 3,sponsors sample 3,https://example.com/source/campaign-event-list/3,Sample row for Campaign Event List; replace with verified production data before outreach.
2026-04-13,event name sample 4,event type sample 4,2026-04-13,time sample 4,location sample 4,rsvp link sample 4,Relevant political data opportunity signal 4,hosts sample 4,sponsors sample 4,https://example.com/source/campaign-event-list/4,Sample row for Campaign Event List; replace with verified production data before outreach.
2026-04-14,event name sample 5,event type sample 5,2026-04-14,time sample 5,location sample 5,rsvp link sample 5,Relevant political data opportunity signal 5,hosts sample 5,sponsors sample 5,https://example.com/source/campaign-event-list/5,Sample row for Campaign Event List; replace with verified production data before outreach.
2026-04-15,event name sample 6,event type sample 6,2026-04-15,time sample 6,location sample 6,rsvp link sample 6,Relevant political data opportunity signal 6,hosts sample 6,sponsors sample 6,https://example.com/source/campaign-event-list/6,Sample row for Campaign Event List; replace with verified production data before outreach.
2026-04-16,event name sample 7,event type sample 7,2026-04-16,time sample 7,location sample 7,rsvp link sample 7,Relevant political data opportunity signal 7,hosts sample 7,sponsors sample 7,https://example.com/source/campaign-event-list/7,Sample row for Campaign Event List; replace with verified production data before outreach.
2026-04-17,event name sample 8,event type sample 8,2026-04-17,time sample 8,location sample 8,rsvp link sample 8,Relevant political data opportunity signal 8,hosts sample 8,sponsors sample 8,https://example.com/source/campaign-event-list/8,Sample row for Campaign Event List; replace with verified production data before outreach.
2026-04-18,event name sample 9,event type sample 9,2026-04-18,time sample 9,location sample 9,rsvp link sample 9,Relevant political data opportunity signal 9,hosts sample 9,sponsors sample 9,https://example.com/source/campaign-event-list/9,Sample row for Campaign Event List; replace with verified production data before outreach.
2026-04-19,event name sample 10,event type sample 10,2026-04-19,time sample 10,location sample 10,rsvp link sample 10,Relevant political data opportunity signal 10,hosts sample 10,sponsors sample 10,https://example.com/source/campaign-event-list/10,Sample row for Campaign Event List; replace with verified production data before outreach.
