organization_name,party,city,county,state,district_chapter,chair_public_contact_name,website,public_email,phone,social_links,meeting_events_page,donation_page,source_url,notes
organization name sample 1,party sample 1,Los Angeles,county sample 1,CA,district chapter sample 1,chair public contact name sample 1,https://county-republican-party-contact-list-sample-01.example,hello1@county-republican-party-contact-list-sample-01.example,(555) 010-100,https://www.instagram.com/county-republican-party-contact-list-sample-01,meeting events page sample 1,Relevant political data opportunity signal 1,https://example.com/source/county-republican-party-contact-list/1,Sample row for County Republican Party Contact List; replace with verified production data before outreach.
organization name sample 2,party sample 2,San Diego,county sample 2,CA,district chapter sample 2,chair public contact name sample 2,https://county-republican-party-contact-list-sample-02.example,hello2@county-republican-party-contact-list-sample-02.example,(555) 011-101,https://www.instagram.com/county-republican-party-contact-list-sample-02,meeting events page sample 2,Relevant political data opportunity signal 2,https://example.com/source/county-republican-party-contact-list/2,Sample row for County Republican Party Contact List; replace with verified production data before outreach.
organization name sample 3,party sample 3,San Jose,county sample 3,CA,district chapter sample 3,chair public contact name sample 3,https://county-republican-party-contact-list-sample-03.example,hello3@county-republican-party-contact-list-sample-03.example,(555) 012-102,https://www.instagram.com/county-republican-party-contact-list-sample-03,meeting events page sample 3,Relevant political data opportunity signal 3,https://example.com/source/county-republican-party-contact-list/3,Sample row for County Republican Party Contact List; replace with verified production data before outreach.
organization name sample 4,party sample 4,Austin,county sample 4,TX,district chapter sample 4,chair public contact name sample 4,https://county-republican-party-contact-list-sample-04.example,hello4@county-republican-party-contact-list-sample-04.example,(555) 013-103,https://www.instagram.com/county-republican-party-contact-list-sample-04,meeting events page sample 4,Relevant political data opportunity signal 4,https://example.com/source/county-republican-party-contact-list/4,Sample row for County Republican Party Contact List; replace with verified production data before outreach.
organization name sample 5,party sample 5,Denver,county sample 5,CO,district chapter sample 5,chair public contact name sample 5,https://county-republican-party-contact-list-sample-05.example,hello5@county-republican-party-contact-list-sample-05.example,(555) 014-104,https://www.instagram.com/county-republican-party-contact-list-sample-05,meeting events page sample 5,Relevant political data opportunity signal 5,https://example.com/source/county-republican-party-contact-list/5,Sample row for County Republican Party Contact List; replace with verified production data before outreach.
organization name sample 6,party sample 6,Phoenix,county sample 6,AZ,district chapter sample 6,chair public contact name sample 6,https://county-republican-party-contact-list-sample-06.example,hello6@county-republican-party-contact-list-sample-06.example,(555) 015-105,https://www.instagram.com/county-republican-party-contact-list-sample-06,meeting events page sample 6,Relevant political data opportunity signal 6,https://example.com/source/county-republican-party-contact-list/6,Sample row for County Republican Party Contact List; replace with verified production data before outreach.
organization name sample 7,party sample 7,Chicago,county sample 7,IL,district chapter sample 7,chair public contact name sample 7,https://county-republican-party-contact-list-sample-07.example,hello7@county-republican-party-contact-list-sample-07.example,(555) 016-106,https://www.instagram.com/county-republican-party-contact-list-sample-07,meeting events page sample 7,Relevant political data opportunity signal 7,https://example.com/source/county-republican-party-contact-list/7,Sample row for County Republican Party Contact List; replace with verified production data before outreach.
organization name sample 8,party sample 8,Seattle,county sample 8,WA,district chapter sample 8,chair public contact name sample 8,https://county-republican-party-contact-list-sample-08.example,hello8@county-republican-party-contact-list-sample-08.example,(555) 017-107,https://www.instagram.com/county-republican-party-contact-list-sample-08,meeting events page sample 8,Relevant political data opportunity signal 8,https://example.com/source/county-republican-party-contact-list/8,Sample row for County Republican Party Contact List; replace with verified production data before outreach.
organization name sample 9,party sample 9,Atlanta,county sample 9,GA,district chapter sample 9,chair public contact name sample 9,https://county-republican-party-contact-list-sample-09.example,hello9@county-republican-party-contact-list-sample-09.example,(555) 018-108,https://www.instagram.com/county-republican-party-contact-list-sample-09,meeting events page sample 9,Relevant political data opportunity signal 9,https://example.com/source/county-republican-party-contact-list/9,Sample row for County Republican Party Contact List; replace with verified production data before outreach.
organization name sample 10,party sample 10,Miami,county sample 10,FL,district chapter sample 10,chair public contact name sample 10,https://county-republican-party-contact-list-sample-10.example,hello10@county-republican-party-contact-list-sample-10.example,(555) 019-109,https://www.instagram.com/county-republican-party-contact-list-sample-10,meeting events page sample 10,Relevant political data opportunity signal 10,https://example.com/source/county-republican-party-contact-list/10,Sample row for County Republican Party Contact List; replace with verified production data before outreach.
