company_property_name,website,city,state,property_type,phone,public_email,contact_page,source_url,notes
company property name sample 1,https://mobile-home-parks-sample-01.example,Los Angeles,CA,property type sample 1,(555) 010-100,hello1@mobile-home-parks-sample-01.example,https://mobile-home-parks-sample-01.example/contact,https://example.com/source/mobile-home-parks/1,Sample row for Mobile home parks; replace with verified production data before outreach.
company property name sample 2,https://mobile-home-parks-sample-02.example,San Diego,CA,property type sample 2,(555) 011-101,hello2@mobile-home-parks-sample-02.example,https://mobile-home-parks-sample-02.example/contact,https://example.com/source/mobile-home-parks/2,Sample row for Mobile home parks; replace with verified production data before outreach.
company property name sample 3,https://mobile-home-parks-sample-03.example,San Jose,CA,property type sample 3,(555) 012-102,hello3@mobile-home-parks-sample-03.example,https://mobile-home-parks-sample-03.example/contact,https://example.com/source/mobile-home-parks/3,Sample row for Mobile home parks; replace with verified production data before outreach.
company property name sample 4,https://mobile-home-parks-sample-04.example,Austin,TX,property type sample 4,(555) 013-103,hello4@mobile-home-parks-sample-04.example,https://mobile-home-parks-sample-04.example/contact,https://example.com/source/mobile-home-parks/4,Sample row for Mobile home parks; replace with verified production data before outreach.
company property name sample 5,https://mobile-home-parks-sample-05.example,Denver,CO,property type sample 5,(555) 014-104,hello5@mobile-home-parks-sample-05.example,https://mobile-home-parks-sample-05.example/contact,https://example.com/source/mobile-home-parks/5,Sample row for Mobile home parks; replace with verified production data before outreach.
company property name sample 6,https://mobile-home-parks-sample-06.example,Phoenix,AZ,property type sample 6,(555) 015-105,hello6@mobile-home-parks-sample-06.example,https://mobile-home-parks-sample-06.example/contact,https://example.com/source/mobile-home-parks/6,Sample row for Mobile home parks; replace with verified production data before outreach.
company property name sample 7,https://mobile-home-parks-sample-07.example,Chicago,IL,property type sample 7,(555) 016-106,hello7@mobile-home-parks-sample-07.example,https://mobile-home-parks-sample-07.example/contact,https://example.com/source/mobile-home-parks/7,Sample row for Mobile home parks; replace with verified production data before outreach.
company property name sample 8,https://mobile-home-parks-sample-08.example,Seattle,WA,property type sample 8,(555) 017-107,hello8@mobile-home-parks-sample-08.example,https://mobile-home-parks-sample-08.example/contact,https://example.com/source/mobile-home-parks/8,Sample row for Mobile home parks; replace with verified production data before outreach.
company property name sample 9,https://mobile-home-parks-sample-09.example,Atlanta,GA,property type sample 9,(555) 018-108,hello9@mobile-home-parks-sample-09.example,https://mobile-home-parks-sample-09.example/contact,https://example.com/source/mobile-home-parks/9,Sample row for Mobile home parks; replace with verified production data before outreach.
company property name sample 10,https://mobile-home-parks-sample-10.example,Miami,FL,property type sample 10,(555) 019-109,hello10@mobile-home-parks-sample-10.example,https://mobile-home-parks-sample-10.example/contact,https://example.com/source/mobile-home-parks/10,Sample row for Mobile home parks; replace with verified production data before outreach.
