business_name,website,city,state,software_gap,booking_quote_status,contact_page,phone,public_email,source_url,notes
Cleaning companies Sample 01,https://cleaning-companies-sample-01.example,Los Angeles,CA,Relevant software gap opportunity signal 1,Relevant software gap opportunity signal 1,https://cleaning-companies-sample-01.example/contact,(555) 010-100,hello1@cleaning-companies-sample-01.example,https://example.com/source/cleaning-companies-without-booking-forms/1,Sample row for Cleaning companies without booking forms; replace with verified production data before outreach.
Cleaning companies Sample 02,https://cleaning-companies-sample-02.example,San Diego,CA,Relevant software gap opportunity signal 2,Relevant software gap opportunity signal 2,https://cleaning-companies-sample-02.example/contact,(555) 011-101,hello2@cleaning-companies-sample-02.example,https://example.com/source/cleaning-companies-without-booking-forms/2,Sample row for Cleaning companies without booking forms; replace with verified production data before outreach.
Cleaning companies Sample 03,https://cleaning-companies-sample-03.example,San Jose,CA,Relevant software gap opportunity signal 3,Relevant software gap opportunity signal 3,https://cleaning-companies-sample-03.example/contact,(555) 012-102,hello3@cleaning-companies-sample-03.example,https://example.com/source/cleaning-companies-without-booking-forms/3,Sample row for Cleaning companies without booking forms; replace with verified production data before outreach.
Cleaning companies Sample 04,https://cleaning-companies-sample-04.example,Austin,TX,Relevant software gap opportunity signal 4,Relevant software gap opportunity signal 4,https://cleaning-companies-sample-04.example/contact,(555) 013-103,hello4@cleaning-companies-sample-04.example,https://example.com/source/cleaning-companies-without-booking-forms/4,Sample row for Cleaning companies without booking forms; replace with verified production data before outreach.
Cleaning companies Sample 05,https://cleaning-companies-sample-05.example,Denver,CO,Relevant software gap opportunity signal 5,Relevant software gap opportunity signal 5,https://cleaning-companies-sample-05.example/contact,(555) 014-104,hello5@cleaning-companies-sample-05.example,https://example.com/source/cleaning-companies-without-booking-forms/5,Sample row for Cleaning companies without booking forms; replace with verified production data before outreach.
Cleaning companies Sample 06,https://cleaning-companies-sample-06.example,Phoenix,AZ,Relevant software gap opportunity signal 6,Relevant software gap opportunity signal 6,https://cleaning-companies-sample-06.example/contact,(555) 015-105,hello6@cleaning-companies-sample-06.example,https://example.com/source/cleaning-companies-without-booking-forms/6,Sample row for Cleaning companies without booking forms; replace with verified production data before outreach.
Cleaning companies Sample 07,https://cleaning-companies-sample-07.example,Chicago,IL,Relevant software gap opportunity signal 7,Relevant software gap opportunity signal 7,https://cleaning-companies-sample-07.example/contact,(555) 016-106,hello7@cleaning-companies-sample-07.example,https://example.com/source/cleaning-companies-without-booking-forms/7,Sample row for Cleaning companies without booking forms; replace with verified production data before outreach.
Cleaning companies Sample 08,https://cleaning-companies-sample-08.example,Seattle,WA,Relevant software gap opportunity signal 8,Relevant software gap opportunity signal 8,https://cleaning-companies-sample-08.example/contact,(555) 017-107,hello8@cleaning-companies-sample-08.example,https://example.com/source/cleaning-companies-without-booking-forms/8,Sample row for Cleaning companies without booking forms; replace with verified production data before outreach.
Cleaning companies Sample 09,https://cleaning-companies-sample-09.example,Atlanta,GA,Relevant software gap opportunity signal 9,Relevant software gap opportunity signal 9,https://cleaning-companies-sample-09.example/contact,(555) 018-108,hello9@cleaning-companies-sample-09.example,https://example.com/source/cleaning-companies-without-booking-forms/9,Sample row for Cleaning companies without booking forms; replace with verified production data before outreach.
Cleaning companies Sample 10,https://cleaning-companies-sample-10.example,Miami,FL,Relevant software gap opportunity signal 10,Relevant software gap opportunity signal 10,https://cleaning-companies-sample-10.example/contact,(555) 019-109,hello10@cleaning-companies-sample-10.example,https://example.com/source/cleaning-companies-without-booking-forms/10,Sample row for Cleaning companies without booking forms; replace with verified production data before outreach.
