business_name,website_source_profile,city,state,category,review_count,rating_signal,website_gap,booking_conversion_gap,contact_page,phone,public_email,source_url,notes
Med Spas Sample 01,https://med-spas-sample-01.example,Los Angeles,CA,High-Review Website Gap,review count sample 1,Relevant high-review website gap opportunity signal 1,https://med-spas-sample-01.example,Relevant high-review website gap opportunity signal 1,https://med-spas-sample-01.example/contact,(555) 010-100,hello1@med-spas-sample-01.example,https://example.com/source/500-med-spas-with-instagram-activity-but-weak-websites/1,Sample row for 500 Med Spas With Instagram Activity But Weak Websites; replace with verified production data before outreach.
Med Spas Sample 02,https://med-spas-sample-02.example,San Diego,CA,High-Review Website Gap,review count sample 2,Relevant high-review website gap opportunity signal 2,https://med-spas-sample-02.example,Relevant high-review website gap opportunity signal 2,https://med-spas-sample-02.example/contact,(555) 011-101,hello2@med-spas-sample-02.example,https://example.com/source/500-med-spas-with-instagram-activity-but-weak-websites/2,Sample row for 500 Med Spas With Instagram Activity But Weak Websites; replace with verified production data before outreach.
Med Spas Sample 03,https://med-spas-sample-03.example,San Jose,CA,High-Review Website Gap,review count sample 3,Relevant high-review website gap opportunity signal 3,https://med-spas-sample-03.example,Relevant high-review website gap opportunity signal 3,https://med-spas-sample-03.example/contact,(555) 012-102,hello3@med-spas-sample-03.example,https://example.com/source/500-med-spas-with-instagram-activity-but-weak-websites/3,Sample row for 500 Med Spas With Instagram Activity But Weak Websites; replace with verified production data before outreach.
Med Spas Sample 04,https://med-spas-sample-04.example,Austin,TX,High-Review Website Gap,review count sample 4,Relevant high-review website gap opportunity signal 4,https://med-spas-sample-04.example,Relevant high-review website gap opportunity signal 4,https://med-spas-sample-04.example/contact,(555) 013-103,hello4@med-spas-sample-04.example,https://example.com/source/500-med-spas-with-instagram-activity-but-weak-websites/4,Sample row for 500 Med Spas With Instagram Activity But Weak Websites; replace with verified production data before outreach.
Med Spas Sample 05,https://med-spas-sample-05.example,Denver,CO,High-Review Website Gap,review count sample 5,Relevant high-review website gap opportunity signal 5,https://med-spas-sample-05.example,Relevant high-review website gap opportunity signal 5,https://med-spas-sample-05.example/contact,(555) 014-104,hello5@med-spas-sample-05.example,https://example.com/source/500-med-spas-with-instagram-activity-but-weak-websites/5,Sample row for 500 Med Spas With Instagram Activity But Weak Websites; replace with verified production data before outreach.
Med Spas Sample 06,https://med-spas-sample-06.example,Phoenix,AZ,High-Review Website Gap,review count sample 6,Relevant high-review website gap opportunity signal 6,https://med-spas-sample-06.example,Relevant high-review website gap opportunity signal 6,https://med-spas-sample-06.example/contact,(555) 015-105,hello6@med-spas-sample-06.example,https://example.com/source/500-med-spas-with-instagram-activity-but-weak-websites/6,Sample row for 500 Med Spas With Instagram Activity But Weak Websites; replace with verified production data before outreach.
Med Spas Sample 07,https://med-spas-sample-07.example,Chicago,IL,High-Review Website Gap,review count sample 7,Relevant high-review website gap opportunity signal 7,https://med-spas-sample-07.example,Relevant high-review website gap opportunity signal 7,https://med-spas-sample-07.example/contact,(555) 016-106,hello7@med-spas-sample-07.example,https://example.com/source/500-med-spas-with-instagram-activity-but-weak-websites/7,Sample row for 500 Med Spas With Instagram Activity But Weak Websites; replace with verified production data before outreach.
Med Spas Sample 08,https://med-spas-sample-08.example,Seattle,WA,High-Review Website Gap,review count sample 8,Relevant high-review website gap opportunity signal 8,https://med-spas-sample-08.example,Relevant high-review website gap opportunity signal 8,https://med-spas-sample-08.example/contact,(555) 017-107,hello8@med-spas-sample-08.example,https://example.com/source/500-med-spas-with-instagram-activity-but-weak-websites/8,Sample row for 500 Med Spas With Instagram Activity But Weak Websites; replace with verified production data before outreach.
Med Spas Sample 09,https://med-spas-sample-09.example,Atlanta,GA,High-Review Website Gap,review count sample 9,Relevant high-review website gap opportunity signal 9,https://med-spas-sample-09.example,Relevant high-review website gap opportunity signal 9,https://med-spas-sample-09.example/contact,(555) 018-108,hello9@med-spas-sample-09.example,https://example.com/source/500-med-spas-with-instagram-activity-but-weak-websites/9,Sample row for 500 Med Spas With Instagram Activity But Weak Websites; replace with verified production data before outreach.
Med Spas Sample 10,https://med-spas-sample-10.example,Miami,FL,High-Review Website Gap,review count sample 10,Relevant high-review website gap opportunity signal 10,https://med-spas-sample-10.example,Relevant high-review website gap opportunity signal 10,https://med-spas-sample-10.example/contact,(555) 019-109,hello10@med-spas-sample-10.example,https://example.com/source/500-med-spas-with-instagram-activity-but-weak-websites/10,Sample row for 500 Med Spas With Instagram Activity But Weak Websites; replace with verified production data before outreach.
