business_name,website,city,state,software_gap,booking_quote_status,contact_page,phone,public_email,source_url,notes
Yoga studios Sample 01,https://yoga-studios-sample-01.example,Los Angeles,CA,Relevant software gap opportunity signal 1,Relevant software gap opportunity signal 1,https://yoga-studios-sample-01.example/contact,(555) 010-100,hello1@yoga-studios-sample-01.example,https://example.com/source/yoga-studios-without-booking-software/1,Sample row for Yoga studios without booking software; replace with verified production data before outreach.
Yoga studios Sample 02,https://yoga-studios-sample-02.example,San Diego,CA,Relevant software gap opportunity signal 2,Relevant software gap opportunity signal 2,https://yoga-studios-sample-02.example/contact,(555) 011-101,hello2@yoga-studios-sample-02.example,https://example.com/source/yoga-studios-without-booking-software/2,Sample row for Yoga studios without booking software; replace with verified production data before outreach.
Yoga studios Sample 03,https://yoga-studios-sample-03.example,San Jose,CA,Relevant software gap opportunity signal 3,Relevant software gap opportunity signal 3,https://yoga-studios-sample-03.example/contact,(555) 012-102,hello3@yoga-studios-sample-03.example,https://example.com/source/yoga-studios-without-booking-software/3,Sample row for Yoga studios without booking software; replace with verified production data before outreach.
Yoga studios Sample 04,https://yoga-studios-sample-04.example,Austin,TX,Relevant software gap opportunity signal 4,Relevant software gap opportunity signal 4,https://yoga-studios-sample-04.example/contact,(555) 013-103,hello4@yoga-studios-sample-04.example,https://example.com/source/yoga-studios-without-booking-software/4,Sample row for Yoga studios without booking software; replace with verified production data before outreach.
Yoga studios Sample 05,https://yoga-studios-sample-05.example,Denver,CO,Relevant software gap opportunity signal 5,Relevant software gap opportunity signal 5,https://yoga-studios-sample-05.example/contact,(555) 014-104,hello5@yoga-studios-sample-05.example,https://example.com/source/yoga-studios-without-booking-software/5,Sample row for Yoga studios without booking software; replace with verified production data before outreach.
Yoga studios Sample 06,https://yoga-studios-sample-06.example,Phoenix,AZ,Relevant software gap opportunity signal 6,Relevant software gap opportunity signal 6,https://yoga-studios-sample-06.example/contact,(555) 015-105,hello6@yoga-studios-sample-06.example,https://example.com/source/yoga-studios-without-booking-software/6,Sample row for Yoga studios without booking software; replace with verified production data before outreach.
Yoga studios Sample 07,https://yoga-studios-sample-07.example,Chicago,IL,Relevant software gap opportunity signal 7,Relevant software gap opportunity signal 7,https://yoga-studios-sample-07.example/contact,(555) 016-106,hello7@yoga-studios-sample-07.example,https://example.com/source/yoga-studios-without-booking-software/7,Sample row for Yoga studios without booking software; replace with verified production data before outreach.
Yoga studios Sample 08,https://yoga-studios-sample-08.example,Seattle,WA,Relevant software gap opportunity signal 8,Relevant software gap opportunity signal 8,https://yoga-studios-sample-08.example/contact,(555) 017-107,hello8@yoga-studios-sample-08.example,https://example.com/source/yoga-studios-without-booking-software/8,Sample row for Yoga studios without booking software; replace with verified production data before outreach.
Yoga studios Sample 09,https://yoga-studios-sample-09.example,Atlanta,GA,Relevant software gap opportunity signal 9,Relevant software gap opportunity signal 9,https://yoga-studios-sample-09.example/contact,(555) 018-108,hello9@yoga-studios-sample-09.example,https://example.com/source/yoga-studios-without-booking-software/9,Sample row for Yoga studios without booking software; replace with verified production data before outreach.
Yoga studios Sample 10,https://yoga-studios-sample-10.example,Miami,FL,Relevant software gap opportunity signal 10,Relevant software gap opportunity signal 10,https://yoga-studios-sample-10.example/contact,(555) 019-109,hello10@yoga-studios-sample-10.example,https://example.com/source/yoga-studios-without-booking-software/10,Sample row for Yoga studios without booking software; replace with verified production data before outreach.
