business_name,website,city,state,ad_signal,keyword_market,phone,public_email,landing_page,source_url,notes
Insurance agencies Sample 01,https://insurance-agencies-sample-01.example,Los Angeles,CA,Paid traffic signal with weak conversion path,Los Angeles,(555) 010-100,hello1@insurance-agencies-sample-01.example,https://insurance-agencies-sample-01.example,https://example.com/source/insurance-agencies-running-google-ads/1,Sample row for Insurance agencies running Google Ads; replace with verified production data before outreach.
Insurance agencies Sample 02,https://insurance-agencies-sample-02.example,San Diego,CA,Paid traffic signal with weak conversion path,San Diego,(555) 011-101,hello2@insurance-agencies-sample-02.example,https://insurance-agencies-sample-02.example,https://example.com/source/insurance-agencies-running-google-ads/2,Sample row for Insurance agencies running Google Ads; replace with verified production data before outreach.
Insurance agencies Sample 03,https://insurance-agencies-sample-03.example,San Jose,CA,Paid traffic signal with weak conversion path,San Jose,(555) 012-102,hello3@insurance-agencies-sample-03.example,https://insurance-agencies-sample-03.example,https://example.com/source/insurance-agencies-running-google-ads/3,Sample row for Insurance agencies running Google Ads; replace with verified production data before outreach.
Insurance agencies Sample 04,https://insurance-agencies-sample-04.example,Austin,TX,Paid traffic signal with weak conversion path,Austin,(555) 013-103,hello4@insurance-agencies-sample-04.example,https://insurance-agencies-sample-04.example,https://example.com/source/insurance-agencies-running-google-ads/4,Sample row for Insurance agencies running Google Ads; replace with verified production data before outreach.
Insurance agencies Sample 05,https://insurance-agencies-sample-05.example,Denver,CO,Paid traffic signal with weak conversion path,Denver,(555) 014-104,hello5@insurance-agencies-sample-05.example,https://insurance-agencies-sample-05.example,https://example.com/source/insurance-agencies-running-google-ads/5,Sample row for Insurance agencies running Google Ads; replace with verified production data before outreach.
Insurance agencies Sample 06,https://insurance-agencies-sample-06.example,Phoenix,AZ,Paid traffic signal with weak conversion path,Phoenix,(555) 015-105,hello6@insurance-agencies-sample-06.example,https://insurance-agencies-sample-06.example,https://example.com/source/insurance-agencies-running-google-ads/6,Sample row for Insurance agencies running Google Ads; replace with verified production data before outreach.
Insurance agencies Sample 07,https://insurance-agencies-sample-07.example,Chicago,IL,Paid traffic signal with weak conversion path,Chicago,(555) 016-106,hello7@insurance-agencies-sample-07.example,https://insurance-agencies-sample-07.example,https://example.com/source/insurance-agencies-running-google-ads/7,Sample row for Insurance agencies running Google Ads; replace with verified production data before outreach.
Insurance agencies Sample 08,https://insurance-agencies-sample-08.example,Seattle,WA,Paid traffic signal with weak conversion path,Seattle,(555) 017-107,hello8@insurance-agencies-sample-08.example,https://insurance-agencies-sample-08.example,https://example.com/source/insurance-agencies-running-google-ads/8,Sample row for Insurance agencies running Google Ads; replace with verified production data before outreach.
Insurance agencies Sample 09,https://insurance-agencies-sample-09.example,Atlanta,GA,Paid traffic signal with weak conversion path,Atlanta,(555) 018-108,hello9@insurance-agencies-sample-09.example,https://insurance-agencies-sample-09.example,https://example.com/source/insurance-agencies-running-google-ads/9,Sample row for Insurance agencies running Google Ads; replace with verified production data before outreach.
Insurance agencies Sample 10,https://insurance-agencies-sample-10.example,Miami,FL,Paid traffic signal with weak conversion path,Miami,(555) 019-109,hello10@insurance-agencies-sample-10.example,https://insurance-agencies-sample-10.example,https://example.com/source/insurance-agencies-running-google-ads/10,Sample row for Insurance agencies running Google Ads; replace with verified production data before outreach.
