business_name,website,city,state,category,issue_spotted,contact_page,phone,public_email,source_url,notes
Local Businesses Sample 01,https://local-businesses-sample-01.example,Los Angeles,CA,Website Opportunity,Relevant website opportunity opportunity signal 1,https://local-businesses-sample-01.example/contact,(555) 010-100,hello1@local-businesses-sample-01.example,https://example.com/source/500-local-businesses-with-broken-contact-forms/1,Sample row for 500 Local Businesses With Broken Contact Forms; replace with verified production data before outreach.
Local Businesses Sample 02,https://local-businesses-sample-02.example,San Diego,CA,Website Opportunity,Relevant website opportunity opportunity signal 2,https://local-businesses-sample-02.example/contact,(555) 011-101,hello2@local-businesses-sample-02.example,https://example.com/source/500-local-businesses-with-broken-contact-forms/2,Sample row for 500 Local Businesses With Broken Contact Forms; replace with verified production data before outreach.
Local Businesses Sample 03,https://local-businesses-sample-03.example,San Jose,CA,Website Opportunity,Relevant website opportunity opportunity signal 3,https://local-businesses-sample-03.example/contact,(555) 012-102,hello3@local-businesses-sample-03.example,https://example.com/source/500-local-businesses-with-broken-contact-forms/3,Sample row for 500 Local Businesses With Broken Contact Forms; replace with verified production data before outreach.
Local Businesses Sample 04,https://local-businesses-sample-04.example,Austin,TX,Website Opportunity,Relevant website opportunity opportunity signal 4,https://local-businesses-sample-04.example/contact,(555) 013-103,hello4@local-businesses-sample-04.example,https://example.com/source/500-local-businesses-with-broken-contact-forms/4,Sample row for 500 Local Businesses With Broken Contact Forms; replace with verified production data before outreach.
Local Businesses Sample 05,https://local-businesses-sample-05.example,Denver,CO,Website Opportunity,Relevant website opportunity opportunity signal 5,https://local-businesses-sample-05.example/contact,(555) 014-104,hello5@local-businesses-sample-05.example,https://example.com/source/500-local-businesses-with-broken-contact-forms/5,Sample row for 500 Local Businesses With Broken Contact Forms; replace with verified production data before outreach.
Local Businesses Sample 06,https://local-businesses-sample-06.example,Phoenix,AZ,Website Opportunity,Relevant website opportunity opportunity signal 6,https://local-businesses-sample-06.example/contact,(555) 015-105,hello6@local-businesses-sample-06.example,https://example.com/source/500-local-businesses-with-broken-contact-forms/6,Sample row for 500 Local Businesses With Broken Contact Forms; replace with verified production data before outreach.
Local Businesses Sample 07,https://local-businesses-sample-07.example,Chicago,IL,Website Opportunity,Relevant website opportunity opportunity signal 7,https://local-businesses-sample-07.example/contact,(555) 016-106,hello7@local-businesses-sample-07.example,https://example.com/source/500-local-businesses-with-broken-contact-forms/7,Sample row for 500 Local Businesses With Broken Contact Forms; replace with verified production data before outreach.
Local Businesses Sample 08,https://local-businesses-sample-08.example,Seattle,WA,Website Opportunity,Relevant website opportunity opportunity signal 8,https://local-businesses-sample-08.example/contact,(555) 017-107,hello8@local-businesses-sample-08.example,https://example.com/source/500-local-businesses-with-broken-contact-forms/8,Sample row for 500 Local Businesses With Broken Contact Forms; replace with verified production data before outreach.
Local Businesses Sample 09,https://local-businesses-sample-09.example,Atlanta,GA,Website Opportunity,Relevant website opportunity opportunity signal 9,https://local-businesses-sample-09.example/contact,(555) 018-108,hello9@local-businesses-sample-09.example,https://example.com/source/500-local-businesses-with-broken-contact-forms/9,Sample row for 500 Local Businesses With Broken Contact Forms; replace with verified production data before outreach.
Local Businesses Sample 10,https://local-businesses-sample-10.example,Miami,FL,Website Opportunity,Relevant website opportunity opportunity signal 10,https://local-businesses-sample-10.example/contact,(555) 019-109,hello10@local-businesses-sample-10.example,https://example.com/source/500-local-businesses-with-broken-contact-forms/10,Sample row for 500 Local Businesses With Broken Contact Forms; replace with verified production data before outreach.
