project_name,developer,city,planning_case_number,hearing_date,address,zoning_change_requested,council_district,related_donations_if_public,lobbyist_if_public,agenda_links,source_url,notes
project name sample 1,developer sample 1,Los Angeles,planning case number sample 1,2026-04-10,address sample 1,zoning change requested sample 1,council district sample 1,Relevant political data opportunity signal 1,lobbyist if public sample 1,agenda links sample 1,https://example.com/source/real-estate-development-political-list/1,Sample row for Real Estate Development Political List; replace with verified production data before outreach.
project name sample 2,developer sample 2,San Diego,planning case number sample 2,2026-04-11,address sample 2,zoning change requested sample 2,council district sample 2,Relevant political data opportunity signal 2,lobbyist if public sample 2,agenda links sample 2,https://example.com/source/real-estate-development-political-list/2,Sample row for Real Estate Development Political List; replace with verified production data before outreach.
project name sample 3,developer sample 3,San Jose,planning case number sample 3,2026-04-12,address sample 3,zoning change requested sample 3,council district sample 3,Relevant political data opportunity signal 3,lobbyist if public sample 3,agenda links sample 3,https://example.com/source/real-estate-development-political-list/3,Sample row for Real Estate Development Political List; replace with verified production data before outreach.
project name sample 4,developer sample 4,Austin,planning case number sample 4,2026-04-13,address sample 4,zoning change requested sample 4,council district sample 4,Relevant political data opportunity signal 4,lobbyist if public sample 4,agenda links sample 4,https://example.com/source/real-estate-development-political-list/4,Sample row for Real Estate Development Political List; replace with verified production data before outreach.
project name sample 5,developer sample 5,Denver,planning case number sample 5,2026-04-14,address sample 5,zoning change requested sample 5,council district sample 5,Relevant political data opportunity signal 5,lobbyist if public sample 5,agenda links sample 5,https://example.com/source/real-estate-development-political-list/5,Sample row for Real Estate Development Political List; replace with verified production data before outreach.
project name sample 6,developer sample 6,Phoenix,planning case number sample 6,2026-04-15,address sample 6,zoning change requested sample 6,council district sample 6,Relevant political data opportunity signal 6,lobbyist if public sample 6,agenda links sample 6,https://example.com/source/real-estate-development-political-list/6,Sample row for Real Estate Development Political List; replace with verified production data before outreach.
project name sample 7,developer sample 7,Chicago,planning case number sample 7,2026-04-16,address sample 7,zoning change requested sample 7,council district sample 7,Relevant political data opportunity signal 7,lobbyist if public sample 7,agenda links sample 7,https://example.com/source/real-estate-development-political-list/7,Sample row for Real Estate Development Political List; replace with verified production data before outreach.
project name sample 8,developer sample 8,Seattle,planning case number sample 8,2026-04-17,address sample 8,zoning change requested sample 8,council district sample 8,Relevant political data opportunity signal 8,lobbyist if public sample 8,agenda links sample 8,https://example.com/source/real-estate-development-political-list/8,Sample row for Real Estate Development Political List; replace with verified production data before outreach.
project name sample 9,developer sample 9,Atlanta,planning case number sample 9,2026-04-18,address sample 9,zoning change requested sample 9,council district sample 9,Relevant political data opportunity signal 9,lobbyist if public sample 9,agenda links sample 9,https://example.com/source/real-estate-development-political-list/9,Sample row for Real Estate Development Political List; replace with verified production data before outreach.
project name sample 10,developer sample 10,Miami,planning case number sample 10,2026-04-19,address sample 10,zoning change requested sample 10,council district sample 10,Relevant political data opportunity signal 10,lobbyist if public sample 10,agenda links sample 10,https://example.com/source/real-estate-development-political-list/10,Sample row for Real Estate Development Political List; replace with verified production data before outreach.
