creator_company_name,website,platform,niche,public_email,contact_page,social_link,sponsor_booking_page,source_url,notes
creator company name sample 1,https://newsletter-creators-by-niche-sample-01.example,https://www.instagram.com/newsletter-creators-by-niche-sample-01,niche sample 1,hello1@newsletter-creators-by-niche-sample-01.example,https://newsletter-creators-by-niche-sample-01.example/contact,https://www.instagram.com/newsletter-creators-by-niche-sample-01,Relevant creator intelligence opportunity signal 1,https://example.com/source/newsletter-creators-by-niche/1,Sample row for Newsletter creators by niche; replace with verified production data before outreach.
creator company name sample 2,https://newsletter-creators-by-niche-sample-02.example,https://www.instagram.com/newsletter-creators-by-niche-sample-02,niche sample 2,hello2@newsletter-creators-by-niche-sample-02.example,https://newsletter-creators-by-niche-sample-02.example/contact,https://www.instagram.com/newsletter-creators-by-niche-sample-02,Relevant creator intelligence opportunity signal 2,https://example.com/source/newsletter-creators-by-niche/2,Sample row for Newsletter creators by niche; replace with verified production data before outreach.
creator company name sample 3,https://newsletter-creators-by-niche-sample-03.example,https://www.instagram.com/newsletter-creators-by-niche-sample-03,niche sample 3,hello3@newsletter-creators-by-niche-sample-03.example,https://newsletter-creators-by-niche-sample-03.example/contact,https://www.instagram.com/newsletter-creators-by-niche-sample-03,Relevant creator intelligence opportunity signal 3,https://example.com/source/newsletter-creators-by-niche/3,Sample row for Newsletter creators by niche; replace with verified production data before outreach.
creator company name sample 4,https://newsletter-creators-by-niche-sample-04.example,https://www.instagram.com/newsletter-creators-by-niche-sample-04,niche sample 4,hello4@newsletter-creators-by-niche-sample-04.example,https://newsletter-creators-by-niche-sample-04.example/contact,https://www.instagram.com/newsletter-creators-by-niche-sample-04,Relevant creator intelligence opportunity signal 4,https://example.com/source/newsletter-creators-by-niche/4,Sample row for Newsletter creators by niche; replace with verified production data before outreach.
creator company name sample 5,https://newsletter-creators-by-niche-sample-05.example,https://www.instagram.com/newsletter-creators-by-niche-sample-05,niche sample 5,hello5@newsletter-creators-by-niche-sample-05.example,https://newsletter-creators-by-niche-sample-05.example/contact,https://www.instagram.com/newsletter-creators-by-niche-sample-05,Relevant creator intelligence opportunity signal 5,https://example.com/source/newsletter-creators-by-niche/5,Sample row for Newsletter creators by niche; replace with verified production data before outreach.
creator company name sample 6,https://newsletter-creators-by-niche-sample-06.example,https://www.instagram.com/newsletter-creators-by-niche-sample-06,niche sample 6,hello6@newsletter-creators-by-niche-sample-06.example,https://newsletter-creators-by-niche-sample-06.example/contact,https://www.instagram.com/newsletter-creators-by-niche-sample-06,Relevant creator intelligence opportunity signal 6,https://example.com/source/newsletter-creators-by-niche/6,Sample row for Newsletter creators by niche; replace with verified production data before outreach.
creator company name sample 7,https://newsletter-creators-by-niche-sample-07.example,https://www.instagram.com/newsletter-creators-by-niche-sample-07,niche sample 7,hello7@newsletter-creators-by-niche-sample-07.example,https://newsletter-creators-by-niche-sample-07.example/contact,https://www.instagram.com/newsletter-creators-by-niche-sample-07,Relevant creator intelligence opportunity signal 7,https://example.com/source/newsletter-creators-by-niche/7,Sample row for Newsletter creators by niche; replace with verified production data before outreach.
creator company name sample 8,https://newsletter-creators-by-niche-sample-08.example,https://www.instagram.com/newsletter-creators-by-niche-sample-08,niche sample 8,hello8@newsletter-creators-by-niche-sample-08.example,https://newsletter-creators-by-niche-sample-08.example/contact,https://www.instagram.com/newsletter-creators-by-niche-sample-08,Relevant creator intelligence opportunity signal 8,https://example.com/source/newsletter-creators-by-niche/8,Sample row for Newsletter creators by niche; replace with verified production data before outreach.
creator company name sample 9,https://newsletter-creators-by-niche-sample-09.example,https://www.instagram.com/newsletter-creators-by-niche-sample-09,niche sample 9,hello9@newsletter-creators-by-niche-sample-09.example,https://newsletter-creators-by-niche-sample-09.example/contact,https://www.instagram.com/newsletter-creators-by-niche-sample-09,Relevant creator intelligence opportunity signal 9,https://example.com/source/newsletter-creators-by-niche/9,Sample row for Newsletter creators by niche; replace with verified production data before outreach.
creator company name sample 10,https://newsletter-creators-by-niche-sample-10.example,https://www.instagram.com/newsletter-creators-by-niche-sample-10,niche sample 10,hello10@newsletter-creators-by-niche-sample-10.example,https://newsletter-creators-by-niche-sample-10.example/contact,https://www.instagram.com/newsletter-creators-by-niche-sample-10,Relevant creator intelligence opportunity signal 10,https://example.com/source/newsletter-creators-by-niche/10,Sample row for Newsletter creators by niche; replace with verified production data before outreach.
