creator_company_name,website,platform,niche,public_email,contact_page,social_link,sponsor_booking_page,source_url,notes
creator company name sample 1,https://ai-tool-directories-sample-01.example,https://www.instagram.com/ai-tool-directories-sample-01,niche sample 1,hello1@ai-tool-directories-sample-01.example,https://ai-tool-directories-sample-01.example/contact,https://www.instagram.com/ai-tool-directories-sample-01,Relevant creator intelligence opportunity signal 1,https://example.com/source/ai-tool-directories/1,Sample row for AI tool directories; replace with verified production data before outreach.
creator company name sample 2,https://ai-tool-directories-sample-02.example,https://www.instagram.com/ai-tool-directories-sample-02,niche sample 2,hello2@ai-tool-directories-sample-02.example,https://ai-tool-directories-sample-02.example/contact,https://www.instagram.com/ai-tool-directories-sample-02,Relevant creator intelligence opportunity signal 2,https://example.com/source/ai-tool-directories/2,Sample row for AI tool directories; replace with verified production data before outreach.
creator company name sample 3,https://ai-tool-directories-sample-03.example,https://www.instagram.com/ai-tool-directories-sample-03,niche sample 3,hello3@ai-tool-directories-sample-03.example,https://ai-tool-directories-sample-03.example/contact,https://www.instagram.com/ai-tool-directories-sample-03,Relevant creator intelligence opportunity signal 3,https://example.com/source/ai-tool-directories/3,Sample row for AI tool directories; replace with verified production data before outreach.
creator company name sample 4,https://ai-tool-directories-sample-04.example,https://www.instagram.com/ai-tool-directories-sample-04,niche sample 4,hello4@ai-tool-directories-sample-04.example,https://ai-tool-directories-sample-04.example/contact,https://www.instagram.com/ai-tool-directories-sample-04,Relevant creator intelligence opportunity signal 4,https://example.com/source/ai-tool-directories/4,Sample row for AI tool directories; replace with verified production data before outreach.
creator company name sample 5,https://ai-tool-directories-sample-05.example,https://www.instagram.com/ai-tool-directories-sample-05,niche sample 5,hello5@ai-tool-directories-sample-05.example,https://ai-tool-directories-sample-05.example/contact,https://www.instagram.com/ai-tool-directories-sample-05,Relevant creator intelligence opportunity signal 5,https://example.com/source/ai-tool-directories/5,Sample row for AI tool directories; replace with verified production data before outreach.
creator company name sample 6,https://ai-tool-directories-sample-06.example,https://www.instagram.com/ai-tool-directories-sample-06,niche sample 6,hello6@ai-tool-directories-sample-06.example,https://ai-tool-directories-sample-06.example/contact,https://www.instagram.com/ai-tool-directories-sample-06,Relevant creator intelligence opportunity signal 6,https://example.com/source/ai-tool-directories/6,Sample row for AI tool directories; replace with verified production data before outreach.
creator company name sample 7,https://ai-tool-directories-sample-07.example,https://www.instagram.com/ai-tool-directories-sample-07,niche sample 7,hello7@ai-tool-directories-sample-07.example,https://ai-tool-directories-sample-07.example/contact,https://www.instagram.com/ai-tool-directories-sample-07,Relevant creator intelligence opportunity signal 7,https://example.com/source/ai-tool-directories/7,Sample row for AI tool directories; replace with verified production data before outreach.
creator company name sample 8,https://ai-tool-directories-sample-08.example,https://www.instagram.com/ai-tool-directories-sample-08,niche sample 8,hello8@ai-tool-directories-sample-08.example,https://ai-tool-directories-sample-08.example/contact,https://www.instagram.com/ai-tool-directories-sample-08,Relevant creator intelligence opportunity signal 8,https://example.com/source/ai-tool-directories/8,Sample row for AI tool directories; replace with verified production data before outreach.
creator company name sample 9,https://ai-tool-directories-sample-09.example,https://www.instagram.com/ai-tool-directories-sample-09,niche sample 9,hello9@ai-tool-directories-sample-09.example,https://ai-tool-directories-sample-09.example/contact,https://www.instagram.com/ai-tool-directories-sample-09,Relevant creator intelligence opportunity signal 9,https://example.com/source/ai-tool-directories/9,Sample row for AI tool directories; replace with verified production data before outreach.
creator company name sample 10,https://ai-tool-directories-sample-10.example,https://www.instagram.com/ai-tool-directories-sample-10,niche sample 10,hello10@ai-tool-directories-sample-10.example,https://ai-tool-directories-sample-10.example/contact,https://www.instagram.com/ai-tool-directories-sample-10,Relevant creator intelligence opportunity signal 10,https://example.com/source/ai-tool-directories/10,Sample row for AI tool directories; replace with verified production data before outreach.
