business_name,website,city,state,category,issue_spotted,contact_page,phone,public_email,source_url,notes
Dentists Sample 01,https://dentists-sample-01.example,Los Angeles,CA,Website Opportunity,No obvious online workflow found,https://dentists-sample-01.example/contact,(555) 010-100,hello1@dentists-sample-01.example,https://example.com/source/500-dentists-without-online-scheduling/1,Sample row for 500 Dentists Without Online Scheduling; replace with verified production data before outreach.
Dentists Sample 02,https://dentists-sample-02.example,San Diego,CA,Website Opportunity,No obvious online workflow found,https://dentists-sample-02.example/contact,(555) 011-101,hello2@dentists-sample-02.example,https://example.com/source/500-dentists-without-online-scheduling/2,Sample row for 500 Dentists Without Online Scheduling; replace with verified production data before outreach.
Dentists Sample 03,https://dentists-sample-03.example,San Jose,CA,Website Opportunity,No obvious online workflow found,https://dentists-sample-03.example/contact,(555) 012-102,hello3@dentists-sample-03.example,https://example.com/source/500-dentists-without-online-scheduling/3,Sample row for 500 Dentists Without Online Scheduling; replace with verified production data before outreach.
Dentists Sample 04,https://dentists-sample-04.example,Austin,TX,Website Opportunity,No obvious online workflow found,https://dentists-sample-04.example/contact,(555) 013-103,hello4@dentists-sample-04.example,https://example.com/source/500-dentists-without-online-scheduling/4,Sample row for 500 Dentists Without Online Scheduling; replace with verified production data before outreach.
Dentists Sample 05,https://dentists-sample-05.example,Denver,CO,Website Opportunity,No obvious online workflow found,https://dentists-sample-05.example/contact,(555) 014-104,hello5@dentists-sample-05.example,https://example.com/source/500-dentists-without-online-scheduling/5,Sample row for 500 Dentists Without Online Scheduling; replace with verified production data before outreach.
Dentists Sample 06,https://dentists-sample-06.example,Phoenix,AZ,Website Opportunity,No obvious online workflow found,https://dentists-sample-06.example/contact,(555) 015-105,hello6@dentists-sample-06.example,https://example.com/source/500-dentists-without-online-scheduling/6,Sample row for 500 Dentists Without Online Scheduling; replace with verified production data before outreach.
Dentists Sample 07,https://dentists-sample-07.example,Chicago,IL,Website Opportunity,No obvious online workflow found,https://dentists-sample-07.example/contact,(555) 016-106,hello7@dentists-sample-07.example,https://example.com/source/500-dentists-without-online-scheduling/7,Sample row for 500 Dentists Without Online Scheduling; replace with verified production data before outreach.
Dentists Sample 08,https://dentists-sample-08.example,Seattle,WA,Website Opportunity,No obvious online workflow found,https://dentists-sample-08.example/contact,(555) 017-107,hello8@dentists-sample-08.example,https://example.com/source/500-dentists-without-online-scheduling/8,Sample row for 500 Dentists Without Online Scheduling; replace with verified production data before outreach.
Dentists Sample 09,https://dentists-sample-09.example,Atlanta,GA,Website Opportunity,No obvious online workflow found,https://dentists-sample-09.example/contact,(555) 018-108,hello9@dentists-sample-09.example,https://example.com/source/500-dentists-without-online-scheduling/9,Sample row for 500 Dentists Without Online Scheduling; replace with verified production data before outreach.
Dentists Sample 10,https://dentists-sample-10.example,Miami,FL,Website Opportunity,No obvious online workflow found,https://dentists-sample-10.example/contact,(555) 019-109,hello10@dentists-sample-10.example,https://example.com/source/500-dentists-without-online-scheduling/10,Sample row for 500 Dentists Without Online Scheduling; replace with verified production data before outreach.
