company_property_name,website,city,state,property_type,phone,public_email,contact_page,source_url,notes
company property name sample 1,https://short-term-rental-property-managers-sample-01.example,Los Angeles,CA,property type sample 1,(555) 010-100,hello1@short-term-rental-property-managers-sample-01.example,https://short-term-rental-property-managers-sample-01.example/contact,https://example.com/source/short-term-rental-property-managers/1,Sample row for Short-term rental property managers; replace with verified production data before outreach.
company property name sample 2,https://short-term-rental-property-managers-sample-02.example,San Diego,CA,property type sample 2,(555) 011-101,hello2@short-term-rental-property-managers-sample-02.example,https://short-term-rental-property-managers-sample-02.example/contact,https://example.com/source/short-term-rental-property-managers/2,Sample row for Short-term rental property managers; replace with verified production data before outreach.
company property name sample 3,https://short-term-rental-property-managers-sample-03.example,San Jose,CA,property type sample 3,(555) 012-102,hello3@short-term-rental-property-managers-sample-03.example,https://short-term-rental-property-managers-sample-03.example/contact,https://example.com/source/short-term-rental-property-managers/3,Sample row for Short-term rental property managers; replace with verified production data before outreach.
company property name sample 4,https://short-term-rental-property-managers-sample-04.example,Austin,TX,property type sample 4,(555) 013-103,hello4@short-term-rental-property-managers-sample-04.example,https://short-term-rental-property-managers-sample-04.example/contact,https://example.com/source/short-term-rental-property-managers/4,Sample row for Short-term rental property managers; replace with verified production data before outreach.
company property name sample 5,https://short-term-rental-property-managers-sample-05.example,Denver,CO,property type sample 5,(555) 014-104,hello5@short-term-rental-property-managers-sample-05.example,https://short-term-rental-property-managers-sample-05.example/contact,https://example.com/source/short-term-rental-property-managers/5,Sample row for Short-term rental property managers; replace with verified production data before outreach.
company property name sample 6,https://short-term-rental-property-managers-sample-06.example,Phoenix,AZ,property type sample 6,(555) 015-105,hello6@short-term-rental-property-managers-sample-06.example,https://short-term-rental-property-managers-sample-06.example/contact,https://example.com/source/short-term-rental-property-managers/6,Sample row for Short-term rental property managers; replace with verified production data before outreach.
company property name sample 7,https://short-term-rental-property-managers-sample-07.example,Chicago,IL,property type sample 7,(555) 016-106,hello7@short-term-rental-property-managers-sample-07.example,https://short-term-rental-property-managers-sample-07.example/contact,https://example.com/source/short-term-rental-property-managers/7,Sample row for Short-term rental property managers; replace with verified production data before outreach.
company property name sample 8,https://short-term-rental-property-managers-sample-08.example,Seattle,WA,property type sample 8,(555) 017-107,hello8@short-term-rental-property-managers-sample-08.example,https://short-term-rental-property-managers-sample-08.example/contact,https://example.com/source/short-term-rental-property-managers/8,Sample row for Short-term rental property managers; replace with verified production data before outreach.
company property name sample 9,https://short-term-rental-property-managers-sample-09.example,Atlanta,GA,property type sample 9,(555) 018-108,hello9@short-term-rental-property-managers-sample-09.example,https://short-term-rental-property-managers-sample-09.example/contact,https://example.com/source/short-term-rental-property-managers/9,Sample row for Short-term rental property managers; replace with verified production data before outreach.
company property name sample 10,https://short-term-rental-property-managers-sample-10.example,Miami,FL,property type sample 10,(555) 019-109,hello10@short-term-rental-property-managers-sample-10.example,https://short-term-rental-property-managers-sample-10.example/contact,https://example.com/source/short-term-rental-property-managers/10,Sample row for Short-term rental property managers; replace with verified production data before outreach.
