campaign_name,office,election_date,contact_email,website,bad_website_signal,no_donation_page_signal,no_merch_store_signal,no_volunteer_form_signal,no_sms_signup_signal,weak_social_media_signal,likely_budget_level,urgency_score,source_url,notes
campaign name sample 1,office sample 1,2026-04-10,hello1@election-opportunity-list-sample-01.example,https://election-opportunity-list-sample-01.example,https://election-opportunity-list-sample-01.example,Relevant political data opportunity signal 1,Relevant political data opportunity signal 1,Relevant political data opportunity signal 1,Relevant political data opportunity signal 1,Relevant political data opportunity signal 1,likely budget level sample 1,78,https://example.com/source/election-opportunity-list-for-vendors/1,Sample row for Election Opportunity List for Vendors; replace with verified production data before outreach.
campaign name sample 2,office sample 2,2026-04-11,hello2@election-opportunity-list-sample-02.example,https://election-opportunity-list-sample-02.example,https://election-opportunity-list-sample-02.example,Relevant political data opportunity signal 2,Relevant political data opportunity signal 2,Relevant political data opportunity signal 2,Relevant political data opportunity signal 2,Relevant political data opportunity signal 2,likely budget level sample 2,79,https://example.com/source/election-opportunity-list-for-vendors/2,Sample row for Election Opportunity List for Vendors; replace with verified production data before outreach.
campaign name sample 3,office sample 3,2026-04-12,hello3@election-opportunity-list-sample-03.example,https://election-opportunity-list-sample-03.example,https://election-opportunity-list-sample-03.example,Relevant political data opportunity signal 3,Relevant political data opportunity signal 3,Relevant political data opportunity signal 3,Relevant political data opportunity signal 3,Relevant political data opportunity signal 3,likely budget level sample 3,80,https://example.com/source/election-opportunity-list-for-vendors/3,Sample row for Election Opportunity List for Vendors; replace with verified production data before outreach.
campaign name sample 4,office sample 4,2026-04-13,hello4@election-opportunity-list-sample-04.example,https://election-opportunity-list-sample-04.example,https://election-opportunity-list-sample-04.example,Relevant political data opportunity signal 4,Relevant political data opportunity signal 4,Relevant political data opportunity signal 4,Relevant political data opportunity signal 4,Relevant political data opportunity signal 4,likely budget level sample 4,81,https://example.com/source/election-opportunity-list-for-vendors/4,Sample row for Election Opportunity List for Vendors; replace with verified production data before outreach.
campaign name sample 5,office sample 5,2026-04-14,hello5@election-opportunity-list-sample-05.example,https://election-opportunity-list-sample-05.example,https://election-opportunity-list-sample-05.example,Relevant political data opportunity signal 5,Relevant political data opportunity signal 5,Relevant political data opportunity signal 5,Relevant political data opportunity signal 5,Relevant political data opportunity signal 5,likely budget level sample 5,82,https://example.com/source/election-opportunity-list-for-vendors/5,Sample row for Election Opportunity List for Vendors; replace with verified production data before outreach.
campaign name sample 6,office sample 6,2026-04-15,hello6@election-opportunity-list-sample-06.example,https://election-opportunity-list-sample-06.example,https://election-opportunity-list-sample-06.example,Relevant political data opportunity signal 6,Relevant political data opportunity signal 6,Relevant political data opportunity signal 6,Relevant political data opportunity signal 6,Relevant political data opportunity signal 6,likely budget level sample 6,83,https://example.com/source/election-opportunity-list-for-vendors/6,Sample row for Election Opportunity List for Vendors; replace with verified production data before outreach.
campaign name sample 7,office sample 7,2026-04-16,hello7@election-opportunity-list-sample-07.example,https://election-opportunity-list-sample-07.example,https://election-opportunity-list-sample-07.example,Relevant political data opportunity signal 7,Relevant political data opportunity signal 7,Relevant political data opportunity signal 7,Relevant political data opportunity signal 7,Relevant political data opportunity signal 7,likely budget level sample 7,84,https://example.com/source/election-opportunity-list-for-vendors/7,Sample row for Election Opportunity List for Vendors; replace with verified production data before outreach.
campaign name sample 8,office sample 8,2026-04-17,hello8@election-opportunity-list-sample-08.example,https://election-opportunity-list-sample-08.example,https://election-opportunity-list-sample-08.example,Relevant political data opportunity signal 8,Relevant political data opportunity signal 8,Relevant political data opportunity signal 8,Relevant political data opportunity signal 8,Relevant political data opportunity signal 8,likely budget level sample 8,85,https://example.com/source/election-opportunity-list-for-vendors/8,Sample row for Election Opportunity List for Vendors; replace with verified production data before outreach.
campaign name sample 9,office sample 9,2026-04-18,hello9@election-opportunity-list-sample-09.example,https://election-opportunity-list-sample-09.example,https://election-opportunity-list-sample-09.example,Relevant political data opportunity signal 9,Relevant political data opportunity signal 9,Relevant political data opportunity signal 9,Relevant political data opportunity signal 9,Relevant political data opportunity signal 9,likely budget level sample 9,86,https://example.com/source/election-opportunity-list-for-vendors/9,Sample row for Election Opportunity List for Vendors; replace with verified production data before outreach.
campaign name sample 10,office sample 10,2026-04-19,hello10@election-opportunity-list-sample-10.example,https://election-opportunity-list-sample-10.example,https://election-opportunity-list-sample-10.example,Relevant political data opportunity signal 10,Relevant political data opportunity signal 10,Relevant political data opportunity signal 10,Relevant political data opportunity signal 10,Relevant political data opportunity signal 10,likely budget level sample 10,87,https://example.com/source/election-opportunity-list-for-vendors/10,Sample row for Election Opportunity List for Vendors; replace with verified production data before outreach.
